ID	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	LOWER BOUND	UPPER BOUND	OBJECTIVE	COMPARTMENT	MIRIAM	SUBSYSTEM	REPLACEMENT ID	NOTE	REFERENCE	CONFIDENCE SCORE
RXN-1623	lysophosphatidate acyltransferase;acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase;1-acyl-sn-glycerol-3-phosphate acyltransferase gamma;1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon;1-acyl-sn-glycerol-3-phosphate acyl transferase;1-acyl-sn-glycerol-3-phosphate acyltransferase delta;1-acyl-sn-glycerol-3-phosphate acyltransferase beta;1-acyl-sn-glycero-3-phosphate acyltransferase	ACYL-COA[s] + ACYL-SN-GLYCEROL-3P[s] => coenzyme A[s] + L-PHOSPHATIDATE[s]	ec-code/2.3.1.51	augustus_masked-NODE_464_length_5576_cov_2.8493_ID_927-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_464_length_5576_cov_2.8493_ID_927-processed-gene-0.4&CDS=1-486	0	1000			rhea/19710;kegg.reaction/R02241	diacylglycerol and triacylglycerol biosynthesis;CDP-diacylglycerol biosynthesis I				2
LEUKOTRIENE-A4-HYDROLASE-RXN	leukotriene A-4 hydrolase	leukotriene A4[s] + H2O[s] => leukotriene B4[s]	ec-code/3.3.2.6	augustus_masked-NODE_359_length_6189_cov_2.89142_ID_717-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_359_length_6189_cov_2.89142_ID_717-processed-gene-0.7&CDS=1-633 or augustus_masked-NODE_753_length_4635_cov_3.33537_ID_1505-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_753_length_4635_cov_3.33537_ID_1505-processed-gene-0.5&CDS=1-1053	0	1000			rhea/22325;kegg.reaction/R03057	leukotriene biosynthesis				2
LANOSTEROL-SYNTHASE-RXN	2,3-oxidosqualene-lanosterol cyclase;lanosterol synthase	(3S)-2,3-epoxy-2,3-dihydrosqualene[s] => lanosterol[s]	ec-code/5.4.99.7	maker-NODE_1543_length_3190_cov_2.76651_ID_3085-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_1543_length_3190_cov_2.76651_ID_3085-augustus-gene-0.2&CDS=1-1476 or augustus_masked-NODE_285_length_6718_cov_3.21147_ID_569-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_285_length_6718_cov_3.21147_ID_569-processed-gene-0.0&CDS=1-618	0	1000			rhea/14622;kegg.reaction/R03199	lanosterol biosynthesis				2
LACTALDDEHYDROG-RXN	lactaldehyde dehydrogenase;NAD+ L-lactaldehyde dehydrogenase	(S)-lactaldehyde[s] + NAD+[s] + H2O[s] => (S)-lactate[s] + NADH[s] + 2 H+[s]	ec-code/1.2.1.22	snap_masked-NODE_1257_length_3615_cov_3.61376_ID_2513-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_1257_length_3615_cov_3.61376_ID_2513-processed-gene-0.1&CDS=1-1479 or augustus_masked-NODE_1679_length_3010_cov_4.45651_ID_3357-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_1679_length_3010_cov_4.45651_ID_3357-processed-gene-0.7&CDS=1-1497 or augustus_masked-NODE_3661_length_1511_cov_3.04808_ID_7321-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_3661_length_1511_cov_3.04808_ID_7321-processed-gene-0.1&CDS=1-1149	0	1000			rhea/14278;kegg.reaction/R01446	L-rhamnose degradation II;methylglyoxal degradation V;lactate biosynthesis (archaea);L-lactaldehyde degradation (aerobic)				2
L-XYLULOSE-REDUCTASE-RXN	L-xylulose reductase	NADP+[s] + xylitol[s] <=> L-xylulose[s] + NADPH[s] + H+[s]	ec-code/1.1.1.10	augustus_masked-NODE_291_length_6665_cov_2.96475_ID_581-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_291_length_6665_cov_2.96475_ID_581-processed-gene-0.3&CDS=1-1023	-1000	1000			rhea/17028;kegg.reaction/R01904	L-arabinose degradation II;D-glucuronate degradation I				2
L-RHAMNOSE-1-DEHYDROGENASE-RXN	NAD+-dependent L-rhamnofuranose 1-dehydrogenase;(NAD+) L-rhamnofuranose 1-dehydrogenase	L-RHAMNOFURANOSE[s] + NAD+[s] <=> L-rhamnono-1,4-lactone[s] + NADH[s] + H+[s]	ec-code/1.1.1.173	augustus_masked-NODE_2698_length_2096_cov_3.53601_ID_5395-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_2698_length_2096_cov_3.53601_ID_5395-processed-gene-0.3&CDS=1-333 or augustus_masked-NODE_4256_length_1243_cov_6.59848_ID_8511-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_4256_length_1243_cov_6.59848_ID_8511-processed-gene-0.1&CDS=1-456	-1000	1000			rhea/12652;kegg.reaction/R03942	L-rhamnose degradation II;L-rhamnose degradation III				2
RXN4FS-2	phosphatidyl-N-dimethylethanolamine N-methyltransferase	CPD-160[s] + S-ADENOSYLMETHIONINE[s] => S-adenosyl-L-homocysteine[s] + PHOSPHATIDYLCHOLINE[s] + H+[s]	ec-code/2.1.1.71	augustus_masked-NODE_3486_length_1604_cov_3.40349_ID_6971-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_3486_length_1604_cov_3.40349_ID_6971-processed-gene-0.4&CDS=1-378	0	1000			rhea/32740	phosphatidylcholine biosynthesis V;phosphatidylcholine biosynthesis IV;phosphatidylcholine biosynthesis III				2
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	glutamine:fructose-6-phosphate amidotransferase;D-glucosamine-6-phosphate synthase;glutaminemdashfructose-6-phosphate transaminase;glucosamine:fructose-6-phosphate aminotransferase;L-glutaminemdashD-fructose-6-phosphate aminotransferase;glucosamine-fructose-6-phosphate aminotransferase	beta-D-fructofuranose 6-phosphate[s] + L-glutamine[s] <=> D-GLUCOSAMINE-6-P[s] + L-glutamate[s]	ec-code/2.6.1.16	snap_masked-NODE_2938_length_1946_cov_2.79323_ID_5875-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_2938_length_1946_cov_2.79323_ID_5875-processed-gene-0.2&CDS=1-1761	-1000	1000			rhea/13237;kegg.reaction/R00768	UDP-N-acetyl-D-galactosamine biosynthesis III;UDP-N-acetyl-D-glucosamine biosynthesis II;UDP-N-acetyl-D-glucosamine biosynthesis I;CMP-legionaminate biosynthesis I				2
RXN3O-9783	alpha-D-mannosyl-[protein] alpha-1,2 mannosyltransferase	GDP-alpha-D-mannose[s] + O-D-MANNOSYL-PROTEIN[s] => GDP[s] + Man-12-Man-Proteins[s] + H+[s]	ec-code/2.4.1	augustus_masked-NODE_1076_length_3972_cov_3.08476_ID_2151-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_1076_length_3972_cov_3.08476_ID_2151-processed-gene-0.7&CDS=1-840 or genemark-NODE_2552_length_2200_cov_3.2951_ID_5103-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_2552_length_2200_cov_3.2951_ID_5103-processed-gene-0.2&CDS=1-1458 or augustus_masked-NODE_267_length_6814_cov_3.56443_ID_533-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_267_length_6814_cov_3.56443_ID_533-processed-gene-0.7&CDS=1-762 or augustus_masked-NODE_393_length_5996_cov_2.85625_ID_785-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_393_length_5996_cov_2.85625_ID_785-processed-gene-0.5&CDS=1-1599 or augustus_masked-NODE_423_length_5827_cov_3.15177_ID_845-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_423_length_5827_cov_3.15177_ID_845-processed-gene-0.0&CDS=1-1293 or snap_masked-NODE_582_length_5095_cov_3.08393_ID_1163-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_582_length_5095_cov_3.08393_ID_1163-processed-gene-0.12&CDS=1-1134 or augustus_masked-NODE_590_length_5073_cov_3.83619_ID_1179-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_590_length_5073_cov_3.83619_ID_1179-processed-gene-0.0&CDS=1-1155 or augustus_masked-NODE_826_length_4456_cov_3.26267_ID_1651-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_826_length_4456_cov_3.26267_ID_1651-processed-gene-0.8&CDS=1-903 or augustus_masked-NODE_888_length_4370_cov_3.99838_ID_1775-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_888_length_4370_cov_3.99838_ID_1775-processed-gene-0.5&CDS=1-1161	0	1000				protein O-mannosylation I (yeast)				2
RXN3O-9782	ergosteryl-beta-D-glucosidase	ergosterol 3-O-beta-D-glucoside[s] + H2O[s] => ergosterol[s] + Glucopyranose[s]	ec-code/3.2.1.104	augustus_masked-NODE_3283_length_1727_cov_3.42823_ID_6565-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_3283_length_1727_cov_3.42823_ID_6565-processed-gene-0.0&CDS=1-1722	0	1000								2
