ortholog	gene id	sequence id of ingroup best hit	taxonomy id of ingroup best hit	evalue of ingroup best hit	sequence id of outgroup best hit	taxonomy id of outgroup best hit	evalue of outgroup best hit	alien index	outgroup percentage	HGT or not
OG8322	yHMPu5000034606_Priceomyces_medius@Seq_2659	KPM44821.1-78410-Neonectria_ditiss-Sordariomy	78410	4e-106	WP_004964504.1-618-Serratia_odorifer-Proteobact	618	6e-152	105.51344916961796	92.0	Yes
OG9976	yHMPu5000034606_Priceomyces_medius@Seq_1298	ESA04096.1-747089-Rhizophagus_irreg-other_Fung	747089	5e-22	SEQ89438.1-137733-Granulicatella_ba-Firmicutes	137733	1e-65	100.62059691117807	92.6666666666667	Yes
OG14906	yHMPu5000034606_Priceomyces_medius@Seq_1967	na	na	1	EFG82998.1-714995-Komagataeibacter_-Proteobact	714995	5e-51	115.82240183026222	96.5957446808511	Yes
OG4895	Zygosaccharomyces_bailii@Seq_740	NP_001018772.1-284812-Schizosaccharomyc-Taphrinom	284812	6e-69	WP_043236173.1-1502851-Bosea_sp_LC85-Proteobact	1502851	1e-118	114.61842902593631	92.6666666666667	Yes
OG15082	Zygosaccharomyces_bailii@Seq_4393	CZT50753.1-38038-Rhynchosporium_se-Leotiomyce	38038	1e-05	WP_029603567.1-153496-Kozakia_baliensis-Proteobac	153496	2e-27	49.96372486530906	94.2528735632184	Yes
OG9831	Zygosaccharomyces_bailii@Seq_1432	ENH73592.1-1229664-Fusarium_oxysporu-Sordariomy	1229664	1e-96	WP_055924541.1-1736518-Duganella_sp_Root-Proteoba	1736518	4e-172	173.6101727064276	93.6666666666667	Yes
OG5126	Zygosaccharomyces_bailii@Seq_2450	KXN71385.1-796925-Conidiobolus_coro-other_Fung	796925	6e-111	SFQ58615.1-1002526-Pseudomonas_formo-Proteobact	1002526	8e-143	73.39504090335768	96.6666666666667	Yes
OG16907	yHMPu5000041822_Dipodascus_geniculatus@Seq_1629	XP_018247548.1-426428-Fusarium_oxysporu-Sordariom	426428	1e-11	XP_009045573.1-225164-Lottia_gigantea-Metazoa	225164	8e-35	53.18260069017726	92.8571428571429	Yes
OG22565	yHMPu5000041822_Dipodascus_geniculatus@Seq_5594	XP_013942059.1-452589-Trichoderma_atrov-Sordariom	452589	3e-22	WP_065223496.1-1396-Bacillus_cereus-Firmicutes	1396	7e-77	125.79488225428531	100.0	Yes
OG78693	yHMPu5000041822_Dipodascus_geniculatus@Seq_2881	KFY90018.1-1420913-Pseudogymnoascus_-Leotiomyce	1420913	6e-08	XP_013127999.2-8128-Oreochromis_nilot-Metazoa	8128	2e-45	86.2942607294478	92.8571428571429	Yes
OG52474	yHMPu5000041822_Dipodascus_geniculatus@Seq_4093	KXT17249.1-113226-Pseudocercospora_-Dothideomy	113226	8e-22	WP_071952316.1-1245-Leuconostoc_mesen-Firmicutes	1245	2e-42	47.4379962210008	97.6666666666667	Yes
OG13157	yHMPu5000034902_Ogataea_minuta@Seq_666	na	na	1	WP_008087437.1-380397-Streptococcus_ict-Firmicute	380397	2e-49	112.13352237614829	96.6666666666667	Yes
OG63890	yHMPu5000034902_Ogataea_minuta@Seq_4289	na	na	1	XP_002164995.1-6087-Hydra_vulgaris-Metazoa	6087	2e-26	59.17406523728524	91.6666666666667	Yes
OG137939	yHMPu5000034902_Ogataea_minuta@Seq_1464	OAA55041.1-1081102-Sporothrix_insect-Sordariomy	1081102	2e-07	ELR54554.1-72004-Bos_mutus-Metazoa	72004	1e-36	67.46811487738726	98.2142857142857	Yes
