query id	uniprot id	identity
Kluyveromyces_lactis@Seq_1	tr|Q6CL33|Q6CL33_KLULA	100.0
Kluyveromyces_lactis@Seq_10	tr|Q6CTJ0|Q6CTJ0_KLULA	100.0
Kluyveromyces_lactis@Seq_100	sp|Q6CIF0|CHL1_KLULA	100.0
Kluyveromyces_lactis@Seq_1000	tr|Q6CXE8|Q6CXE8_KLULA	100.0
Kluyveromyces_lactis@Seq_1002	sp|Q6HA24|TRXB_KLULA	100.0
Kluyveromyces_lactis@Seq_1003	tr|Q6CK27|Q6CK27_KLULA	100.0
Kluyveromyces_lactis@Seq_1006	tr|Q6CU19|Q6CU19_KLULA	100.0
Kluyveromyces_lactis@Seq_1007	tr|Q6CW89|Q6CW89_KLULA	100.0
Kluyveromyces_lactis@Seq_1009	sp|Q6CUS7|DPOE_KLULA	100.0
Kluyveromyces_lactis@Seq_101	tr|Q6CNS2|Q6CNS2_KLULA	100.0
Kluyveromyces_lactis@Seq_1010	tr|Q6CPT6|Q6CPT6_KLULA	100.0
Kluyveromyces_lactis@Seq_1011	tr|Q6CJY9|Q6CJY9_KLULA	100.0
Kluyveromyces_lactis@Seq_1012	tr|Q6CQT6|Q6CQT6_KLULA	100.0
Kluyveromyces_lactis@Seq_1013	tr|Q6CKE5|Q6CKE5_KLULA	100.0
Kluyveromyces_lactis@Seq_1014	tr|Q6CQG7|Q6CQG7_KLULA	100.0
Kluyveromyces_lactis@Seq_1015	sp|Q6CQM2|RRT5_KLULA	100.0
Kluyveromyces_lactis@Seq_1016	tr|Q6CVR0|Q6CVR0_KLULA	100.0
Kluyveromyces_lactis@Seq_1017	tr|Q6CT10|Q6CT10_KLULA	100.0
Kluyveromyces_lactis@Seq_1018	tr|Q6CYI1|Q6CYI1_KLULA	100.0
Kluyveromyces_lactis@Seq_1019	tr|Q6CKW3|Q6CKW3_KLULA	100.0
Kluyveromyces_lactis@Seq_102	sp|P49345|QCR7_KLULA	100.0
Kluyveromyces_lactis@Seq_1020	tr|Q6CRW3|Q6CRW3_KLULA	100.0
Kluyveromyces_lactis@Seq_1021	tr|Q6CUV1|Q6CUV1_KLULA	100.0
Kluyveromyces_lactis@Seq_1022	sp|Q6CVG8|NDOR1_KLULA	100.0
Kluyveromyces_lactis@Seq_1023	tr|Q6CJW1|Q6CJW1_KLULA	100.0
Kluyveromyces_lactis@Seq_1024	tr|Q6CMK6|Q6CMK6_KLULA	100.0
Kluyveromyces_lactis@Seq_1025	tr|B4UN93|B4UN93_KLULA	100.0
Kluyveromyces_lactis@Seq_1026	tr|Q6CVS0|Q6CVS0_KLULA	100.0
Kluyveromyces_lactis@Seq_1027	tr|Q6CMG5|Q6CMG5_KLULA	100.0
Kluyveromyces_lactis@Seq_1028	tr|Q6CMC3|Q6CMC3_KLULA	100.0
Kluyveromyces_lactis@Seq_1029	sp|P40914|HAP3_KLULA	100.0
Kluyveromyces_lactis@Seq_103	sp|Q6CXB9|BUD32_KLULA	100.0
Kluyveromyces_lactis@Seq_1030	tr|Q6CMF0|Q6CMF0_KLULA	100.0
Kluyveromyces_lactis@Seq_1031	tr|Q6CPD3|Q6CPD3_KLULA	100.0
Kluyveromyces_lactis@Seq_1032	sp|Q6CNG7|DHYS_KLULA	100.0
Kluyveromyces_lactis@Seq_1033	tr|Q6CRG2|Q6CRG2_KLULA	100.0
Kluyveromyces_lactis@Seq_1034	tr|Q6CXL0|Q6CXL0_KLULA	100.0
Kluyveromyces_lactis@Seq_1035	sp|Q6CV05|KRE28_KLULA	100.0
Kluyveromyces_lactis@Seq_1036	sp|Q6CSB8|MIC60_KLULA	100.0
Kluyveromyces_lactis@Seq_1037	tr|Q6CNK8|Q6CNK8_KLULA	100.0
Kluyveromyces_lactis@Seq_1038	tr|Q6CMC6|Q6CMC6_KLULA	100.0
Kluyveromyces_lactis@Seq_1039	tr|Q6CSI9|Q6CSI9_KLULA	100.0
Kluyveromyces_lactis@Seq_104	tr|Q6CSP3|Q6CSP3_KLULA	100.0
Kluyveromyces_lactis@Seq_1040	tr|Q6CIG3|Q6CIG3_KLULA	100.0
Kluyveromyces_lactis@Seq_1041	tr|Q6CX14|Q6CX14_KLULA	86.111
Kluyveromyces_lactis@Seq_1042	tr|Q6CN35|Q6CN35_KLULA	100.0
Kluyveromyces_lactis@Seq_1043	tr|Q6CKE6|Q6CKE6_KLULA	100.0
Kluyveromyces_lactis@Seq_1044	tr|Q6CPD7|Q6CPD7_KLULA	100.0
Kluyveromyces_lactis@Seq_1045	tr|Q6CU79|Q6CU79_KLULA	96.31299999999999
Kluyveromyces_lactis@Seq_1046	tr|Q6CP95|Q6CP95_KLULA	100.0
Kluyveromyces_lactis@Seq_1047	tr|Q6CP36|Q6CP36_KLULA	100.0
Kluyveromyces_lactis@Seq_1048	tr|Q6CR82|Q6CR82_KLULA	100.0
Kluyveromyces_lactis@Seq_1049	tr|Q6CIX1|Q6CIX1_KLULA	100.0
Kluyveromyces_lactis@Seq_105	tr|Q6CKB7|Q6CKB7_KLULA	100.0
Kluyveromyces_lactis@Seq_1050	sp|Q03216|PFKA2_KLULA	100.0
Kluyveromyces_lactis@Seq_1051	tr|Q6CR08|Q6CR08_KLULA	100.0
Kluyveromyces_lactis@Seq_1052	tr|Q6CKX4|Q6CKX4_KLULA	100.0
