complex type	sequence id	index	ortholog
1,3-beta-D-glucan synthase complex	Candida_albicans@C1_02420C_A	12_1292	OG1014
1,3-beta-D-glucan synthase complex	Candida_albicans@C1_05600W_A	12_2611	OG1014
1,3-beta-D-glucan synthase complex	Candida_albicans@CR_00850C_A	12_5765	OG1014
1,3-beta-D-glucan synthase complex	Candida_albicans@CR_02860W_A	12_2099	OG1444
3-isopropylmalate dehydratase complex	Candida_albicans@CR_00360C_A	12_5997	OG1422
6-phosphofructokinase complex	Candida_albicans@C5_04810W_A	12_5593	OG1054
6-phosphofructokinase complex	Candida_albicans@C7_01800C_A	12_1254	OG1054
90S preribosome	Candida_albicans@C1_04040C_A	12_3738	OG2295
90S preribosome	Candida_albicans@C1_06740C_A	12_1730	OG2969
90S preribosome	Candida_albicans@C1_11380W_A	12_4133	OG2338
90S preribosome	Candida_albicans@C1_14080W_A	12_2870	OG2151
90S preribosome	Candida_albicans@C2_04700C_A	12_3066	OG4638
90S preribosome	Candida_albicans@C2_06850W_A	12_4177	OG4566
90S preribosome	Candida_albicans@C2_07450C_A	12_85	OG2772
90S preribosome	Candida_albicans@C2_08480W_A	12_1637	OG2250
90S preribosome	Candida_albicans@C3_01000W_A	12_4879	OG1901
90S preribosome	Candida_albicans@C3_01200W_B	12_800	OG1587
90S preribosome	Candida_albicans@C3_02020W_B	12_467	OG1974
90S preribosome	Candida_albicans@C3_02130W_A	12_4589	OG2325
90S preribosome	Candida_albicans@C3_02350W_A	12_2945	OG2329
90S preribosome	Candida_albicans@C5_01600C_A	12_5307	OG1951
90S preribosome	Candida_albicans@C5_04840C_B	12_508	OG4904
90S preribosome	Candida_albicans@C6_01170W_A	12_76	OG2452
90S preribosome	Candida_albicans@C7_03700C_A	12_5816	OG3462
90S preribosome	Candida_albicans@CR_00680W_A	12_2865	OG3568
90S preribosome	Candida_albicans@CR_00800C_A	12_241	OG2036
90S preribosome	Candida_albicans@CR_03230W_A	12_2917	OG4534
90S preribosome	Candida_albicans@CR_07030C_A	12_2542	OG3545
90S preribosome	Candida_albicans@CR_08490W_A	12_4339	OG2052
AP-1 adaptor complex	Candida_albicans@C3_02430W_B	12_4607	OG2264
AP-1 adaptor complex	Candida_albicans@C5_05400W_A	12_5586	OG2042
AP-1 adaptor complex	Candida_albicans@CR_02870W_A	12_1583	OG1993
AP-1 adaptor complex	Candida_albicans@CR_05310W_A	12_1733	OG3779
AP-2 adaptor complex	Candida_albicans@C1_07590C_B	12_2111	OG3409
AP-2 adaptor complex	Candida_albicans@C1_11800C_A	12_5460	OG3784
AP-2 adaptor complex	Candida_albicans@C1_14040W_A	12_3361	OG3391
AP-2 adaptor complex	Candida_albicans@C2_07880W_A	12_3736	OG4188
AP-3 adaptor complex	Candida_albicans@C1_08480C_A	12_3864	OG2702
AP-3 adaptor complex	Candida_albicans@C3_02590W_A	12_2866	OG1994
AP-3 adaptor complex	Candida_albicans@C4_03560W_A	12_4557	OG2669
AP-3 adaptor complex	Candida_albicans@C6_00430C_A	12_4066	OG3384
ASTRA complex	Candida_albicans@C1_03630W_A	12_3247	OG2745
ASTRA complex	Candida_albicans@C4_06800W_A	12_3482	OG1721
ASTRA complex	Candida_albicans@C6_01320W_A	12_850	OG1427
ASTRA complex	Candida_albicans@C7_00210C_A	12_5489	OG2955
ASTRA complex	Candida_albicans@C7_01810W_A	12_1159	OG2118
ATR-ATRIP complex	Candida_albicans@C5_04060C_A	12_5703	OG1616
Ada2/Gcn5/Ada3 transcription activator complex	Candida_albicans@C1_03290W_A	12_4125	OG2545
Ada2/Gcn5/Ada3 transcription activator complex	Candida_albicans@C1_10860C_A	12_1989	OG1099
Ada2/Gcn5/Ada3 transcription activator complex	Candida_albicans@C2_02810C_A	12_2979	OG2699
Ada2/Gcn5/Ada3 transcription activator complex	Candida_albicans@C2_09880C_A	12_2770	OG2373
Ada2/Gcn5/Ada3 transcription activator complex	Candida_albicans@C3_03100C_A	12_4461	OG3528
Ada2/Gcn5/Ada3 transcription activator complex	Candida_albicans@C7_00450C_A	12_5438	OG4164
Ada2/Gcn5/Ada3 transcription activator complex	Candida_albicans@CR_06710C_A	12_2783	OG2418
Ada2/Gcn5/Ada3 transcription activator complex	Candida_albicans@CR_10230W_A	12_1247	OG5090
Aim21-Tda2 complex	Candida_albicans@C1_10090C_A	12_1843	OG15011
Arp2/3 protein complex	Candida_albicans@C1_06080C_A	12_3512	OG3502
Arp2/3 protein complex	Candida_albicans@C2_07320W_A	12_4540	OG1035
Arp2/3 protein complex	Candida_albicans@C6_01140C_A	12_3749	OG2127
Arp2/3 protein complex	Candida_albicans@CR_01040C_A	12_5440	OG2590
Arp2/3 protein complex	Candida_albicans@CR_06180W_A	12_935	OG2181
Arp2/3 protein complex	Candida_albicans@CR_07210W_A	12_894	OG3427
Arp2/3 protein complex	Candida_albicans@CR_08950W_A	12_2355	OG2586
Asi complex	Candida_albicans@CR_08650C_A	12_2030	OG3757
Atg1/ULK1 kinase complex	Candida_albicans@C1_02910C_A	12_5645	OG5838
Atg1/ULK1 kinase complex	Candida_albicans@C1_12150C_A	12_3757	OG4810
Atg1/ULK1 kinase complex	Candida_albicans@C4_01790W_A	12_5679	OG4270
Atg1/ULK1 kinase complex	Candida_albicans@C4_04450C_A	12_339	OG1879
Atg1/ULK1 kinase complex	Candida_albicans@CR_02910W_A	12_1298	OG3727
Atg12-Atg5-Atg16 complex	Candida_albicans@C1_02200C_A	12_43	OG3805
Atg12-Atg5-Atg16 complex	Candida_albicans@C1_13950C_A	12_487	OG3627
Atg12-Atg5-Atg16 complex	Candida_albicans@C5_05060C_A	12_1956	OG5119
BAT3 complex	Candida_albicans@C5_02210W_A	12_1488	OG2536
BLOC-1 complex	Candida_albicans@C1_03140W_A	12_1974	OG5215
BLOC-1 complex	Candida_albicans@C3_02580C_A	12_3293	OG5882
