complex type	sequence id	index	ortholog
1,3-beta-D-glucan synthase complex	Candida_glabrata@Seq_1012	19_1011	OG1782
1,3-beta-D-glucan synthase complex	Candida_glabrata@Seq_1219	19_1218	OG1444
1,3-beta-D-glucan synthase complex	Candida_glabrata@Seq_2244	19_2243	OG1014
1,3-beta-D-glucan synthase complex	Candida_glabrata@Seq_2971	19_2970	OG1014
1,3-beta-D-glucan synthase complex	Candida_glabrata@Seq_5123	19_5122	OG1014
3-isopropylmalate dehydratase complex	Candida_glabrata@Seq_440	19_439	OG1422
6-phosphofructokinase complex	Candida_glabrata@Seq_1051	19_1050	OG1054
6-phosphofructokinase complex	Candida_glabrata@Seq_1061	19_1060	OG1054
6-phosphofructokinase complex	Candida_glabrata@Seq_3088	19_3087	OG1054
90S preribosome	Candida_glabrata@Seq_135	19_134	OG3462
90S preribosome	Candida_glabrata@Seq_1405	19_1404	OG4904
90S preribosome	Candida_glabrata@Seq_15	19_14	OG2151
90S preribosome	Candida_glabrata@Seq_1624	19_1623	OG2329
90S preribosome	Candida_glabrata@Seq_166	19_165	OG2052
90S preribosome	Candida_glabrata@Seq_1742	19_1741	OG4534
90S preribosome	Candida_glabrata@Seq_1832	19_1831	OG1974
90S preribosome	Candida_glabrata@Seq_2311	19_2310	OG2250
90S preribosome	Candida_glabrata@Seq_2969	19_2968	OG3568
90S preribosome	Candida_glabrata@Seq_3071	19_3070	OG1901
90S preribosome	Candida_glabrata@Seq_3132	19_3131	OG2969
90S preribosome	Candida_glabrata@Seq_3218	19_3217	OG3545
90S preribosome	Candida_glabrata@Seq_3465	19_3464	OG4638
90S preribosome	Candida_glabrata@Seq_4806	19_4805	OG2772
90S preribosome	Candida_glabrata@Seq_4980	19_4979	OG2325
90S preribosome	Candida_glabrata@Seq_50	19_49	OG2036
90S preribosome	Candida_glabrata@Seq_5041	19_5040	OG4566
90S preribosome	Candida_glabrata@Seq_547	19_546	OG202011
AP-1 adaptor complex	Candida_glabrata@Seq_4456	19_4455	OG2264
AP-1 adaptor complex	Candida_glabrata@Seq_4919	19_4918	OG1993
AP-1 adaptor complex	Candida_glabrata@Seq_985	19_984	OG3779
AP-2 adaptor complex	Candida_glabrata@Seq_1100	19_1099	OG4188
AP-2 adaptor complex	Candida_glabrata@Seq_2612	19_2611	OG3784
AP-2 adaptor complex	Candida_glabrata@Seq_3982	19_3981	OG3391
AP-2 adaptor complex	Candida_glabrata@Seq_4054	19_4053	OG3409
AP-3 adaptor complex	Candida_glabrata@Seq_1631	19_1630	OG2669
AP-3 adaptor complex	Candida_glabrata@Seq_3436	19_3435	OG1994
AP-3 adaptor complex	Candida_glabrata@Seq_85	19_84	OG3384
ASTRA complex	Candida_glabrata@Seq_1993	19_1992	OG1721
ASTRA complex	Candida_glabrata@Seq_2337	19_2336	OG1427
ASTRA complex	Candida_glabrata@Seq_4490	19_4489	OG2118
ASTRA complex	Candida_glabrata@Seq_815	19_814	OG2745
ATR-ATRIP complex	Candida_glabrata@Seq_3181	19_3180	OG1616
Ada2/Gcn5/Ada3 transcription activator complex	Candida_glabrata@Seq_2506	19_2505	OG7000
Ada2/Gcn5/Ada3 transcription activator complex	Candida_glabrata@Seq_2782	19_2781	OG7429
Ada2/Gcn5/Ada3 transcription activator complex	Candida_glabrata@Seq_3260	19_3259	OG2418
Ada2/Gcn5/Ada3 transcription activator complex	Candida_glabrata@Seq_4193	19_4192	OG3528
Ada2/Gcn5/Ada3 transcription activator complex	Candida_glabrata@Seq_5067	19_5066	OG2545
Ada2/Gcn5/Ada3 transcription activator complex	Candida_glabrata@Seq_512	19_511	OG1099
Aim21-Tda2 complex	Candida_glabrata@Seq_2630	19_2629	OG7595
Aim21-Tda2 complex	Candida_glabrata@Seq_3509	19_3508	OG52720
Arp2/3 protein complex	Candida_glabrata@Seq_1264	19_1263	OG3427
Arp2/3 protein complex	Candida_glabrata@Seq_1613	19_1612	OG2586
Arp2/3 protein complex	Candida_glabrata@Seq_2115	19_2114	OG2590
Arp2/3 protein complex	Candida_glabrata@Seq_2530	19_2529	OG1035
Arp2/3 protein complex	Candida_glabrata@Seq_2714	19_2713	OG2127
Arp2/3 protein complex	Candida_glabrata@Seq_3961	19_3960	OG3502
Arp2/3 protein complex	Candida_glabrata@Seq_4906	19_4905	OG2181
Asi complex	Candida_glabrata@Seq_1441	19_1440	OG3757
