complex type	sequence id	index	ortholog
1,3-beta-D-glucan synthase complex	Candida_dubliniensis@Seq_117	18_116	OG1014
1,3-beta-D-glucan synthase complex	Candida_dubliniensis@Seq_2382	18_2381	OG1444
1,3-beta-D-glucan synthase complex	Candida_dubliniensis@Seq_2482	18_2481	OG1014
1,3-beta-D-glucan synthase complex	Candida_dubliniensis@Seq_4642	18_4641	OG1014
3-isopropylmalate dehydratase complex	Candida_dubliniensis@Seq_2077	18_2076	OG1422
6-phosphofructokinase complex	Candida_dubliniensis@Seq_1409	18_1408	OG1054
6-phosphofructokinase complex	Candida_dubliniensis@Seq_3730	18_3729	OG1054
90S preribosome	Candida_dubliniensis@Seq_1386	18_1385	OG3462
90S preribosome	Candida_dubliniensis@Seq_1705	18_1704	OG2036
90S preribosome	Candida_dubliniensis@Seq_1763	18_1762	OG8592
90S preribosome	Candida_dubliniensis@Seq_1983	18_1982	OG3568
90S preribosome	Candida_dubliniensis@Seq_2312	18_2311	OG2052
90S preribosome	Candida_dubliniensis@Seq_2470	18_2469	OG1974
90S preribosome	Candida_dubliniensis@Seq_263	18_262	OG3545
90S preribosome	Candida_dubliniensis@Seq_2729	18_2728	OG2250
90S preribosome	Candida_dubliniensis@Seq_3040	18_3039	OG2969
90S preribosome	Candida_dubliniensis@Seq_3140	18_3139	OG2295
90S preribosome	Candida_dubliniensis@Seq_3505	18_3504	OG2338
90S preribosome	Candida_dubliniensis@Seq_3783	18_3782	OG2151
90S preribosome	Candida_dubliniensis@Seq_3937	18_3936	OG1587
90S preribosome	Candida_dubliniensis@Seq_3972	18_3971	OG2772
90S preribosome	Candida_dubliniensis@Seq_4264	18_4263	OG4638
90S preribosome	Candida_dubliniensis@Seq_4446	18_4445	OG1951
90S preribosome	Candida_dubliniensis@Seq_4583	18_4582	OG1901
90S preribosome	Candida_dubliniensis@Seq_511	18_510	OG2329
90S preribosome	Candida_dubliniensis@Seq_5517	18_5516	OG4904
90S preribosome	Candida_dubliniensis@Seq_5593	18_5592	OG2325
90S preribosome	Candida_dubliniensis@Seq_5862	18_5861	OG4534
AP-1 adaptor complex	Candida_dubliniensis@Seq_2478	18_2477	OG1993
AP-1 adaptor complex	Candida_dubliniensis@Seq_4505	18_4504	OG2264
AP-1 adaptor complex	Candida_dubliniensis@Seq_5369	18_5368	OG2042
AP-1 adaptor complex	Candida_dubliniensis@Seq_5819	18_5818	OG3779
AP-2 adaptor complex	Candida_dubliniensis@Seq_1529	18_1528	OG3409
AP-2 adaptor complex	Candida_dubliniensis@Seq_2155	18_2154	OG4188
AP-2 adaptor complex	Candida_dubliniensis@Seq_3594	18_3593	OG3391
AP-2 adaptor complex	Candida_dubliniensis@Seq_5813	18_5812	OG3784
AP-3 adaptor complex	Candida_dubliniensis@Seq_1211	18_1210	OG3384
AP-3 adaptor complex	Candida_dubliniensis@Seq_3130	18_3129	OG2702
AP-3 adaptor complex	Candida_dubliniensis@Seq_5247	18_5246	OG1994
AP-3 adaptor complex	Candida_dubliniensis@Seq_891	18_890	OG2669
ASTRA complex	Candida_dubliniensis@Seq_3276	18_3275	OG2745
ASTRA complex	Candida_dubliniensis@Seq_3656	18_3655	OG2118
ASTRA complex	Candida_dubliniensis@Seq_4716	18_4715	OG2955
ASTRA complex	Candida_dubliniensis@Seq_5142	18_5141	OG1427
ASTRA complex	Candida_dubliniensis@Seq_5734	18_5733	OG1721
ATR-ATRIP complex	Candida_dubliniensis@Seq_4867	18_4866	OG1616
Ada2/Gcn5/Ada3 transcription activator complex	Candida_dubliniensis@Seq_1180	18_1179	OG2418
Ada2/Gcn5/Ada3 transcription activator complex	Candida_dubliniensis@Seq_1213	18_1212	OG2545
Ada2/Gcn5/Ada3 transcription activator complex	Candida_dubliniensis@Seq_243	18_242	OG5090
