complex type	sequence id	index	ortholog
6-phosphofructokinase complex	Yarrowia_lipolytica@Seq_4510	144_4509	OG1054
90S preribosome	Yarrowia_lipolytica@Seq_1410	144_1409	OG3545
90S preribosome	Yarrowia_lipolytica@Seq_1657	144_1656	OG2151
90S preribosome	Yarrowia_lipolytica@Seq_2151	144_2150	OG2325
90S preribosome	Yarrowia_lipolytica@Seq_2813	144_2812	OG2329
90S preribosome	Yarrowia_lipolytica@Seq_2952	144_2951	OG4638
90S preribosome	Yarrowia_lipolytica@Seq_5197	144_5196	OG2452
90S preribosome	Yarrowia_lipolytica@Seq_5315	144_5314	OG1587
90S preribosome	Yarrowia_lipolytica@Seq_6400	144_6399	OG10748
90S preribosome	Yarrowia_lipolytica@Seq_977	144_976	OG1901
AP-3 adaptor complex	Yarrowia_lipolytica@Seq_2945	144_2944	OG1994
ASTRA complex	Yarrowia_lipolytica@Seq_528	144_527	OG19764
ASTRA complex	Yarrowia_lipolytica@Seq_6087	144_6086	OG2955
ASTRA complex	Yarrowia_lipolytica@Seq_861	144_860	OG2745
Ada2/Gcn5/Ada3 transcription activator complex	Yarrowia_lipolytica@Seq_1527	144_1526	OG2699
Ada2/Gcn5/Ada3 transcription activator complex	Yarrowia_lipolytica@Seq_2862	144_2861	OG1099
Ada2/Gcn5/Ada3 transcription activator complex	Yarrowia_lipolytica@Seq_4308	144_4307	OG2373
Ada2/Gcn5/Ada3 transcription activator complex	Yarrowia_lipolytica@Seq_5171	144_5170	OG2545
Ada2/Gcn5/Ada3 transcription activator complex	Yarrowia_lipolytica@Seq_6003	144_6002	OG4164
Arp2/3 protein complex	Yarrowia_lipolytica@Seq_1242	144_1241	OG1035
Arp2/3 protein complex	Yarrowia_lipolytica@Seq_3661	144_3660	OG3502
Arp2/3 protein complex	Yarrowia_lipolytica@Seq_3936	144_3935	OG2586
Arp2/3 protein complex	Yarrowia_lipolytica@Seq_4425	144_4424	OG2127
Arp2/3 protein complex	Yarrowia_lipolytica@Seq_5808	144_5807	OG2181
Arp2/3 protein complex	Yarrowia_lipolytica@Seq_753	144_752	OG3427
Atg1/ULK1 kinase complex	Yarrowia_lipolytica@Seq_1036	144_1035	OG4270
Atg1/ULK1 kinase complex	Yarrowia_lipolytica@Seq_4517	144_4516	OG26375
Atg1/ULK1 kinase complex	Yarrowia_lipolytica@Seq_4898	144_4897	OG5171
Atg12-Atg5-Atg16 complex	Yarrowia_lipolytica@Seq_2107	144_2106	OG3627
Atg12-Atg5-Atg16 complex	Yarrowia_lipolytica@Seq_3822	144_3821	OG3805
BAT3 complex	Yarrowia_lipolytica@Seq_1439	144_1438	OG2536
BLOC-1 complex	Yarrowia_lipolytica@Seq_145	144_144	OG5153
BLOC-1 complex	Yarrowia_lipolytica@Seq_1902	144_1901	OG7553
BLOC-1 complex	Yarrowia_lipolytica@Seq_2926	144_2925	OG8753
Bfa1-Bub2 complex	Yarrowia_lipolytica@Seq_3110	144_3109	OG8873
CAAX-protein geranylgeranyltransferase complex	Yarrowia_lipolytica@Seq_2985	144_2984	OG3911
CAAX-protein geranylgeranyltransferase complex	Yarrowia_lipolytica@Seq_725	144_724	OG3200
CAF-1 complex	Yarrowia_lipolytica@Seq_371	144_370	OG4144
CAF-1 complex	Yarrowia_lipolytica@Seq_5256	144_5255	OG2093
CCAAT-binding factor complex	Yarrowia_lipolytica@Seq_269	144_268	OG2751
CCAAT-binding factor complex	Yarrowia_lipolytica@Seq_3101	144_3100	OG4103
CCAAT-binding factor complex	Yarrowia_lipolytica@Seq_3592	144_3591	OG3251
CCR4-NOT complex	Yarrowia_lipolytica@Seq_1707	144_1706	OG3644
CCR4-NOT complex	Yarrowia_lipolytica@Seq_4975	144_4974	OG1769
CCR4-NOT complex	Yarrowia_lipolytica@Seq_6113	144_6112	OG1803
CCR4-NOT core complex	Yarrowia_lipolytica@Seq_1317	144_1316	OG3389
CCR4-NOT core complex	Yarrowia_lipolytica@Seq_1817	144_1816	OG2561
CCR4-NOT core complex	Yarrowia_lipolytica@Seq_2366	144_2365	OG1613
CCR4-NOT core complex	Yarrowia_lipolytica@Seq_3310	144_3309	OG4153
CCR4-NOT core complex	Yarrowia_lipolytica@Seq_5270	144_5269	OG1582
CHRAC	Yarrowia_lipolytica@Seq_1396	144_1395	OG2814
CIA complex	Yarrowia_lipolytica@Seq_2328	144_2327	OG2804
CIA complex	Yarrowia_lipolytica@Seq_2431	144_2430	OG2992
CIA complex	Yarrowia_lipolytica@Seq_3340	144_3339	OG2281
COP9 signalosome	Yarrowia_lipolytica@Seq_1837	144_1836	OG7021
COP9 signalosome	Yarrowia_lipolytica@Seq_3027	144_3026	OG4460
COP9 signalosome	Yarrowia_lipolytica@Seq_3218	144_3217	OG7506
COP9 signalosome	Yarrowia_lipolytica@Seq_3272	144_3271	OG7161
COP9 signalosome	Yarrowia_lipolytica@Seq_3562	144_3561	OG20204
COP9 signalosome	Yarrowia_lipolytica@Seq_4352	144_4351	OG3426
COP9 signalosome	Yarrowia_lipolytica@Seq_5234	144_5233	OG19725
COPI vesicle coat	Yarrowia_lipolytica@Seq_1050	144_1049	OG2128
COPI vesicle coat	Yarrowia_lipolytica@Seq_1463	144_1462	OG1766
COPI vesicle coat	Yarrowia_lipolytica@Seq_322	144_321	OG1846
COPI vesicle coat	Yarrowia_lipolytica@Seq_3362	144_3361	OG1861
COPI vesicle coat	Yarrowia_lipolytica@Seq_4054	144_4053	OG3035
COPI vesicle coat	Yarrowia_lipolytica@Seq_5045	144_5044	OG1725
COPI vesicle coat	Yarrowia_lipolytica@Seq_5071	144_5070	OG4574
COPII vesicle coat	Yarrowia_lipolytica@Seq_1026	144_1025	OG1075
COPII vesicle coat	Yarrowia_lipolytica@Seq_2012	144_2011	OG1075
COPII vesicle coat	Yarrowia_lipolytica@Seq_3123	144_3122	OG1717
COPII vesicle coat	Yarrowia_lipolytica@Seq_5668	144_5667	OG3118
COPII vesicle coat	Yarrowia_lipolytica@Seq_838	144_837	OG3646
CTDK-1 complex	Yarrowia_lipolytica@Seq_211	144_210	OG4397
CURI complex	Yarrowia_lipolytica@Seq_2108	144_2107	OG2667
CURI complex	Yarrowia_lipolytica@Seq_5766	144_5765	OG1712
