complex type	sequence id	index	ortholog
1,3-beta-D-glucan synthase complex	Candida_parapsilosis@Seq_1205	24_1204	OG1014
1,3-beta-D-glucan synthase complex	Candida_parapsilosis@Seq_2321	24_2320	OG1993
1,3-beta-D-glucan synthase complex	Candida_parapsilosis@Seq_2844	24_2843	OG1014
1,3-beta-D-glucan synthase complex	Candida_parapsilosis@Seq_4373	24_4372	OG1014
3-isopropylmalate dehydratase complex	Candida_parapsilosis@Seq_4689	24_4688	OG1422
6-phosphofructokinase complex	Candida_parapsilosis@Seq_1993	24_1992	OG1054
6-phosphofructokinase complex	Candida_parapsilosis@Seq_384	24_383	OG1054
90S preribosome	Candida_parapsilosis@Seq_1143	24_1142	OG3545
90S preribosome	Candida_parapsilosis@Seq_1407	24_1406	OG2295
90S preribosome	Candida_parapsilosis@Seq_1799	24_1798	OG1974
90S preribosome	Candida_parapsilosis@Seq_1959	24_1958	OG2151
90S preribosome	Candida_parapsilosis@Seq_2064	24_2063	OG1587
90S preribosome	Candida_parapsilosis@Seq_2507	24_2506	OG3568
90S preribosome	Candida_parapsilosis@Seq_2518	24_2517	OG4638
90S preribosome	Candida_parapsilosis@Seq_2650	24_2649	OG4534
90S preribosome	Candida_parapsilosis@Seq_2785	24_2784	OG3760
90S preribosome	Candida_parapsilosis@Seq_2858	24_2857	OG8592
90S preribosome	Candida_parapsilosis@Seq_3332	24_3331	OG2250
90S preribosome	Candida_parapsilosis@Seq_3861	24_3860	OG2772
90S preribosome	Candida_parapsilosis@Seq_404	24_403	OG2969
90S preribosome	Candida_parapsilosis@Seq_4090	24_4089	OG2329
90S preribosome	Candida_parapsilosis@Seq_4174	24_4173	OG2338
90S preribosome	Candida_parapsilosis@Seq_4434	24_4433	OG4904
90S preribosome	Candida_parapsilosis@Seq_4582	24_4581	OG2325
90S preribosome	Candida_parapsilosis@Seq_4839	24_4838	OG1951
90S preribosome	Candida_parapsilosis@Seq_4889	24_4888	OG1901
90S preribosome	Candida_parapsilosis@Seq_5088	24_5087	OG2036
90S preribosome	Candida_parapsilosis@Seq_738	24_737	OG2052
AP-1 adaptor complex	Candida_parapsilosis@Seq_2321	24_2320	OG1993
AP-1 adaptor complex	Candida_parapsilosis@Seq_3374	24_3373	OG5478
AP-1 adaptor complex	Candida_parapsilosis@Seq_3868	24_3867	OG2042
AP-1 adaptor complex	Candida_parapsilosis@Seq_5277	24_5276	OG2264
AP-2 adaptor complex	Candida_parapsilosis@Seq_2041	24_2040	OG3784
AP-2 adaptor complex	Candida_parapsilosis@Seq_2546	24_2545	OG3409
AP-2 adaptor complex	Candida_parapsilosis@Seq_2668	24_2667	OG2007
AP-2 adaptor complex	Candida_parapsilosis@Seq_4938	24_4937	OG3391
AP-3 adaptor complex	Candida_parapsilosis@Seq_1532	24_1531	OG3384
AP-3 adaptor complex	Candida_parapsilosis@Seq_2771	24_2770	OG1994
AP-3 adaptor complex	Candida_parapsilosis@Seq_3431	24_3430	OG2005
AP-3 adaptor complex	Candida_parapsilosis@Seq_4072	24_4071	OG2702
ASTRA complex	Candida_parapsilosis@Seq_1296	24_1295	OG2932
ASTRA complex	Candida_parapsilosis@Seq_1552	24_1551	OG1721
ASTRA complex	Candida_parapsilosis@Seq_165	24_164	OG2745
ASTRA complex	Candida_parapsilosis@Seq_2299	24_2298	OG2118
ASTRA complex	Candida_parapsilosis@Seq_395	24_394	OG1427
ASTRA complex	Candida_parapsilosis@Seq_4130	24_4129	OG2955
ATR-ATRIP complex	Candida_parapsilosis@Seq_3368	24_3367	OG1616
Ada2/Gcn5/Ada3 transcription activator complex	Candida_parapsilosis@Seq_1188	24_1187	OG2418
Ada2/Gcn5/Ada3 transcription activator complex	Candida_parapsilosis@Seq_1265	24_1264	OG3528
Ada2/Gcn5/Ada3 transcription activator complex	Candida_parapsilosis@Seq_1736	24_1735	OG2545
Ada2/Gcn5/Ada3 transcription activator complex	Candida_parapsilosis@Seq_2825	24_2824	OG1099
Ada2/Gcn5/Ada3 transcription activator complex	Candida_parapsilosis@Seq_3224	24_3223	OG4164
Ada2/Gcn5/Ada3 transcription activator complex	Candida_parapsilosis@Seq_5209	24_5208	OG2923
Aim21-Tda2 complex	Candida_parapsilosis@Seq_1591	24_1590	OG6503
Aim21-Tda2 complex	Candida_parapsilosis@Seq_2874	24_2873	OG15011
Arp2/3 protein complex	Candida_parapsilosis@Seq_1034	24_1033	OG2127
Arp2/3 protein complex	Candida_parapsilosis@Seq_3400	24_3399	OG2181
Arp2/3 protein complex	Candida_parapsilosis@Seq_4165	24_4164	OG2590
Arp2/3 protein complex	Candida_parapsilosis@Seq_4175	24_4174	OG3502
Arp2/3 protein complex	Candida_parapsilosis@Seq_4253	24_4252	OG1035
Arp2/3 protein complex	Candida_parapsilosis@Seq_4651	24_4650	OG3427
Arp2/3 protein complex	Candida_parapsilosis@Seq_4844	24_4843	OG2586
Asi complex	Candida_parapsilosis@Seq_4309	24_4308	OG3757
Atg1/ULK1 kinase complex	Candida_parapsilosis@Seq_1811	24_1810	OG3727
Atg1/ULK1 kinase complex	Candida_parapsilosis@Seq_2046	24_2045	OG4810
Atg1/ULK1 kinase complex	Candida_parapsilosis@Seq_3396	24_3395	OG5838
Atg1/ULK1 kinase complex	Candida_parapsilosis@Seq_855	24_854	OG1879
Atg12-Atg5-Atg16 complex	Candida_parapsilosis@Seq_1234	24_1233	OG5119
Atg12-Atg5-Atg16 complex	Candida_parapsilosis@Seq_1290	24_1289	OG3627
Atg12-Atg5-Atg16 complex	Candida_parapsilosis@Seq_2016	24_2015	OG3805
BLOC-1 complex	Candida_parapsilosis@Seq_2739	24_2738	OG5882
BLOC-1 complex	Candida_parapsilosis@Seq_2838	24_2837	OG5215
BLOC-1 complex	Candida_parapsilosis@Seq_3786	24_3785	OG5984
Bfa1-Bub2 complex	Candida_parapsilosis@Seq_3225	24_3224	OG1021
Bfa1-Bub2 complex	Candida_parapsilosis@Seq_671	24_670	OG6566
CAAX-protein geranylgeranyltransferase complex	Candida_parapsilosis@Seq_2929	24_2928	OG3200
CAAX-protein geranylgeranyltransferase complex	Candida_parapsilosis@Seq_407	24_406	OG3911
CAF-1 complex	Candida_parapsilosis@Seq_1866	24_1865	OG4099
CAF-1 complex	Candida_parapsilosis@Seq_3519	24_3518	OG2093
CAF-1 complex	Candida_parapsilosis@Seq_492	24_491	OG4144
CBF3 complex	Candida_parapsilosis@Seq_512	24_511	OG2575
CCAAT-binding factor complex	Candida_parapsilosis@Seq_2806	24_2805	OG3251
CCAAT-binding factor complex	Candida_parapsilosis@Seq_2829	24_2828	OG4103
CCAAT-binding factor complex	Candida_parapsilosis@Seq_3414	24_3413	OG2751
CCAAT-binding factor complex	Candida_parapsilosis@Seq_4649	24_4648	OG4509
CCR4-NOT complex	Candida_parapsilosis@Seq_1409	24_1408	OG3644
CCR4-NOT complex	Candida_parapsilosis@Seq_1513	24_1512	OG1803
CCR4-NOT complex	Candida_parapsilosis@Seq_1969	24_1968	OG4153
CCR4-NOT complex	Candida_parapsilosis@Seq_4137	24_4136	OG2561
CCR4-NOT complex	Candida_parapsilosis@Seq_4317	24_4316	OG1582
CCR4-NOT complex	Candida_parapsilosis@Seq_488	24_487	OG1613
CCR4-NOT core complex	Candida_parapsilosis@Seq_1513	24_1512	OG1803
CCR4-NOT core complex	Candida_parapsilosis@Seq_1969	24_1968	OG4153
CCR4-NOT core complex	Candida_parapsilosis@Seq_2918	24_2917	OG4560
CCR4-NOT core complex	Candida_parapsilosis@Seq_4137	24_4136	OG2561
CCR4-NOT core complex	Candida_parapsilosis@Seq_4317	24_4316	OG1582
CCR4-NOT core complex	Candida_parapsilosis@Seq_4857	24_4856	OG1769
CCR4-NOT core complex	Candida_parapsilosis@Seq_488	24_487	OG1613
CCR4-NOT core complex	Candida_parapsilosis@Seq_839	24_838	OG1002
CENP-A containing nucleosome	Candida_parapsilosis@Seq_4050	24_4049	OG3375
CENP-A containing nucleosome	Candida_parapsilosis@Seq_676	24_675	OG1027
CHRAC	Candida_parapsilosis@Seq_1573	24_1572	OG1038
CHRAC	Candida_parapsilosis@Seq_2880	24_2879	OG2814
CHRAC	Candida_parapsilosis@Seq_335	24_334	OG3451
CIA complex	Candida_parapsilosis@Seq_1906	24_1905	OG2992
CIA complex	Candida_parapsilosis@Seq_1951	24_1950	OG3813
CIA complex	Candida_parapsilosis@Seq_441	24_440	OG2281
CLRC ubiquitin ligase complex	Candida_parapsilosis@Seq_4347	24_4346	OG3051
CMG complex	Candida_parapsilosis@Seq_2266	24_2265	OG1893
CMG complex	Candida_parapsilosis@Seq_3186	24_3185	OG3537
CMG complex	Candida_parapsilosis@Seq_3351	24_3350	OG1886
CMG complex	Candida_parapsilosis@Seq_346	24_345	OG2191
CMG complex	Candida_parapsilosis@Seq_3799	24_3798	OG1049
CMG complex	Candida_parapsilosis@Seq_4115	24_4114	OG2001
CMG complex	Candida_parapsilosis@Seq_4446	24_4445	OG2003
CMG complex	Candida_parapsilosis@Seq_4655	24_4654	OG3283
CMG complex	Candida_parapsilosis@Seq_5158	24_5157	OG2034
CMG complex	Candida_parapsilosis@Seq_5159	24_5158	OG1011
