complex type	sequence id	index	ortholog
1,3-beta-D-glucan synthase complex	Saccharomyces_cerevisiae@YGR032W	110_1082	OG1014
1,3-beta-D-glucan synthase complex	Saccharomyces_cerevisiae@YLR342W	110_3887	OG1014
1,3-beta-D-glucan synthase complex	Saccharomyces_cerevisiae@YMR306W	110_925	OG1014
1,3-beta-D-glucan synthase complex	Saccharomyces_cerevisiae@YPR165W	110_4416	OG1444
3-isopropylmalate dehydratase complex	Saccharomyces_cerevisiae@YGL009C	110_130	OG1422
6-phosphofructokinase complex	Saccharomyces_cerevisiae@YGR240C	110_2957	OG1054
6-phosphofructokinase complex	Saccharomyces_cerevisiae@YMR205C	110_4171	OG1054
90S preribosome	Saccharomyces_cerevisiae@YBL004W	110_3924	OG1587
90S preribosome	Saccharomyces_cerevisiae@YBR247C	110_972	OG3462
90S preribosome	Saccharomyces_cerevisiae@YCL059C	110_1308	OG2137
90S preribosome	Saccharomyces_cerevisiae@YCR057C	110_3064	OG2036
90S preribosome	Saccharomyces_cerevisiae@YDL014W	110_2466	OG1626
90S preribosome	Saccharomyces_cerevisiae@YDL060W	110_2435	OG2052
90S preribosome	Saccharomyces_cerevisiae@YDL148C	110_357	OG2527
90S preribosome	Saccharomyces_cerevisiae@YDL213C	110_3299	OG2969
90S preribosome	Saccharomyces_cerevisiae@YDR025W	110_3926	OG1412
90S preribosome	Saccharomyces_cerevisiae@YDR064W	110_3099	OG1963
90S preribosome	Saccharomyces_cerevisiae@YDR083W	110_2271	OG2250
90S preribosome	Saccharomyces_cerevisiae@YDR299W	110_5179	OG2430
90S preribosome	Saccharomyces_cerevisiae@YDR324C	110_2333	OG2325
90S preribosome	Saccharomyces_cerevisiae@YDR449C	110_5358	OG2553
90S preribosome	Saccharomyces_cerevisiae@YDR501W	110_1884	OG4162
90S preribosome	Saccharomyces_cerevisiae@YER082C	110_4655	OG2065
90S preribosome	Saccharomyces_cerevisiae@YER102W	110_1386	OG1323
90S preribosome	Saccharomyces_cerevisiae@YFL002C	110_1066	OG1951
90S preribosome	Saccharomyces_cerevisiae@YGL120C	110_4283	OG1004
90S preribosome	Saccharomyces_cerevisiae@YGL171W	110_2622	OG2041
90S preribosome	Saccharomyces_cerevisiae@YGR081C	110_2079	OG4566
90S preribosome	Saccharomyces_cerevisiae@YGR090W	110_1919	OG1712
90S preribosome	Saccharomyces_cerevisiae@YGR128C	110_3378	OG3517
90S preribosome	Saccharomyces_cerevisiae@YGR145W	110_701	OG1862
90S preribosome	Saccharomyces_cerevisiae@YGR214W	110_5902	OG1361
90S preribosome	Saccharomyces_cerevisiae@YGR251W	110_2043	OG4904
90S preribosome	Saccharomyces_cerevisiae@YHR052W	110_3532	OG2452
90S preribosome	Saccharomyces_cerevisiae@YHR148W	110_4303	OG1757
90S preribosome	Saccharomyces_cerevisiae@YHR169W	110_4367	OG2950
90S preribosome	Saccharomyces_cerevisiae@YHR196W	110_4131	OG6471
90S preribosome	Saccharomyces_cerevisiae@YJL010C	110_1233	OG2295
90S preribosome	Saccharomyces_cerevisiae@YJL069C	110_938	OG2750
90S preribosome	Saccharomyces_cerevisiae@YJL109C	110_4136	OG2151
90S preribosome	Saccharomyces_cerevisiae@YJL191W	110_2535	OG1531
90S preribosome	Saccharomyces_cerevisiae@YJR002W	110_4926	OG3824
90S preribosome	Saccharomyces_cerevisiae@YJR123W	110_3656	OG1514
90S preribosome	Saccharomyces_cerevisiae@YJR145C	110_321	OG1188
90S preribosome	Saccharomyces_cerevisiae@YKR060W	110_5052	OG4638
90S preribosome	Saccharomyces_cerevisiae@YLL011W	110_2239	OG3360
90S preribosome	Saccharomyces_cerevisiae@YLR003C	110_2270	OG3345
90S preribosome	Saccharomyces_cerevisiae@YLR129W	110_5208	OG1868
90S preribosome	Saccharomyces_cerevisiae@YLR175W	110_4047	OG2468
90S preribosome	Saccharomyces_cerevisiae@YLR183C	110_2326	OG4162
90S preribosome	Saccharomyces_cerevisiae@YLR186W	110_4543	OG2338
90S preribosome	Saccharomyces_cerevisiae@YLR197W	110_1413	OG1978
90S preribosome	Saccharomyces_cerevisiae@YLR222C	110_2515	OG1961
90S preribosome	Saccharomyces_cerevisiae@YLR340W	110_5235	OG2106
90S preribosome	Saccharomyces_cerevisiae@YLR409C	110_164	OG2027
90S preribosome	Saccharomyces_cerevisiae@YML063W	110_456	OG1165
90S preribosome	Saccharomyces_cerevisiae@YMR014W	110_100	OG3568
90S preribosome	Saccharomyces_cerevisiae@YMR093W	110_3240	OG1946
90S preribosome	Saccharomyces_cerevisiae@YMR128W	110_1179	OG1860
90S preribosome	Saccharomyces_cerevisiae@YMR143W	110_1519	OG1366
90S preribosome	Saccharomyces_cerevisiae@YMR229C	110_497	OG1614
90S preribosome	Saccharomyces_cerevisiae@YMR290C	110_1969	OG2592
90S preribosome	Saccharomyces_cerevisiae@YNL075W	110_2448	OG2583
90S preribosome	Saccharomyces_cerevisiae@YNL132W	110_3424	OG1632
90S preribosome	Saccharomyces_cerevisiae@YNL178W	110_4799	OG2434
90S preribosome	Saccharomyces_cerevisiae@YNL224C	110_2186	OG4534
90S preribosome	Saccharomyces_cerevisiae@YNL308C	110_5537	OG2329
90S preribosome	Saccharomyces_cerevisiae@YOL010W	110_667	OG2772
90S preribosome	Saccharomyces_cerevisiae@YOR078W	110_3028	OG6664
90S preribosome	Saccharomyces_cerevisiae@YOR096W	110_1366	OG1454
90S preribosome	Saccharomyces_cerevisiae@YOR145C	110_3862	OG1913
90S preribosome	Saccharomyces_cerevisiae@YOR287C	110_3675	OG3545
90S preribosome	Saccharomyces_cerevisiae@YOR310C	110_4775	OG1459
90S preribosome	Saccharomyces_cerevisiae@YPL012W	110_4413	OG1848
90S preribosome	Saccharomyces_cerevisiae@YPL081W	110_3067	OG1290
90S preribosome	Saccharomyces_cerevisiae@YPL090C	110_3653	OG1223
90S preribosome	Saccharomyces_cerevisiae@YPL126W	110_2419	OG2978
90S preribosome	Saccharomyces_cerevisiae@YPL217C	110_3645	OG1901
90S preribosome	Saccharomyces_cerevisiae@YPL266W	110_5382	OG2121
90S preribosome	Saccharomyces_cerevisiae@YPR112C	110_4709	OG1974
90S preribosome	Saccharomyces_cerevisiae@YPR137W	110_1274	OG1942
90S preribosome	Saccharomyces_cerevisiae@YPR144C	110_463	OG3217
AP-1 adaptor complex	Saccharomyces_cerevisiae@YKL135C	110_922	OG2264
AP-1 adaptor complex	Saccharomyces_cerevisiae@YLR170C	110_2180	OG3779
AP-1 adaptor complex	Saccharomyces_cerevisiae@YPL259C	110_5844	OG2042
AP-1 adaptor complex	Saccharomyces_cerevisiae@YPR029C	110_5715	OG1993
AP-2 adaptor complex	Saccharomyces_cerevisiae@YBL037W	110_123	OG3409
AP-2 adaptor complex	Saccharomyces_cerevisiae@YJR005W	110_1648	OG3391
AP-2 adaptor complex	Saccharomyces_cerevisiae@YJR058C	110_5380	OG3784
AP-2 adaptor complex	Saccharomyces_cerevisiae@YOL062C	110_4133	OG4188
AP-3 adaptor complex	Saccharomyces_cerevisiae@YBR288C	110_3929	OG3384
AP-3 adaptor complex	Saccharomyces_cerevisiae@YGR261C	110_4330	OG2669
AP-3 adaptor complex	Saccharomyces_cerevisiae@YJL024C	110_4244	OG2702
