enzyme	Kcat	ECC	rxnNames	enzGenes	enzNames	enz_panIDs
P54874	0.066699749742539	0.0885524323630154	hydroxymethylglutaryl CoA synthase (No1)	HMCS_SCHPO	HMCS_SCHPO	YML126C
P78780	0.120000768004915	0.0869827721201601	aspartate-semialdehyde dehydrogenase (No1)	DHAS_SCHPO	DHAS_SCHPO	YDR158W
O74374	0.739990883312318	0.0665166696890796	phosphoglucomutase (No1)	PGM_SCHPO	PGM_SCHPO	YKL127W
O13831	0.0223007207592949	0.0598235112449769	tryptophan synthase (indoleglycerol phosphate) (No1)	TRP_SCHPO	TRP_SCHPO	YGL026C
O14344	0.0299998680005808	0.0483659207672307	IMP dehydrogenase (No1)	IMDH_SCHPO	IMDH_SCHPO	YML056C
P36605	0.0460003606428274	0.0383533396373249	histidinol-phosphate transaminase (No1)	HIS8_SCHPO	HIS8_SCHPO	YIL116W
P40373	0.043299940419282	0.0324458077084779	ATP phosphoribosyltransferase (No1)	HIS1_SCHPO	HIS1_SCHPO	YER055C
P78820	6.0800178995727	0.0271131722248915	acetyl-CoA carboxylase, reaction (No1)	ACAC_SCHPO	ACAC_SCHPO	YNR016C
P41390	0.120000768004915	0.0256962273848809	phosphoribosylpyrophosphate amidotransferase (No1)	PUR1_SCHPO	PUR1_SCHPO	YMR300C
O14160	0.739990883312318	0.0244092417949477	valyl-tRNA synthetase (No1)	SYVM_SCHPO	SYVM_SCHPO	YGR094W
P78827	0.699991880094191	0.022551399340036	acetohydroxy acid isomeroreductase (No1)	ILV5_SCHPO	ILV5_SCHPO	YLR355C
O14228	0.3546657700716	0.0210507163042684	5'-phosphoribosylformyl glycinamidine synthetase (No1)	PUR4_SCHPO	PUR4_SCHPO	YGR061C
Q9UT19	0.450002880018432	0.0204952915922182	methionine synthase (No1)	METE_SCHPO	METE_SCHPO	YER091C
Q9P7R0	1.49996100101397	0.0190675477638345	shikimate kinase (No1)	ARO1_SCHPO	ARO1_SCHPO	YDR127W
Q10179	0.729995211231414	0.018332003276467	glycyl-tRNA synthetase (No1)	SYG_SCHPO	SYG_SCHPO	YBR121C
O60105	1.7400261699936	0.0181972438728295	adenylosuccinate lyase (No1)	PUR8_SCHPO	PUR8_SCHPO	YLR359W
P36580	64.5004824636088	0.0151975255994775	fructose-bisphosphate aldolase (No1)	ALF_SCHPO	ALF_SCHPO	YKL060C
Q09195	0.0647500647500647	0.0149924141649709	C-14 sterol reductase (No1)	ERG24_SCHPO	ERG24_SCHPO	YNL280C
O74766	1.49996100101397	0.0146493190510941	1-pyrroline-5-carboxylate dehydrogenase (No1)	PUT2_SCHPO	PUT2_SCHPO	YHR037W
P78958	122.202181064528	0.0144882846953955	glyceraldehyde-3-phosphate dehydrogenase (No1)	G3P1_SCHPO	G3P1_SCHPO	YJR009C
P36623	82.0008200082001	0.0141892640292273	phosphoglycerate mutase (No2)	PMGY_SCHPO	PMGY_SCHPO	YKL152C
O13914	2.20004576095183	0.0139434666647325	alanyl-tRNA synthetase (No1)	SYA_SCHPO	SYA_SCHPO	YOR335C
O14333	0.0533336746688512	0.0138505337911268	PS decarboxylase (1-16:1, 2-16:1), mitochondrial membrane (No1)	PSD1_SCHPO	PSD1_SCHPO	YNL169C
O94331	0.0999992000063999	0.0137908489431948	orotate phosphoribosyltransferase (reversible) (No1)	PYRE_SCHPO	PYRE_SCHPO	YMR271C
Q9C1W3	0.075999392004864	0.0132411094446263	squalene epoxidase (NADP) (No1)	ERG1_SCHPO	ERG1_SCHPO	YGR175C
Q10208	232.00348933248	0.0116365544010359	pyruvate kinase (No1)	KPYK_SCHPO	KPYK_SCHPO	YOR347C
O74524	1.81328923413916	0.0112313204128654	proline oxidase (NAD) (No1)	PROD_SCHPO	PROD_SCHPO	YLR142W
P40370	230.005612136936	0.0100973466847451	enolase (No2)	ENO11_SCHPO	ENO11_SCHPO	YPL281C
Q42598	0.800005120032768	0.008585797830265	threonine synthase (No1)	THRC_SCHPO	THRC_SCHPO	YCR053W
O74413	0.870013084996798	0.00800634898270661	chorismate synthase (No1)	AROC_SCHPO	AROC_SCHPO	YGL148W
P78827	0.699991880094191	0.00774614997389463	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate) (No1)	ILV5_SCHPO	ILV5_SCHPO	YLR355C
O14353	6.0800178995727	0.00745594888115962	acetyl-CoA carboxylase, reaction (No1)	BPL1_SCHPO	BPL1_SCHPO	YDL141W
Q9HDX2	197.32739772521	0.00721187669875272	(S)-lactate:oxygen 2-oxidoreductase (decarboxylating) (No1)	YKN3_SCHPO	YKN3_SCHPO	Aspergillus_nidulans@Seq_1060
O42938	356.999547324574	0.00711637807622927	phosphofructokinase (No1)	PFKA_SCHPO	PFKA_SCHPO	YGR240C
O14333	0.0533336746688512	0.00700446893166758	PS decarboxylase (1-16:0, 2-16:1), mitochondrial membrane (No1)	PSD1_SCHPO	PSD1_SCHPO	YNL169C
Q9UUF2	0.40999804840929	0.00684384314457456	methionyl-tRNA synthetase (No1)	SYMC_SCHPO	SYMC_SCHPO	YGR264C
O14333	0.0533336746688512	0.00612887475403834	PS decarboxylase (1-16:0, 2-18:1), mitochondrial membrane (No1)	PSD1_SCHPO	PSD1_SCHPO	YNL169C
O14333	0.0533336746688512	0.00612887475403834	PS decarboxylase (1-16:1, 2-18:1), mitochondrial membrane (No1)	PSD1_SCHPO	PSD1_SCHPO	YNL169C
Q9P7P0	0.160001024006554	0.0057849678089946	glycerol-3-phosphate acyltransferase (16:0), ER membrane (No1)	YOL4_SCHPO	YOL4_SCHPO	YBL011W
O94523	0.499996000032	0.00550513887658837	palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA), ER membrane (No1)	ACO1_SCHPO	ACO1_SCHPO	YGL055W
Q02787	5.5000055000055	0.0050752463252495	adenylosuccinate synthase (No1)	PURA_SCHPO	PURA_SCHPO	YNL220W
O13639	0.789994248841868	0.00458850959091464	adenosylhomocysteinase (No1)	SAHH_SCHPO	SAHH_SCHPO	YER043C
O13775	3.61	0.00420355990383688	glutamyl-tRNA synthetase (No1)	SYEC_SCHPO	SYEC_SCHPO	YGL245W
O42873	207.003336893791	0.00417148874135073	pyruvate decarboxylase (No2)	PDC4_SCHPO	PDC4_SCHPO	YDL080C
Q9P7P7	276.505850863804	0.00404275059614739	(S)-Lactate:D+ oxidoreductase (reversible) (No1)	LDH_SCHPO	LDH_SCHPO	Lachancea_fermentati@Seq_1522
O13651	4.63001546425165	0.00318544812282894	isoleucyl-tRNA synthetase (No1)	SYIC_SCHPO	SYIC_SCHPO	YBL076C
P36620	8.04989647833129	0.00317622119491218	acetolactate synthase (No2)	ILVB_SCHPO	ILVB_SCHPO	YMR108W
