enzyme	Kcat	ECC	rxnNames	enzGenes	enzNames	enz_panIDs
A0A109UYN1	29.0001334006136	0.125882191222728	glyceraldehyde-3-phosphate dehydrogenase (No1)	A0A109UYN1_9SACH	A0A109UYN1_9SACH	YJR009C
A0A0X8HU72	0.0223007207592949	0.11739049272185	tryptophan synthase (indoleglycerol phosphate) (No1)	A0A0X8HU72_9SACH	A0A0X8HU72_9SACH	YGL026C
A0A0X8HVE2	0.0299998680005808	0.10495476368216	IMP dehydrogenase (No1)	A0A0X8HVE2_9SACH	A0A0X8HVE2_9SACH	YML056C
A0A0X8HU50	0.066699749742539	0.0921272994104064	hydroxymethylglutaryl CoA synthase (No1)	A0A0X8HU50_9SACH	A0A0X8HU50_9SACH	YML126C
A0A0X8HUP6	0.230005612136936	0.0597613352943479	hydroxymethylglutaryl CoA reductase (No1)	A0A0X8HUP6_9SACH	A0A0X8HUP6_9SACH	YML075C
A0A0X8HWV9	7.0999329766327	0.0558088689287017	glutamine synthetase (No1)	A0A0X8HWV9_9SACH	A0A0X8HWV9_9SACH	YPR035W
A0A0X8HV53	0.120000768004915	0.0533702951810447	phosphoribosylpyrophosphate amidotransferase (No1)	A0A0X8HV53_9SACH	A0A0X8HV53_9SACH	YMR300C
A0A0X8HVU3	55.7999593776296	0.0519035195998581	hexokinase (D-glucose:ATP) (No2)	A0A0X8HVU3_9SACH	A0A0X8HVU3_9SACH	YGL253W
A0A109UZP0	0.699991880094191	0.0439574107443898	acetohydroxy acid isomeroreductase (No1)	A0A109UZP0_9SACH	A0A109UZP0_9SACH	YLR355C
A0A109UX51	1.49996100101397	0.0376645236858827	shikimate kinase (No1)	A0A109UX51_9SACH	A0A109UX51_9SACH	YDR127W
A0A0X8HSX2	64.5004824636088	0.0312800333430697	fructose-bisphosphate aldolase (No1)	A0A0X8HSX2_9SACH	A0A0X8HSX2_9SACH	YKL060C
A0A0X8HTB1	2.20004576095183	0.0274031407857283	alanyl-tRNA synthetase (No1)	A0A0X8HTB1_9SACH	A0A0X8HTB1_9SACH	YOR335C
A0A0X8HT91	232.00348933248	0.0240058174328163	pyruvate kinase (No1)	A0A0X8HT91_9SACH	A0A0X8HT91_9SACH	YOR347C
A0A109UXL7	0.0533336746688512	0.0183938222070238	PS decarboxylase (1-16:0, 2-16:1), mitochondrial membrane (No1)	A0A109UXL7_9SACH	A0A109UXL7_9SACH	YNL169C
A0A109UZP0	0.699991880094191	0.0150986599969036	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate) (No1)	A0A109UZP0_9SACH	A0A109UZP0_9SACH	YLR355C
A0A0X8HTZ2	356.999547324574	0.0150085996395394	phosphofructokinase (No1)	A0A0X8HTZ2_9SACH	A0A0X8HTZ2_9SACH	YGR240C
A0A109UYA7	60.0003840024576	0.0134538185522534	pyruvate carboxylase (No1)	A0A109UYA7_9SACH	A0A109UYA7_9SACH	YBR218C
A0A0X8HT56	2.50002500025	0.0106066818907694	2-methylcitrate dehydratase (No1)	A0A0X8HT56_9SACH	A0A0X8HT56_9SACH	YDR234W
A0A0X8HT56	2.50002500025	0.0106066818907694	homoacontinate hydratase (No2)	A0A0X8HT56_9SACH	A0A0X8HT56_9SACH	YDR234W
A0A0X8HWB8	13.7998796650493	0.00786465248831197	1,3-beta-glucan synthase (No4)	A0A0X8HWB8_9SACH	A0A0X8HWB8_9SACH	YGR032W
A0A109UYU0	0.499996000032	0.00557171649167753	palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA), ER membrane (No1)	A0A109UYU0_9SACH	A0A109UYU0_9SACH	YGL055W
A0A0X8HRB3	963.101649600506	0.00528852827399025	phosphoglycerate kinase (No1)	A0A0X8HRB3_9SACH	A0A0X8HRB3_9SACH	YCR012W
A0A120K0P8	529.999003601873	0.0050719127488109	phosphoglycerate mutase (No1)	A0A120K0P8_9SACH	A0A120K0P8_9SACH	YOR283W
A0A109V0F0	0.789994248841868	0.00471140994019295	adenosylhomocysteinase (No1)	A0A109V0F0_9SACH	A0A109V0F0_9SACH	YER043C
A0A109UXL7	0.0533336746688512	0.00464699791711059	PS decarboxylase (1-18:0, 2-16:1), mitochondrial membrane (No1)	A0A109UXL7_9SACH	A0A109UXL7_9SACH	YNL169C
A0A0X8HV61	49.9996000032	0.00350134966737729	adenylate kinase (No1)	A0A0X8HV61_9SACH	A0A0X8HV61_9SACH	YDL166C
A0A0X8HVM0	9.27007434599626	0.00327809615356137	2-isopropylmalate hydratase (reversible) (No1)	A0A0X8HVM0_9SACH	A0A0X8HVM0_9SACH	YGL009C
A0A0X8HVM0	9.27007434599626	0.00327809615356137	3-isopropylmalate dehydratase (reversible) (No1)	A0A0X8HVM0_9SACH	A0A0X8HVM0_9SACH	YGL009C
A0A0X8HSU0	999.992000064	0.00311988232666376	glucose-6-phosphate isomerase (No1)	A0A0X8HSU0_9SACH	A0A0X8HSU0_9SACH	YBR196C
A0A109V039	499.996000032	0.00276901941517578	triose-phosphate isomerase (No1)	A0A109V039_9SACH	A0A109V039_9SACH	YDR050C
A0A109UXL7	0.0533336746688512	0.00274307338144993	PS decarboxylase (1-16:1, 2-16:1), mitochondrial membrane (No1)	A0A109UXL7_9SACH	A0A109UXL7_9SACH	YNL169C
A0A109UYU0	0.35000035000035	0.00263030849094742	stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA), ER membrane (No1)	A0A109UYU0_9SACH	A0A109UYU0_9SACH	YGL055W
