enzyme	Kcat	ECC	rxnNames	enzGenes	enzNames	enz_panIDs
G0VBZ8	0.066699749742539	0.15527241342889	hydroxymethylglutaryl CoA synthase (No1)	G0VBZ8_NAUCC	G0VBZ8_NAUCC	YML126C
G0V6T0	0.230005612136936	0.102926468531804	hydroxymethylglutaryl CoA reductase (No1)	G0V6T0_NAUCC	G0V6T0_NAUCC	YML075C
G0VDI0	0.0223007207592949	0.102253681817215	tryptophan synthase (indoleglycerol phosphate) (No1)	G0VDI0_NAUCC	G0VDI0_NAUCC	YGL026C
G0VHC2	29.0001334006136	0.100158074238203	glyceraldehyde-3-phosphate dehydrogenase (No2)	G0VHC2_NAUCC	G0VHC2_NAUCC	YJR009C
G0V5V1	0.0299998680005808	0.0800081432852252	IMP dehydrogenase (No1)	G0V5V1_NAUCC	G0V5V1_NAUCC	YML056C
G0VE34	0.120000768004915	0.0697648046592713	phosphoribosylpyrophosphate amidotransferase (No1)	G0VE34_NAUCC	G0VE34_NAUCC	YMR300C
G0VF23	55.7999593776296	0.0528107469700142	hexokinase (D-glucose:ATP) (No1)	G0VF23_NAUCC	G0VF23_NAUCC	YGL253W
G0VKQ6	0.699991880094191	0.0372756374889353	acetohydroxy acid isomeroreductase (No1)	G0VKQ6_NAUCC	G0VKQ6_NAUCC	YLR355C
G0VJC3	64.5004824636088	0.0321904201149314	fructose-bisphosphate aldolase (No1)	G0VJC3_NAUCC	G0VJC3_NAUCC	YKL060C
G0VI51	0.0533336746688512	0.0308940552155605	PS decarboxylase (1-16:0, 2-16:1), mitochondrial membrane (No1)	G0VI51_NAUCC	G0VI51_NAUCC	YNL169C
G0VFN2	2.20004576095183	0.0234331868043931	alanyl-tRNA synthetase (No1)	G0VFN2_NAUCC	G0VFN2_NAUCC	YOR335C
Q875Z9	232.00348933248	0.021360376419613	pyruvate kinase (No1)	KPYK_NAUCC	KPYK_NAUCC	YOR347C
G0VCZ3	0.777000777000777	0.0172662315481703	argininosuccinate synthase (No1)	G0VCZ3_NAUCC	G0VCZ3_NAUCC	YOL058W
G0VEM6	356.999547324574	0.0155055303785439	phosphofructokinase (No2)	G0VEM6_NAUCC	G0VEM6_NAUCC	YGR240C
G0VEW0	0.870013084996798	0.0131207942355178	chorismate synthase (No1)	G0VEW0_NAUCC	G0VEW0_NAUCC	YGL148W
G0VKQ6	0.699991880094191	0.0128036350608445	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate) (No1)	G0VKQ6_NAUCC	G0VKQ6_NAUCC	YLR355C
G0VE27	13.7998796650493	0.0102840432844277	1,3-beta-glucan synthase (No4)	G0VE27_NAUCC	G0VE27_NAUCC	YGR032W
