enzyme	Kcat	ECC	rxnNames	enzGenes	enzNames	enz_panIDs
Q6CRB0	0.066699749742539	0.14064912450754	hydroxymethylglutaryl CoA synthase (No1)	Q6CRB0_KLULA	Q6CRB0_KLULA	YML126C
Q6CX23	29.0001334006136	0.100190054345775	glyceraldehyde-3-phosphate dehydrogenase (No1)	G3P2_KLULA	G3P2_KLULA	YJR009C
Q6CWE9	0.230005612136936	0.0936784892150865	hydroxymethylglutaryl CoA reductase (No1)	Q6CWE9_KLULA	Q6CWE9_KLULA	YML075C
Q6CNQ8	0.0223007207592949	0.0923380847595949	tryptophan synthase (indoleglycerol phosphate) (No1)	Q6CNQ8_KLULA	Q6CNQ8_KLULA	YGL026C
Q6CWA8	0.0299998680005808	0.0728939068374877	IMP dehydrogenase (No1)	Q6CWA8_KLULA	Q6CWA8_KLULA	YML056C
Q6CX97	0.120000768004915	0.0625321584917816	phosphoribosylpyrophosphate amidotransferase (No1)	Q6CX97_KLULA	Q6CX97_KLULA	YMR300C
Q6CID6	0.043299940419282	0.0469385995962882	ATP phosphoribosyltransferase (No1)	HIS1_KLULA	HIS1_KLULA	YER055C
Q6CY71	0.699991880094191	0.0335947000737408	acetohydroxy acid isomeroreductase (No1)	Q6CY71_KLULA	Q6CY71_KLULA	YLR355C
Q6CJC4	1.49996100101397	0.0290485444043868	shikimate kinase (No1)	ARO1_KLULA	ARO1_KLULA	YDR127W
Q6CRL5	0.0533336746688512	0.0275146496623866	PS decarboxylase (1-16:0, 2-16:1), mitochondrial membrane (No1)	Q6CRL5_KLULA	Q6CRL5_KLULA	YNL169C
Q9C2U0	64.5004824636088	0.025176050569979	fructose-bisphosphate aldolase (No1)	ALF_KLULA	ALF_KLULA	YKL060C
O13474	0.0999992000063999	0.0219827075192639	orotate phosphoribosyltransferase (reversible) (No1)	PYRE_KLULA	PYRE_KLULA	YMR271C
Q6CLJ9	2.20004576095183	0.0211867493325226	alanyl-tRNA synthetase (No1)	Q6CLJ9_KLULA	Q6CLJ9_KLULA	YOR335C
Q875M9	232.00348933248	0.0190648565010795	pyruvate kinase (No1)	KPYK_KLULA	KPYK_KLULA	YOR347C
Q70CP7	230.005612136936	0.0163906443360593	enolase (No1)	ENO_KLULA	ENO_KLULA	YPL281C
Q03216	356.999547324574	0.0117710043685708	phosphofructokinase (No1)	PFKA2_KLULA	PFKA2_KLULA	YGR240C
Q6CNY1	0.870013084996798	0.0116272931139624	chorismate synthase (No1)	Q6CNY1_KLULA	Q6CNY1_KLULA	YGL148W
Q6CY71	0.699991880094191	0.0115393149000647	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate) (No1)	Q6CY71_KLULA	Q6CY71_KLULA	YLR355C
Q12629	400.002560016384	0.0113850724867876	pyruvate decarboxylase (No1)	PDC1_KLULA	PDC1_KLULA	YDL080C
