enzyme	Kcat	ECC	rxnNames	enzGenes	enzNames	enz_panIDs
W0T8T6	0.0223007207592949	0.133028101379281	tryptophan synthase (indoleglycerol phosphate) (No1)	W0T8T6_KLUMD	W0T8T6_KLUMD	YGL026C
W0TG93	29.0001334006136	0.0667158530249434	glyceraldehyde-3-phosphate dehydrogenase (No1)	W0TG93_KLUMD	W0TG93_KLUMD	YJR009C
W0T3E2	0.120000768004915	0.0565497686461151	phosphoribosylpyrophosphate amidotransferase (No1)	W0T3E2_KLUMD	W0T3E2_KLUMD	YMR300C
W0T4Z7	0.499996000032	0.0494325922117301	palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA), ER membrane (No1)	W0T4Z7_KLUMD	W0T4Z7_KLUMD	YGL055W
W0TAV6	0.699991880094191	0.0487348607709448	acetohydroxy acid isomeroreductase (No1)	W0TAV6_KLUMD	W0TAV6_KLUMD	YLR355C
W0TFW4	103.501668446895	0.0437328727503443	ubiquinol:ferricytochrome c reductase (No1)	W0TFW4_KLUMD	W0TFW4_KLUMD	YBL045C
W0T8N1	0.789994248841868	0.0420153896800385	adenosylhomocysteinase (No1)	W0T8N1_KLUMD	W0T8N1_KLUMD	YER043C
W0T9T0	1.49996100101397	0.0418063845418022	shikimate kinase (No1)	W0T9T0_KLUMD	W0T9T0_KLUMD	YDR127W
W0TBV3	103.501668446895	0.0352555787128623	ubiquinol:ferricytochrome c reductase (No1)	W0TBV3_KLUMD	W0TBV3_KLUMD	YPR191W
W0TCJ3	2.20004576095183	0.0303786766666535	alanyl-tRNA synthetase (No1)	W0TCJ3_KLUMD	W0TCJ3_KLUMD	YOR335C
W0T3P9	55.7999593776296	0.0297267021163669	ATP:D-glucose 6-phosphotransferase (No1)	W0T3P9_KLUMD	W0T3P9_KLUMD	YDR516C
W0T7G1	103.501668446895	0.0288371683193461	ubiquinol:ferricytochrome c reductase (No1)	W0T7G1_KLUMD	W0T7G1_KLUMD	YOR065W
W0T4Z7	0.35000035000035	0.0233357093023006	stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA), ER membrane (No1)	W0T4Z7_KLUMD	W0T4Z7_KLUMD	YGL055W
W0T4N4	103.501668446895	0.0208170927555418	ubiquinol:ferricytochrome c reductase (No1)	W0T4N4_KLUMD	W0T4N4_KLUMD	YEL024W
W0T9W3	64.5004824636088	0.0168753574909173	fructose-bisphosphate aldolase (No1)	W0T9W3_KLUMD	W0T9W3_KLUMD	YKL060C
W0TGD1	0.870013084996798	0.0167773451534439	chorismate synthase (No1)	W0TGD1_KLUMD	W0TGD1_KLUMD	YGL148W
W0TAV6	0.699991880094191	0.0167395843412547	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate) (No1)	W0TAV6_KLUMD	W0TAV6_KLUMD	YLR355C
W0TAT2	0.533336746688512	0.0161319018817766	PS decarboxylase (1-16:0, 2-16:1), mitochondrial membrane (No1)	W0TAT2_KLUMD	W0TAT2_KLUMD	YNL169C
W0THG6	13.7998796650493	0.013649265702281	1,3-beta-glucan synthase (No4)	W0THG6_KLUMD	W0THG6_KLUMD	YGR032W
W0T4A3	103.501668446895	0.0131608711661497	ubiquinol:ferricytochrome c reductase (No1)	W0T4A3_KLUMD	W0T4A3_KLUMD	YDR529C
W0TDT2	232.00348933248	0.0125649073177298	pyruvate kinase (No1)	W0TDT2_KLUMD	W0TDT2_KLUMD	YOR347C
W0TEG9	18.0001152007373	0.0120645817746311	malate dehydrogenase (No1)	W0TEG9_KLUMD	W0TEG9_KLUMD	YKL085W
W0TFZ8	4.6	0.0119044663158184	hydroxymethylglutaryl CoA synthase (No1)	W0TFZ8_KLUMD	W0TFZ8_KLUMD	YML126C
W0T899	2.50002500025	0.0118128549168955	2-methylcitrate dehydratase (No1)	W0T899_KLUMD	W0T899_KLUMD	YDR234W
W0T899	2.50002500025	0.0118128548006324	homoacontinate hydratase (No2)	W0T899_KLUMD	W0T899_KLUMD	YDR234W
W0T8X6	103.501668446895	0.0112521641249069	ubiquinol:ferricytochrome c reductase (No1)	W0T8X6_KLUMD	W0T8X6_KLUMD	YGR183C
W0TBU7	103.501668446895	0.0110796969632603	ubiquinol:ferricytochrome c reductase (No1)	W0TBU7_KLUMD	W0TBU7_KLUMD	YEL039C
W0T9D3	4.90002959617876	0.00970683272770895	mevalonate pyrophoshate decarboxylase (No1)	W0T9D3_KLUMD	W0T9D3_KLUMD	YNR043W
W0TAW0	14.2860408237903	0.00960818151488325	fatty-acyl-CoA synthase (n-C16:0CoA) (No1)	W0TAW0_KLUMD	W0TAW0_KLUMD	YKL182W
W0TEK0	14.2860408237903	0.00874335252592279	fatty-acyl-CoA synthase (n-C16:0CoA) (No1)	W0TEK0_KLUMD	W0TEK0_KLUMD	YPL231W
W0TDM8	356.999547324574	0.00788531375732618	phosphofructokinase (No2)	W0TDM8_KLUMD	W0TDM8_KLUMD	YGR240C
W0TAT2	0.533336746688512	0.00748193748121859	PS decarboxylase (1-16:0, 2-18:1), mitochondrial membrane (No1)	W0TAT2_KLUMD	W0TAT2_KLUMD	YNL169C
W0T7M0	8.04989647833129	0.00723184739036971	acetolactate synthase (No2)	W0T7M0_KLUMD	W0T7M0_KLUMD	YMR108W
W0TG03	963.101649600506	0.00716042413368311	ATP synthase (No1)	W0TG03_KLUMD	W0TG03_KLUMD	YBL099W
W0TFY6	963.101649600506	0.00655882789646248	ATP synthase (No1)	W0TFY6_KLUMD	W0TFY6_KLUMD	YJR121W
W0THE4	27.8000177920114	0.00649016776991639	malate synthase (No1)	W0THE4_KLUMD	W0THE4_KLUMD	YNL117W
W0TGP2	7.0999329766327	0.00620347189882407	glutamine synthetase (No1)	W0TGP2_KLUMD	W0TGP2_KLUMD	YPR035W
W0T3G4	10.2000432481834	0.00523258012954646	phosphomevalonate kinase (No1)	W0T3G4_KLUMD	W0T3G4_KLUMD	YMR220W
W0TBE8	5.79996612819781	0.00500550412006194	lysyl-tRNA synthetase (No1)	W0TBE8_KLUMD	W0TBE8_KLUMD	YDR037W
W0T3P9	55.7999593776296	0.00476807090830011	hexokinase (D-glucose:ATP) (No1)	W0T3P9_KLUMD	W0T3P9_KLUMD	YDR516C
W0T7J6	1.7400261699936	0.004716471950808	adenylosuccinate lyase (No1)	W0T7J6_KLUMD	W0T7J6_KLUMD	YLR359W
W0TAT2	0.533336746688512	0.00425659368829345	PS decarboxylase (1-18:0, 2-16:1), mitochondrial membrane (No1)	W0TAT2_KLUMD	W0TAT2_KLUMD	YNL169C
W0TAT2	0.533336746688512	0.00425659366672017	PS decarboxylase (1-18:0, 2-18:1), mitochondrial membrane (No1)	W0TAT2_KLUMD	W0TAT2_KLUMD	YNL169C
W0T800	3.40001441606112	0.00402477078178696	cytochrome P450 lanosterol 14-alpha-demethylase (NADP) (No1)	W0T800_KLUMD	W0T800_KLUMD	YHR042W
W0TDL5	963.101649600506	0.00384849240377465	ATP synthase (No1)	W0TDL5_KLUMD	W0TDL5_KLUMD	YBR039W
W0TCR6	9.27007434599626	0.00374308142094568	2-isopropylmalate hydratase (reversible) (No1)	W0TCR6_KLUMD	W0TCR6_KLUMD	YGL009C
W0TCR6	9.27007434599626	0.00374308142094568	3-isopropylmalate dehydratase (reversible) (No1)	W0TCR6_KLUMD	W0TCR6_KLUMD	YGL009C
W0T7J6	1.7400261699936	0.0037393274811195	adenylosuccinate lyase (AICAR) (No1)	W0T7J6_KLUMD	W0T7J6_KLUMD	YLR359W
W0TDU0	49.9996000032	0.00343527475993417	adenylate kinase (No1)	W0TDU0_KLUMD	W0TDU0_KLUMD	YDL166C
W0TAW0	12.50012500125	0.00341285465592356	fatty-acyl-CoA synthase (n-C18:0CoA) (No1)	W0TAW0_KLUMD	W0TAW0_KLUMD	YKL182W
W0TA79	3.40001441606112	0.0031628119554975	cytochrome P450 lanosterol 14-alpha-demethylase (NADP) (No1)	W0TA79_KLUMD	W0TA79_KLUMD	YHR007C
W0T470	963.101649600506	0.0031151792430555	ATP synthase (No1)	W0T470_KLUMD	W0T470_KLUMD	YPL078C
W0TEK0	12.50012500125	0.00310566656347879	fatty-acyl-CoA synthase (n-C18:0CoA) (No1)	W0TEK0_KLUMD	W0TEK0_KLUMD	YPL231W
W0T5M1	1.55001271010422	0.00284360068444381	PS synthase (1-16:0, 2-16:1), ER membrane (No1)	W0T5M1_KLUMD	W0T5M1_KLUMD	YER026C
W0TA81	963.101649600506	0.00265404145848213	ATP synthase (No1)	W0TA81_KLUMD	W0TA81_KLUMD	YDR298C
W0TE22	10.01001001001	0.00252321787853171	phosphomannomutase (reversible) (No1)	W0TE22_KLUMD	W0TE22_KLUMD	YFL045C
W0T3H5	963.101649600506	0.00251322953954036	phosphoglycerate kinase (No1)	W0T3H5_KLUMD	W0T3H5_KLUMD	YCR012W
W0TAT2	0.533336746688512	0.00248857299116389	PS decarboxylase (1-16:1, 2-18:1), mitochondrial membrane (No1)	W0TAT2_KLUMD	W0TAT2_KLUMD	YNL169C
W0TAT2	0.533336746688512	0.00248857297372442	PS decarboxylase (1-16:1, 2-16:1), mitochondrial membrane (No1)	W0TAT2_KLUMD	W0TAT2_KLUMD	YNL169C
W0TDE8	0.45332970669568	0.00240957967727566	PI synthase (1-16:1, 2-16:1), ER membrane (No1)	W0TDE8_KLUMD	W0TDE8_KLUMD	YPR113W
W0TCT8	963.101649600506	0.00239339798738541	ATP synthase (No1)	W0TCT8_KLUMD	W0TCT8_KLUMD	YKL016C
