ID	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	LOWER BOUND	UPPER BOUND	OBJECTIVE	COMPARTMENT	MIRIAM	SUBSYSTEM
R00005	urea-1-carboxylate amidohydrolase	H2O[s] + Urea-1-carboxylate[s] <=> 2 CO2[s] + 2 Ammonia[s]	ec-code/3.5.1.54	maker-NODE_1_length_1866239_cov_27.8708_ID_1-augustus-gene-0.138-mRNA-1_1	-1000	1000			kegg.reaction/R00005;kegg.pathway/rn00220;kegg.pathway/rn00791;kegg.orthology/K14541;rhea/19032	Arginine biosynthesis;Atrazine degradation
R00006	pyruvate:pyruvate acetaldehydetransferase (decarboxylating);	2 Pyruvate[s] => CO2[s] + 2-Acetolactate[s]	ec-code/2.2.1.6	augustus_masked-NODE_5_length_492506_cov_27.4869_ID_9-processed-gene-3.210-mRNA-1_1 or augustus_masked-NODE_12_length_347462_cov_28.1594_ID_23-processed-gene-0.0-mRNA-1_1	0	1000			kegg.reaction/R00006;kegg.pathway/rn00770;kegg.orthology/K01652;kegg.orthology/K01653;rhea/20504	Pantothenate and CoA biosynthesis
R00009	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	2 Hydrogen peroxide[s] <=> 2 H2O[s] + Oxygen[s]	ec-code/1.11.1.6;ec-code/1.11.1.21	maker-NODE_3_length_533584_cov_27.3585_ID_5-snap-gene-4.56-mRNA-1_1 or augustus_masked-NODE_13_length_316427_cov_31.537_ID_25-processed-gene-1.29-mRNA-1_1 or augustus_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-2.32-mRNA-1_1	-1000	1000			kegg.reaction/R00009;kegg.pathway/rn00630;kegg.module/M00532;kegg.orthology/K03781;rhea/20312	Glyoxylate and dicarboxylate metabolism
R00010	alpha,alpha-trehalose glucohydrolase	H2O[s] + alpha,alpha-Trehalose[s] <=> 2 D-Glucose[s]	ec-code/3.2.1.28	augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-11.259-mRNA-1_1	-1000	1000			kegg.reaction/R00010;kegg.pathway/rn00500;kegg.orthology/K01194;rhea/32678	Starch and sucrose metabolism
R00014	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	Pyruvate[s] + Thiamin diphosphate[s] => CO2[s] + 2-(alpha-Hydroxyethyl)thiamine diphosphate[s]	ec-code/1.2.4.1;ec-code/2.2.1.6;ec-code/4.1.1.1	augustus_masked-NODE_11_length_349578_cov_28.2102_ID_21-processed-gene-1.2-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-5.36-mRNA-1_1 or augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-2.129-mRNA-1_1 or augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-9.155-mRNA-1_1 or augustus_masked-NODE_5_length_492506_cov_27.4869_ID_9-processed-gene-3.210-mRNA-1_1 or augustus_masked-NODE_12_length_347462_cov_28.1594_ID_23-processed-gene-0.0-mRNA-1_1	0	1000			kegg.reaction/R00014;kegg.pathway/rn00010;kegg.pathway/rn00020;kegg.pathway/rn00620;kegg.orthology/K00161;kegg.orthology/K00162;kegg.orthology/K01568;kegg.orthology/K01652;kegg.orthology/K01653	Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Pyruvate metabolism
R00021	L-glutamate:ferredoxin oxidoreductase (transaminating)	2 L-Glutamate[s] + 2 Oxidized ferredoxin[s] <=> 2-Oxoglutarate[s] + L-Glutamine[s] + 2 H+[s] + 2 Reduced ferredoxin[s]	ec-code/1.4.7.1	augustus_masked-NODE_30_length_172163_cov_26.6541_ID_59-processed-gene-0.53-mRNA-1_1	-1000	1000			kegg.reaction/R00021;kegg.pathway/rn00630;kegg.pathway/rn00910;kegg.orthology/K00284;rhea/12131	Glyoxylate and dicarboxylate metabolism;Nitrogen metabolism
R00022	chitobiose N-acetylglucosaminohydrolase	H2O[s] + Chitobiose[s] <=> 2 N-Acetyl-D-glucosamine[s]	ec-code/3.2.1.52	augustus_masked-NODE_5_length_492506_cov_27.4869_ID_9-processed-gene-0.15-mRNA-1_1 or augustus_masked-NODE_28_length_204468_cov_32.9351_ID_55-processed-gene-0.90-mRNA-1_1 or augustus_masked-NODE_13_length_316427_cov_31.537_ID_25-processed-gene-2.20-mRNA-1_1 or augustus_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-1.17-mRNA-1_1	-1000	1000			kegg.reaction/R00022;kegg.pathway/rn00520;kegg.orthology/K01207;kegg.orthology/K12373;rhea/30674	Amino sugar and nucleotide sugar metabolism
R00025	ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming)	Oxygen[s] + Reduced FMN[s] + Ethylnitronate[s] => H2O[s] + FMN[s] + Acetaldehyde[s] + Nitrite[s]	ec-code/1.13.12.16	augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-1.22-mRNA-1_1	0	1000			kegg.reaction/R00025;kegg.pathway/rn00910;kegg.orthology/K00459;rhea/26461	Nitrogen metabolism
R00026	cellobiose glucohydrolase	H2O[s] + Cellobiose[s] <=> 2 beta-D-Glucose[s]	ec-code/3.2.1.21	snap_masked-NODE_43_length_101563_cov_26.953_ID_85-processed-gene-0.72-mRNA-1_1 or augustus_masked-NODE_13_length_316427_cov_31.537_ID_25-processed-gene-2.12-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-11.18-mRNA-1_1 or snap_masked-NODE_13_length_316427_cov_31.537_ID_25-processed-gene-0.68-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-8.153-mRNA-1_1 or augustus_masked-NODE_13_length_316427_cov_31.537_ID_25-processed-gene-2.32-mRNA-1_1 or snap_masked-NODE_5_length_492506_cov_27.4869_ID_9-processed-gene-0.67-mRNA-1_1 or snap_masked-NODE_5_length_492506_cov_27.4869_ID_9-processed-gene-0.65-mRNA-1_1 or augustus_masked-NODE_21_length_257472_cov_26.5738_ID_41-processed-gene-1.146-mRNA-1_1 or snap_masked-NODE_38_length_115891_cov_36.554_ID_75-processed-gene-0.124-mRNA-1_1 or augustus_masked-NODE_17_length_297273_cov_27.7333_ID_33-processed-gene-1.269-mRNA-1_1 or augustus_masked-NODE_32_length_166735_cov_34.256_ID_63-processed-gene-0.51-mRNA-1_1	-1000	1000			kegg.reaction/R00026;kegg.orthology/K01188;kegg.orthology/K05349;kegg.orthology/K05350;rhea/30682	
R00028	maltose glucohydrolase	H2O[s] + Maltose[s] <=> 2 D-Glucose[s]	ec-code/3.2.1.20	augustus_masked-NODE_16_length_303609_cov_28.553_ID_31-processed-gene-0.29-mRNA-1_1 or augustus_masked-NODE_17_length_297273_cov_27.7333_ID_33-processed-gene-0.33-mRNA-1_1 or augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-0.89-mRNA-1_1 or augustus_masked-NODE_22_length_248937_cov_28.0058_ID_43-processed-gene-0.28-mRNA-1_1 or augustus_masked-NODE_34_length_143944_cov_26.1735_ID_67-processed-gene-0.170-mRNA-1_1 or augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-0.105-mRNA-1_1	-1000	1000			kegg.reaction/R00028;kegg.pathway/rn00500;kegg.orthology/K01187;kegg.orthology/K12316;kegg.orthology/K12317	Starch and sucrose metabolism
