ID	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	LOWER BOUND	UPPER BOUND	OBJECTIVE	COMPARTMENT	MIRIAM	SUBSYSTEM	REPLACEMENT ID	NOTE	REFERENCE	CONFIDENCE SCORE
RXN-1623	lysophosphatidate acyltransferase;acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase;1-acyl-sn-glycerol-3-phosphate acyltransferase gamma;1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon;1-acyl-sn-glycerol-3-phosphate acyl transferase;1-acyl-sn-glycerol-3-phosphate acyltransferase delta;1-acyl-sn-glycerol-3-phosphate acyltransferase beta;1-acyl-sn-glycero-3-phosphate acyltransferase	ACYL-COA[s] + ACYL-SN-GLYCEROL-3P[s] => coenzyme A[s] + L-PHOSPHATIDATE[s]	ec-code/2.3.1.51	jgi|Xylhe1|157888|CE157887_4674	0	1000			rhea/19710;kegg.reaction/R02241	diacylglycerol and triacylglycerol biosynthesis;CDP-diacylglycerol biosynthesis I				2
LEUKOTRIENE-A4-HYDROLASE-RXN	leukotriene A-4 hydrolase	leukotriene A4[s] + H2O[s] => leukotriene B4[s]	ec-code/3.3.2.6	jgi|Xylhe1|248284|fgenesh1_kg.7__121__Locus3157v1rpkm36.50	0	1000			rhea/22325;kegg.reaction/R03057	leukotriene biosynthesis				2
LANOSTEROL-SYNTHASE-RXN	2,3-oxidosqualene-lanosterol cyclase;lanosterol synthase	(3S)-2,3-epoxy-2,3-dihydrosqualene[s] => lanosterol[s]	ec-code/5.4.99.7	jgi|Xylhe1|249925|fgenesh1_kg.10__123__Locus2577v1rpkm48.23	0	1000			rhea/14622;kegg.reaction/R03199	lanosterol biosynthesis				2
LACTALDDEHYDROG-RXN	lactaldehyde dehydrogenase;NAD+ L-lactaldehyde dehydrogenase	(S)-lactaldehyde[s] + NAD+[s] + H2O[s] => (S)-lactate[s] + NADH[s] + 2 H+[s]	ec-code/1.2.1.22	jgi|Xylhe1|207195|e_gw1.1.666.1 or jgi|Xylhe1|215027|e_gw1.13.44.1	0	1000			rhea/14278;kegg.reaction/R01446	L-rhamnose degradation II;methylglyoxal degradation V;lactate biosynthesis (archaea);L-lactaldehyde degradation (aerobic)				2
L-XYLULOSE-REDUCTASE-RXN	L-xylulose reductase	NADP+[s] + xylitol[s] <=> L-xylulose[s] + NADPH[s] + H+[s]	ec-code/1.1.1.10	jgi|Xylhe1|213692|e_gw1.10.354.1	-1000	1000			rhea/17028;kegg.reaction/R01904	L-arabinose degradation II;D-glucuronate degradation I				2
L-RHAMNOSE-1-DEHYDROGENASE-RXN	NAD+-dependent L-rhamnofuranose 1-dehydrogenase;(NAD+) L-rhamnofuranose 1-dehydrogenase	L-RHAMNOFURANOSE[s] + NAD+[s] <=> L-rhamnono-1,4-lactone[s] + NADH[s] + H+[s]	ec-code/1.1.1.173	jgi|Xylhe1|93766|CE93765_2403	-1000	1000			rhea/12652;kegg.reaction/R03942	L-rhamnose degradation II;L-rhamnose degradation III				2
L-RHAMNONATE-DEHYDRATASE-RXN	L-rhamnoate dehydratase;L-rhamnonate dehydratase	L-rhamnonate[s] => 2-dehydro-3-deoxy-L-rhamnonate[s] + H2O[s]	ec-code/4.2.1.90	jgi|Xylhe1|245200|fgenesh1_kg.3__421__Locus4619v1rpkm18.69	0	1000			rhea/23080;kegg.reaction/R03774	L-rhamnose degradation II;L-rhamnose degradation III				2
RXN4FS-2	phosphatidyl-N-dimethylethanolamine N-methyltransferase	CPD-160[s] + S-ADENOSYLMETHIONINE[s] => S-adenosyl-L-homocysteine[s] + PHOSPHATIDYLCHOLINE[s] + H+[s]	ec-code/2.1.1.71	jgi|Xylhe1|242753|fgenesh1_kg.1__532__Locus3844v1rpkm26.83	0	1000			rhea/32740	phosphatidylcholine biosynthesis V;phosphatidylcholine biosynthesis IV;phosphatidylcholine biosynthesis III				2
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	glutamine:fructose-6-phosphate amidotransferase;D-glucosamine-6-phosphate synthase;glutaminemdashfructose-6-phosphate transaminase;glucosamine:fructose-6-phosphate aminotransferase;L-glutaminemdashD-fructose-6-phosphate aminotransferase;glucosamine-fructose-6-phosphate aminotransferase	beta-D-fructofuranose 6-phosphate[s] + L-glutamine[s] <=> D-GLUCOSAMINE-6-P[s] + L-glutamate[s]	ec-code/2.6.1.16	jgi|Xylhe1|245645|fgenesh1_kg.3__866__Locus180v1rpkm647.84	-1000	1000			rhea/13237;kegg.reaction/R00768	UDP-N-acetyl-D-galactosamine biosynthesis III;UDP-N-acetyl-D-glucosamine biosynthesis II;UDP-N-acetyl-D-glucosamine biosynthesis I;CMP-legionaminate biosynthesis I				2
RXN3O-9783	alpha-D-mannosyl-[protein] alpha-1,2 mannosyltransferase	GDP-alpha-D-mannose[s] + O-D-MANNOSYL-PROTEIN[s] => GDP[s] + Man-12-Man-Proteins[s] + H+[s]	ec-code/2.4.1	jgi|Xylhe1|243081|fgenesh1_kg.1__860__Locus826v1rpkm166.39 or jgi|Xylhe1|254036|fgenesh1_pm.10__110 or jgi|Xylhe1|271199|gm1.6905_g	0	1000				protein O-mannosylation I (yeast)				2
