model	phenotype	nRxns	nMets	nGenes	ec_nRxns	ec_nMets	ec_nEnz	isoenzymes	promiscuous	complexes	RxnWithKcat	gRate	GUR	acExc	EtExc	EtMax	gRate_exp	GUR_exp	EtOH_exp	topProt	topUsage	kcat	rxnName	MW	f_factor
Dekkera_bruxellensis	Normal	3726	2667	997	6964	3057	480	389	304	70	1551	0.15434984565	3.55851783670519	0	3.505535055	3.87453487046126	0.147	3.552476742	3.6900369	P00401	0.139049	12.0000768004915	ferrocytochrome-c:oxygen oxidoreductase (No1)	58.79755	0.66
Eremothecium_sinecaudum	Heat	3572	2586	890	5881	2719	238	132	143	32	788	0.119107980760032	1.56250646500466	0.00423634114285262	0	0	0.117	1.554208575	0	A0A0X8HU72	0.264008	0.0223007207592949	tryptophan synthase (indoleglycerol phosphate) (No1)	75.27679	0.06
Kluyveromyces_lactis	Normal	3928	2673	1042	6453	2828	335	154	197	57	1008	0.26774973225	4.79297556858019	0.623339989432919	0	0	0.255	2.664357557	0	Q6CWE9	0.174662	0.230005612136936	hydroxymethylglutaryl CoA reductase (No1)	117.90852	0.21
Kluyveromyces_marxianus	Heat	3923	2674	1035	6365	2821	269	146	170	50	890	0.3758996241	5.09343853088428	0	0	0	0.358	3.71899909	0	W0T8T6	0.283366	0.0223007207592949	tryptophan synthase (indoleglycerol phosphate) (No1)	76.80346	0.18
Komagataella_pastoris	Normal	3831	2678	829	6822	2897	690	219	394	163	3039	0.260670865235343	11.5410928154378	0.0151809083673893	0.4124158886	0.4558280874	0.268	2.886387353	0.434121988	P38972	0.278543	0.0499996000032	5'-phosphoribosylformyl glycinamidine synthetase (No1)	148.90358	0.32
Lachancea_fermentati	Normal	3873	2674	1046	6236	2794	277	119	171	58	790	0.314999685	8.26769828709174	0	9.17572915363426	9.65866226698344	0.3	7.826550323	9.767744736	A0A1G4MA57	0.289971	2.48994063981515	phosphoserine transaminase (No1)	42.94348	0.25
Lachancea_thermotolerans	Normal	3941	2665	1021	6382	2814	281	148	172	60	898	0.24044975955	6.45305771570464	0	6.30114630589985	6.63278558515774	0.229	5.883789605	6.945951812	C5DN86	0.24501	2.48994063981515	phosphoserine transaminase (No1)	42.82024	0.3
Naumovozyma_castellii	Normal	3836	2615	985	6157	2730	264	114	165	46	784	0.19634980365	8.91836393023799	1.57736236495151	13.0712520036404	13.7592126354109	0.187	10.15786319	14.32602561	G0VBZ8	0.175232	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.23338	0.23
Saccharomyces_eubayanus	Normal	3887	2644	1022	6147	2736	243	91	150	39	711	0.3401996598	11.8844866808788	0	15.9943822853849	16.8361918793525	0.324	11.10148982	17.79900152	A0A0L8RJY3	0.220556	0.0223007207592949	tryptophan synthase (indoleglycerol phosphate) (No1)	78.4081	0.22
Schizosaccharomyces_pombe	Pombe	3380	2547	936	6929	2985	835	437	502	199	2918	0.1280998719	7.13195014642923	0.204006782096029	6.3815932278	6.3815932278	0.122	4.551610826	6.077707836	O14228	0.093461	0.0499996000032	5'-phosphoribosylformyl glycinamidine synthetase (No1)	144.86543	0.81
Tetrapisispora_blattae	Normal	3889	2625	979	6203	2744	264	118	165	60	782	0.145139952751178	4.69494140493758	0	3.36639177175895	3.54357028606205	0.14	5.106685317	3.907097895	I2H7E2	0.189194	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	52.05737	0.16
Tetrapisispora_phaffii	Normal	3879	2627	1014	6323	2780	290	152	182	54	899	0.100270075305257	4.84416723354143	1.94783384886155	6.08278779470142	6.40277821554391	0.099	4.94016297	6.728890818	G8BQX2	0.149154	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.97992	0.14
Zygosaccharomyces_rouxii	Normal	3812	2644	1003	6160	2763	265	118	167	57	822	0.143408791787187	2.31538952817914	0	0.2062079443	0.221897060373489	0.15	1.665223473	0.217060994	C5DP64	0.154753	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.17533	0.19
yHMPu5000034710_Kluyveromyces_dobzhanskii	Normal	3886	2668	1042	6312	2804	277	135	169	53	887	0.29294970705	5.76273100717354	0	1.85587149965	2.05122434312361	0.279	4.163058682	1.953548947	A0A0A8L6I0	0.186789	0.0223007207592949	tryptophan synthase (indoleglycerol phosphate) (No1)	76.35403	0.22
