"rxn"	"query"	"formula"	"description"	"ko"	"pathway"	"pathway_name0"
"rn:R00782"	"YAL012W;YFR055W;YGL184C"	" L-Cysteine + H2O <=> Hydrogen sulfide + Pyruvate + Ammonia"	"L-cysteine hydrogen-sulfide-lyase (deaminating; pyruvate-forming)"	"K01758"	"path:map00260;path:map00270;path:map00450;path:map01100;path:map01130;path:map01230"	"sce00260  Glycine, serine and threonine metabolism;sce00270  Cysteine and methionine metabolism;sce00450  Selenocompound metabolism;sce01100  Metabolic pathways;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R01001"	"YAL012W"	" L-Cystathionine + H2O <=> L-Cysteine + Ammonia + 2-Oxobutanoate"	"L-cystathionine cysteine-lyase (deaminating; 2-oxobutanoate-forming)"	"K01758"	"path:map00260;path:map00270;path:map00450;path:map01100;path:map01130;path:map01230"	"sce00260  Glycine, serine and threonine metabolism;sce00270  Cysteine and methionine metabolism;sce00450  Selenocompound metabolism;sce01100  Metabolic pathways;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R02408"	"YAL012W;YFR055W;YGL184C"	" L-Cystine + H2O <=> Pyruvate + Ammonia + Thiocysteine"	"L-cystine thiocysteine-lyase (deaminating; pyruvate-forming)"	"K01758"	"path:map00260;path:map00270;path:map00450;path:map01100;path:map01130;path:map01230"	"sce00260  Glycine, serine and threonine metabolism;sce00270  Cysteine and methionine metabolism;sce00450  Selenocompound metabolism;sce01100  Metabolic pathways;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R04770"	"YAL012W"	" L-Selenomethionine + H2O <=> Methaneselenol + Ammonia + 2-Oxobutanoate"	"Selenomethionine methanethiol-lyase (deaminating)"	"K01758"	"path:map00260;path:map00270;path:map00450;path:map01100;path:map01130;path:map01230"	"sce00260  Glycine, serine and threonine metabolism;sce00270  Cysteine and methionine metabolism;sce00450  Selenocompound metabolism;sce01100  Metabolic pathways;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R04930"	"YAL012W"	" L-Selenocystathionine + H2O <=> L-Selenocysteine + Ammonia + 2-Oxobutanoate"	"Selenocystathionine Lysteine-lyase (deaminating)"	"K01758"	"path:map00260;path:map00270;path:map00450;path:map01100;path:map01130;path:map01230"	"sce00260  Glycine, serine and threonine metabolism;sce00270  Cysteine and methionine metabolism;sce00450  Selenocompound metabolism;sce01100  Metabolic pathways;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R09366"	"YAL012W"	" Se-Methyl-L-selenocysteine + H2O <=> Pyruvate + Ammonia + Methaneselenol"	"Se-methyl-L-selenocysteine methaneselenol-lyase (deaminating; pyruvate-forming)"	"K01758"	"path:map00260;path:map00270;path:map00450;path:map01100;path:map01130;path:map01230"	"sce00260  Glycine, serine and threonine metabolism;sce00270  Cysteine and methionine metabolism;sce00450  Selenocompound metabolism;sce01100  Metabolic pathways;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R04072"	"YAL023C;YDL093W;YDL095W;YDR307W;YGR199W;YJR143C;YOR321W"	" Dolichyl phosphate D-mannose + [Protein]-L-serine <=> Dolichyl phosphate + 3-O-(alpha-D-Mannosyl)-L-serinyl-[protein]"	"dolichyl-beta-D-mannosyl-phosphate:protein-serine O-D-mannosyltransferase"	"K00728"	"path:map00514;path:map00515;path:map01100"	"sce00514  Other types of O-glycan biosynthesis;sce00515  Mannose type O-glycan biosynthesis;sce01100  Metabolic pathways"
"rn:R07620"	"YAL023C;YDL093W;YDL095W;YDR307W;YGR199W;YJR143C;YOR321W"	"Dolichyl phosphate D-mannose + [Protein]-L-serine <=> Dolichyl phosphate + G13027"	"NONE"	"K00728"	"path:map00514;path:map00515;path:map01100"	"sce00514  Other types of O-glycan biosynthesis;sce00515  Mannose type O-glycan biosynthesis;sce01100  Metabolic pathways"
"rn:R11399"	"YAL023C;YDL093W;YDL095W;YDR307W;YGR199W;YJR143C;YOR321W"	" Dolichyl phosphate D-mannose + [Protein]-L-threonine <=> Dolichyl phosphate + 3-O-(alpha-D-Mannosyl)-L-threonyl-[protein]"	"dolichyl-beta-D-mannosyl-phosphate:protein-threonine O-D-mannosyltransferase"	"K00728"	"path:map00514;path:map00515;path:map01100"	"sce00514  Other types of O-glycan biosynthesis;sce00515  Mannose type O-glycan biosynthesis;sce01100  Metabolic pathways"
"rn:R00200"	"YAL038W;YOR347C"	" ATP + Pyruvate <=> ADP + Phosphoenolpyruvate"	"ATP:pyruvate 2-O-phosphotransferase"	"K00873"	"path:map00010;path:map00230;path:map00620;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230;path:map04922;path:map04930;path:map05165;path:map05203;path:map05230"	"sce00010  Glycolysis / Gluconeogenesis;sce00230  Purine metabolism;sce00620  Pyruvate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce04922  Glucagon signaling pathway;sce04930  Type II diabetes mellitus;sce05165  Human papillomavirus infection;sce05203  Viral carcinogenesis;sce05230  Central carbon metabolism in cancer"
