gene_IDs	gene_names	K_score
YEL047C	FRD1	1000
C4QY57_KOMPG	ICL1	1000
C4R320_KOMPG	Metschnikowia_proteae@Seq_895	1000
C4R626_KOMPG	TPI1	4.87938327736303
YGR087C	PDC6	2.08167416793093
YLR044C	PDC1	2.08167416793093
YLR134W	PDC5	2.08167416793093
C4R1P9_KOMPG	PYK2	2.0529798910193
YGR254W	ENO1	1.86252225379659
YHR174W	ENO2	1.86252225379659
C4R5P4_KOMPG	GPM1	1.86252225379659
YMR323W	ERR3	1.86252225379659
YOR393W	ERR1	1.86252225379659
C4R3H8_KOMPG	ERR2	1.86252225379659
C4QX32_KOMPG	YOR283W	1.86252225379659
C4QY07_KOMPG	PGK1	1.69049485594219
C4R0P1_KOMPG	TDH2	1.69049485594219
C4QW09_KOMPG	FBA1	1.20182589898977
PFKA1_KOMPG	PFK1	1.20182586122718
C4R4L7_KOMPG	PGI1	1.10299231237767
C4R8F9_KOMPG	EMI2	1.00200832919615
C4R3S1_KOMPG	CTP1	0.614105712712479
C4R3G8_KOMPG	SCT1	0.609935275413803
C4R760_KOMPG	PET9	0.60035445138937
YBR085W	AAC3	0.60035445138937
C4R7K6_KOMPG	yHMPu5000034605_Spencermartinsiella_europaea@Seq_3484	0.599039949661262
C4R0S8_KOMPG	ADH3	0.598477922995556
C4R8B5_KOMPG	IDH1	0.598347307382603
C4QZQ0_KOMPG	IDH2	0.598347307382603
C4QZ72_KOMPG	YHM2	0.59826757975191
YLR174W	IDP2	0.598239584209586
C4R819_KOMPG	PIC2	0.592268169514413
C4QZ00_KOMPG	MIR1	0.592268169514413
YMR303C	ADH2	0.582327079196439
PSD1_KOMPG	PSD1	0.559581844600309
C4R316_KOMPG	CDS1	0.559581844600309
C4QX25_KOMPG	CHO1	0.559581844600309
YKR067W	GPT2	0.545503842022681
C4R0S0_KOMPG	TGL4	0.425650569672991
C4QVE4_KOMPG	SLC1	0.374570247719127
YOR081C	TGL5	0.374570247719127
