rxnID	source	panID_kegg_web	panID_eggnog_web	panID_RAVEN_kegg	panID_RAVEN_biocyc	panID_inter	panID_union	seedID	keggID	rxn_name_seed	rxn_name_kegg	formula_MNX	balance_MNX	Equation_MNX	EC_MNX	biocycID	reverse_biocyc	formula_biocyc	seed_equation	seed_definition	seed_direction	seed_reversibility	reverse_correction	dead_met_num	exist_panYeast	kegg_pathway_name
MNXR107075	kegg_web;RAVEN_kegg	Arthrobotrys_oligospora@Seq_2506	NA	Arthrobotrys_oligospora@Seq_4180 or Arthrobotrys_oligospora@Seq_2506	NA	Arthrobotrys_oligospora@Seq_2506	Arthrobotrys_oligospora@Seq_2506;Arthrobotrys_oligospora@Seq_4180	rxn01164	kegg:R01593	Arachidonate:oxygen 15-oxidoreductase	arachidonate:oxygen 15-oxidoreductase	"1 `(5Z,8Z,11Z,14Z)-eicosatetraenoate` + 1 `O2` = 1 `(15S)-hydroperoxy-(5Z,8Z,11Z,13E)-eicosatetraenoate`"	TRUE	1 MNXM135@MNXD1 + 1 MNXM4@MNXD1 = 1 MNXM2314@MNXD1	1.13.11.33	ARACHIDONATE-15-LIPOXYGENASE-RXN	PHYSIOL-LEFT-TO-RIGHT	OXYGEN-MOLECULE + ARACHIDONIC_ACID => 5Z8Z11Z13E-15S-15-HYDROPEROXYICOS	(1) cpd00007[0] + (1) cpd00188[0] => (1) cpd03555[0]	(1) O2[0] + (1) Arachidonate[0] => (1) 15(S)-HPETE[0]	>	>	0	0	FALSE	Arachidonic acid metabolism;Metabolic pathways
MNXR108181	kegg_web;eggnog_web;RAVEN_kegg;RAVEN_biocyc	Metschnikowia_continentalis@Seq_6118;yHMPu5000035296_Priceomyces_carsonii@Seq_20;yHMPu5000034761_Lipomyces_lipofer@Seq_6191;Ashbya_aceri@Seq_3604;yHMPu5000034952_Citeromyces_siamensis@Seq_10051	Ashbya_aceri@Seq_3604;yHMPu5000034952_Citeromyces_siamensis@Seq_10051;Metschnikowia_continentalis@Seq_6118;yHMPu5000035296_Priceomyces_carsonii@Seq_20;yHMPu5000034761_Lipomyces_lipofer@Seq_6191;Botrytis_cinerea@Seq_5046	Ashbya_aceri@Seq_3604	yHMPu5000034761_Lipomyces_lipofer@Seq_6191	Metschnikowia_continentalis@Seq_6118;yHMPu5000035296_Priceomyces_carsonii@Seq_20;yHMPu5000034761_Lipomyces_lipofer@Seq_6191;Ashbya_aceri@Seq_3604;yHMPu5000034952_Citeromyces_siamensis@Seq_10051	Metschnikowia_continentalis@Seq_6118;yHMPu5000035296_Priceomyces_carsonii@Seq_20;yHMPu5000034761_Lipomyces_lipofer@Seq_6191;Ashbya_aceri@Seq_3604;yHMPu5000034952_Citeromyces_siamensis@Seq_10051;Botrytis_cinerea@Seq_5046	rxn02469	kegg:R03451	"N6,N6,N6-Trimethyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)"	"N6,N6,N6-Trimethyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)"	"1 `CO2` + 1 `succinate` + 1 `3-hydroxy-N(6),N(6),N(6)-trimethyl-L-lysine` = 1 `N(6),N(6),N(6)-trimethyl-L-lysine` + 1 `2-oxoglutarate` + 1 `O2`"	TRUE	1 MNXM13@MNXD1 + 1 MNXM25@MNXD1 + 1 MNXM990@MNXD1 = 1 MNXM1486@MNXD1 + 1 MNXM20@MNXD1 + 1 MNXM4@MNXD1	1.14.11.8	TRIMETHYLLYSINE-DIOXYGENASE-RXN	PHYSIOL-LEFT-TO-RIGHT	N6N6N6-TRIMETHYL-L-LYSINE + 2-KETOGLUTARATE + OXYGEN-MOLECULE => 3-HYDROXY-N6N6N6-TRIMETHYL-L-LYSINE + SUC + CARBON-DIOXIDE	(1) cpd00007[0] + (1) cpd00024[0] + (1) cpd02374[0] => (1) cpd00011[0] + (1) cpd00036[0] + (1) cpd00923[0]	"(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) N6,N6,N6-Trimethyl-L-lysine[0] => (1) CO2[0] + (1) Succinate[0] + (1) 3-Hydroxy-N6,N6,N6-trimethyl-L-lysine[0]"	>	>	0	2	TRUE	Lysine degradation
MNXR99615	kegg_web;eggnog_web;RAVEN_kegg;RAVEN_biocyc	yHMPu5000034950_Citeromyces_hawaiiensis@Seq_699;yHMPu5000034749_Lipomyces_mesembrius@Seq_2116;Lipomyces_starkeyi@Seq_4667;yHMPu5000034749_Lipomyces_mesembrius@Seq_6687;yHMPu5000034760_Lipomyces_kononenkoae@Seq_4642	yHMPu5000034749_Lipomyces_mesembrius@Seq_6687;yHMPu5000034760_Lipomyces_kononenkoae@Seq_4642;yHMPu5000034950_Citeromyces_hawaiiensis@Seq_699;yHMPu5000034749_Lipomyces_mesembrius@Seq_2116;Sclerotinia_sclerotiorum@Seq_10133;Lipomyces_starkeyi@Seq_4667	Lipomyces_starkeyi@Seq_4667	Lipomyces_starkeyi@Seq_4667	yHMPu5000034950_Citeromyces_hawaiiensis@Seq_699;yHMPu5000034749_Lipomyces_mesembrius@Seq_2116;Lipomyces_starkeyi@Seq_4667;yHMPu5000034749_Lipomyces_mesembrius@Seq_6687;yHMPu5000034760_Lipomyces_kononenkoae@Seq_4642	yHMPu5000034950_Citeromyces_hawaiiensis@Seq_699;yHMPu5000034749_Lipomyces_mesembrius@Seq_2116;Lipomyces_starkeyi@Seq_4667;yHMPu5000034749_Lipomyces_mesembrius@Seq_6687;yHMPu5000034760_Lipomyces_kononenkoae@Seq_4642;Sclerotinia_sclerotiorum@Seq_10133	rxn00374	kegg:R00524	Formamide amidohydrolase	Formamide amidohydrolase	1 `formamide` + 1 `H2O` = 1 `NH4(+)` + 1 `formate`	TRUE	1 MNXM1231@MNXD1 + 1 MNXM2@MNXD1 = 1 MNXM15@MNXD1 + 1 MNXM39@MNXD1	3.5.1.49	FORMAMIDASE-RXN	LEFT-TO-RIGHT	WATER + FORMAMIDE => AMMONIUM + FORMATE	(1) cpd00001[0] + (1) cpd00378[0] => (1) cpd00013[0] + (1) cpd00047[0]	(1) H2O[0] + (1) Formamide[0] => (1) NH3[0] + (1) Formate[0]	>	>	0	0	TRUE	Cyanoamino acid metabolism;Glyoxylate and dicarboxylate metabolism;Nitrogen metabolism;Carbon metabolism
MNXR100551	kegg_web	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608;Candida_versatilis@Seq_3576	NA	NA	NA	NA	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608;Candida_versatilis@Seq_3576	rxn06037	kegg:R01778	(3S)-3-Hydroxyacyl-CoA:NAD+ oxidoreductase	(3S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase	1 `(3S)-hydroxyacyl-CoA` + 1 `NAD(+)` = 1 `H(+)` + 1 `NADH` + 1 `3-oxo-fatty acyl-CoA`	TRUE	1 MNXM1875@MNXD1 + 1 MNXM8@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM1310@MNXD1	1.1.1.211;1.1.1.35	OHACYL-COA-DEHYDROG-RXN	PHYSIOL-LEFT-TO-RIGHT	L-3-HYDROXYACYL-COA + NAD => 3-KETOACYL-COA + NADH + PROTON	(1) cpd00003[0] + (1) cpd11718[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd11637[0]	(1) NAD[0] + (1) (S)-3-Hydroxyacyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxoacyl-CoA[0]	=	?	0	0	FALSE	Fatty acid elongation
MNXR100541	kegg_web;eggnog_web;RAVEN_biocyc	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608;Coccidioides_immitis@Seq_9397;Candida_versatilis@Seq_3576	yHMPu5000035677_Kodamaea_ohmeri@Seq_944	NA	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608 or Lipomyces_starkeyi@Seq_7051 or yHMPu5000035282_Trigonopsis_vinaria@Seq_3748	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608;Coccidioides_immitis@Seq_9397;Candida_versatilis@Seq_3576;yHMPu5000035677_Kodamaea_ohmeri@Seq_944;Lipomyces_starkeyi@Seq_7051;yHMPu5000035282_Trigonopsis_vinaria@Seq_3748	rxn01451	kegg:R01975	(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase	(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase	1 `H(+)` + 1 `NADH` + 1 `acetoacetyl-CoA` = 1 `(3S)-hydroxybutanoyl-CoA` + 1 `NAD(+)`	TRUE	1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM133@MNXD1 = 1 MNXM446@MNXD1 + 1 MNXM8@MNXD1	1.1.1.35	RXN-11662	REVERSIBLE	S-3-HYDROXYBUTANOYL-COA + NAD <=> ACETOACETYL-COA + NADH + PROTON	(1) cpd00003[0] + (1) cpd00842[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd00279[0]	(1) NAD[0] + (1) (S)-3-Hydroxybutyryl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) Acetoacetyl-CoA[0]	=	=	1	0	TRUE	Fatty acid degradation;Lysine degradation;Tryptophan metabolism;Butanoate metabolism;Carbon fixation pathways in prokaryotes;Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism;Fatty acid metabolism
MNXR100550	kegg_web;eggnog_web	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608;Xylona_heveae@Seq_7098;yHMPu5000034761_Lipomyces_lipofer@Seq_2905;Candida_versatilis@Seq_3576;Fusarium_graminearum@Seq_13005	yHMPu5000035677_Kodamaea_ohmeri@Seq_944	NA	NA	NA	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608;Xylona_heveae@Seq_7098;yHMPu5000034761_Lipomyces_lipofer@Seq_2905;Candida_versatilis@Seq_3576;Fusarium_graminearum@Seq_13005;yHMPu5000035677_Kodamaea_ohmeri@Seq_944	rxn02933	kegg:R04203	"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase"	"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase"	"1 `H(+)` + 1 `NADH` + 1 `2-methyl-3-oxobutanoyl-CoA` = 1 `(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA` + 1 `NAD(+)`"	TRUE	1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM524@MNXD1 = 1 MNXM701@MNXD1 + 1 MNXM8@MNXD1	1.1.1.178;1.1.1.35	1.1.1.178-RXN	REVERSIBLE	NAD + 2-METHYL-3-HYDROXY-BUTYRYL-COA <=> PROTON + NADH + 2-METHYL-ACETO-ACETYL-COA	(1) cpd00003[0] + (1) cpd02691[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd02124[0]	(1) NAD[0] + (1) 2-methyl-3-hydroxy-butyryl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 2-Methylacetoacetyl-CoA[0]	=	=	1	1	TRUE	"Valine, leucine and isoleucine degradation;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics"
MNXR100548	kegg_web;eggnog_web	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608;Candida_versatilis@Seq_3576	yHMPu5000035677_Kodamaea_ohmeri@Seq_944	NA	NA	NA	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608;Candida_versatilis@Seq_3576;yHMPu5000035677_Kodamaea_ohmeri@Seq_944	rxn03239	kegg:R04737	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase	1 `H(+)` + 1 `NADH` + 1 `3-oxohexadecanoyl-CoA` = 1 `NAD(+)` + 1 `(3S)-hydroxyhexadecanoyl-CoA`	TRUE	1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM738@MNXD1 = 1 MNXM8@MNXD1 + 1 MNXM825@MNXD1	1.1.1.211;1.1.1.35	RXN-14271	REVERSIBLE	CPD0-2232 + NAD <=> 3-OXOPALMITOYL-COA + NADH + PROTON	(1) cpd00003[0] + (1) cpd03113[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd03114[0]	(1) NAD[0] + (1) (S)-3-Hydroxyhexadecanoyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxopalmitoyl-CoA[0]	=	=	1	0	TRUE	Fatty acid elongation;Fatty acid degradation;Metabolic pathways;Fatty acid metabolism
MNXR100547	kegg_web;eggnog_web	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608;Candida_versatilis@Seq_3576	yHMPu5000035677_Kodamaea_ohmeri@Seq_944	NA	NA	NA	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608;Candida_versatilis@Seq_3576;yHMPu5000035677_Kodamaea_ohmeri@Seq_944	rxn06777	kegg:R04739	(S)-3-Hydroxytetradecanoyl-CoA:NAD+ oxidoreductase	(S)-3-Hydroxytetradecanoyl-CoA:NAD+ oxidoreductase	1 `H(+)` + 1 `NADH` + 1 `3-oxotetradecanoyl-CoA` = 1 `(3S)-hydroxytetradecanoyl-CoA` + 1 `NAD(+)`	TRUE	1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM707@MNXD1 = 1 MNXM767@MNXD1 + 1 MNXM8@MNXD1	1.1.1.211;1.1.1.35	RXN-12507	PHYSIOL-LEFT-TO-RIGHT	CPD0-2171 + NAD => CPD-10284 + NADH + PROTON	(1) cpd00003[0] + (1) cpd03115[0] <= (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd12689[0]	(1) NAD[0] + (1) (S)-3-Hydroxytetradecanoyl-CoA[0] <= (1) NADH[0] + (1) H+[0] + (1) 3-Oxotetradecanoyl-CoA[0]	<	=	0	0	TRUE	Fatty acid elongation;Fatty acid degradation;Metabolic pathways;Fatty acid metabolism
MNXR100545	kegg_web	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608;Candida_versatilis@Seq_3576	NA	NA	NA	NA	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608;Candida_versatilis@Seq_3576	rxn03244	kegg:R04743	(S)-hydroxydecanoyl-CoA:NAD+ oxidoreductase	(S)-hydroxydecanoyl-CoA:NAD+ oxidoreductase	1 `H(+)` + 1 `NADH` + 1 `3-oxodecanoyl-CoA` = 1 `(3S)-hydroxydecanoyl-CoA` + 1 `NAD(+)`	TRUE	1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM677@MNXD1 = 1 MNXM674@MNXD1 + 1 MNXM8@MNXD1	1.1.1.211;1.1.1.35	RXN-12490	LEFT-TO-RIGHT	CPD0-2244 + NAD => CPD0-2123 + NADH + PROTON	(1) cpd00003[0] + (1) cpd03118[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd03119[0]	(1) NAD[0] + (1) (S)-Hydroxydecanoyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxodecanoyl-CoA[0]	=	=	0	0	TRUE	Fatty acid elongation;Fatty acid degradation;Metabolic pathways;Fatty acid metabolism
MNXR100543	kegg_web;eggnog_web;RAVEN_biocyc	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608;Candida_versatilis@Seq_3576	yHMPu5000035677_Kodamaea_ohmeri@Seq_944	NA	Lipomyces_starkeyi@Seq_7051	NA	yHMPu5000034635_Nadsonia_fulvescens@Seq_2608;Candida_versatilis@Seq_3576;yHMPu5000035677_Kodamaea_ohmeri@Seq_944;Lipomyces_starkeyi@Seq_7051	rxn03249	kegg:R04748	(S)-hydroxyhexanoyl-CoA:NAD+ oxidoreductase	(S)-hydroxyhexanoyl-CoA:NAD+ oxidoreductase	1 `H(+)` + 1 `NADH` + 1 `3-oxohexanoyl-CoA` = 1 `(3S)-hydroxyhexanoyl-CoA` + 1 `NAD(+)`	TRUE	1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM717@MNXD1 = 1 MNXM757@MNXD1 + 1 MNXM8@MNXD1	1.1.1.211;1.1.1.35	RXN-12570	RIGHT-TO-LEFT	K-HEXANOYL-COA + NADH + PROTON => OH-HEXANOYL-COA + NAD	(1) cpd00003[0] + (1) cpd03122[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd03123[0]	(1) NAD[0] + (1) (S)-Hydroxyhexanoyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxohexanoyl-CoA[0]	=	=	0	0	TRUE	Fatty acid elongation;Fatty acid degradation;Metabolic pathways;Fatty acid metabolism
