mRNA	KO
augustus_masked-sim-_s235-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-sim-_s235-processed-gene-0.97&CDS=1-1086	lad_MNXR117337_metschnikowia_similis
augustus_masked-sim-_s226-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s226-processed-gene-0.12&CDS=1-1530	K00849_R01092_metschnikowia_similis
augustus_masked-sim-_s226-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-sim-_s226-processed-gene-0.16&CDS=1-1158	K00965_R00955_metschnikowia_similis
augustus_masked-sim-_s225-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-sim-_s225-processed-gene-0.40&CDS=1-2091	K01784_R00291_metschnikowia_similis
augustus_masked-sim-_s226-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-sim-_s226-processed-gene-0.17&CDS=1-2118	K01784_R00291_metschnikowia_similis
augustus_masked-sim-_s246-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-sim-_s246-processed-gene-1.119&CDS=1-1449	K03781_R00009_metschnikowia_similis
snap_masked-sim-_s235-processed-gene-0.69-mRNA-1_1&gene=snap_masked-sim-_s235-processed-gene-0.69&CDS=1-1134	K00121_R06983_metschnikowia_similis
augustus_masked-sim-_s426-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s426-processed-gene-0.2&CDS=1-864	K01070_R00527_metschnikowia_similis
augustus_masked-sim-_s246-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-sim-_s246-processed-gene-1.127&CDS=1-1128	K00122_R00519_metschnikowia_similis
genemark-sim-_s496-processed-gene-0.30-mRNA-1_1&gene=genemark-sim-_s496-processed-gene-0.30&CDS=1-831	YALI0F01650p_MNXR121148_metschnikowia_similis
augustus_masked-sim-_s494-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-sim-_s494-processed-gene-0.17&CDS=1-1767	YALI0F01606g_R11461_metschnikowia_similis
-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-gi|1002316613|dbj|BCGP01000007.1|-processed-gene-4.81&CDS=1-1095	lad_MNXR117337_candida_boidinii_JCM9604
-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-gi|1002316610|dbj|BCGP01000010.1|-processed-gene-1.34&CDS=1-1989	K17066_R00608_candida_boidinii_JCM9604
-processed-gene-17.1-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-17.1&CDS=1-1518	K03781_R00009_candida_boidinii_JCM9604
-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-gi|1002316606|dbj|BCGP01000014.1|-processed-gene-1.16&CDS=1-2118	dha1_R01440_candida_boidinii_JCM9604
-processed-gene-14.75-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-14.75&CDS=1-1140	K00121_R06983_candida_boidinii_JCM9604
-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-gi|1002316613|dbj|BCGP01000007.1|-processed-gene-5.21&CDS=1-903	K01070_R00527_candida_boidinii_JCM9604
-processed-gene-19.66-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.66&CDS=1-1092	K00122_R00519_candida_boidinii_JCM9604
-snap-gene-14.2-mRNA-1_1&gene=maker-gi|1002316616|dbj|BCGP01000004.1|-snap-gene-14.2&CDS=1-1800	YALI0F01650p_MNXR121148_candida_boidinii_JCM9604
-processed-gene-15.43-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-15.43&CDS=1-1824	YALI0F01606g_R11461_candida_boidinii_JCM9604
-processed-gene-15.54-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-15.54&CDS=1-480	K21911_R11333_candida_boidinii_JCM9604
-processed-gene-9.6-mRNA-1_1&gene=augustus_masked-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-9.6&CDS=1-1674	K02575_MNXR101912_candida_boidinii_JCM9604
-processed-gene-9.24-mRNA-1_1&gene=augustus_masked-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-9.24&CDS=1-2667	K10534_R00794_candida_boidinii_JCM9604
-processed-gene-9.7-mRNA-1_1&gene=augustus_masked-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-9.7&CDS=1-3303	K17877_R00787_candida_boidinii_JCM9604
augustus_masked-scf7180000044645-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-scf7180000044645-processed-gene-2.130&CDS=1-1548	K00849_R01092_yHAB166_kazachstania_yakushimaensis
augustus_masked-scf7180000044633-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-scf7180000044633-processed-gene-0.147&CDS=1-1095	K00965_R00955_yHAB166_kazachstania_yakushimaensis
augustus_masked-scf7180000044633-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-scf7180000044633-processed-gene-0.148&CDS=1-2076	K01784_R00291_yHAB166_kazachstania_yakushimaensis
maker-scf7180000044589-augustus-gene-0.80-mRNA-1_1&gene=maker-scf7180000044589-augustus-gene-0.80&CDS=1-3258	K03781_R00009_yHAB166_kazachstania_yakushimaensis
genemark-scf7180000044468-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000044468-processed-gene-0.1&CDS=1-222	K03781_R00009_yHAB166_kazachstania_yakushimaensis
augustus_masked-scf7180000044640-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-scf7180000044640-processed-gene-2.22&CDS=1-1140	K00121_R06983_yHAB166_kazachstania_yakushimaensis
maker-scf7180000044573-snap-gene-0.137-mRNA-1_1&gene=maker-scf7180000044573-snap-gene-0.137&CDS=1-2682	K01070_R00527_yHAB166_kazachstania_yakushimaensis
genemark-scf7180000044572-processed-gene-0.95-mRNA-1_1&gene=genemark-scf7180000044572-processed-gene-0.95&CDS=1-4713	YALI0F01606g_R11461_yHAB166_kazachstania_yakushimaensis
snap_masked-LN736374.1-processed-gene-0.140-mRNA-1_1&gene=snap_masked-LN736374.1-processed-gene-0.140&CDS=1-1062	lad_MNXR117337_lachancea_lanzarotensis
genemark-LN736367.1-processed-gene-4.69-mRNA-1_1&gene=genemark-LN736367.1-processed-gene-4.69&CDS=1-1545	K00849_R01092_lachancea_lanzarotensis
snap_masked-LN736367.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.53&CDS=1-1098	K00965_R00955_lachancea_lanzarotensis
snap_masked-LN736367.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.52&CDS=1-2064	K01784_R00291_lachancea_lanzarotensis
snap_masked-LN736363.1-processed-gene-3.120-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-3.120&CDS=1-1536	K03781_R00009_lachancea_lanzarotensis
snap_masked-LN736364.1-processed-gene-8.138-mRNA-1_1&gene=snap_masked-LN736364.1-processed-gene-8.138&CDS=1-1143	K00121_R06983_lachancea_lanzarotensis
snap_masked-LN736372.1-processed-gene-1.78-mRNA-1_1&gene=snap_masked-LN736372.1-processed-gene-1.78&CDS=1-906	K01070_R00527_lachancea_lanzarotensis
snap_masked-LN736365.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-0.0&CDS=1-1698	inu_MNXR115392_lachancea_lanzarotensis
snap_masked-LN736361.1-processed-gene-3.58-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-3.58&CDS=1-843	YALI0F01650p_MNXR121148_lachancea_lanzarotensis
snap_masked-LN736362.1-processed-gene-7.38-mRNA-1_1&gene=snap_masked-LN736362.1-processed-gene-7.38&CDS=1-1755	YALI0F01606g_R11461_lachancea_lanzarotensis
genemark-NODE_48_length_61659_cov_13.6691_ID_8738-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_48_length_61659_cov_13.6691_ID_8738-processed-gene-0.36&CDS=1-1044	larab_R01903_yHMPu5000035252_yamadazyma_nakazawae
genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-1.133-mRNA-1_1&gene=genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-1.133&CDS=1-1536	K00849_R01092_yHMPu5000035252_yamadazyma_nakazawae
genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-1.134-mRNA-1_1&gene=genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-1.134&CDS=1-1194	K00965_R00955_yHMPu5000035252_yamadazyma_nakazawae
genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-1.109-mRNA-1_1&gene=genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-1.109&CDS=1-2061	K01784_R00291_yHMPu5000035252_yamadazyma_nakazawae
genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.55-mRNA-1_1&gene=genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.55&CDS=1-1086	lad_MNXR117337_yHMPu5000035252_yamadazyma_nakazawae
