rxns	rxnNames	formulas	flux	grRules	subSystems
r_0006	1,6-beta-glucan synthase	UDP-D-glucose[c] => (1->6)-beta-D-glucan[ce] + H+[c] + UDP[c]	0.0651916479163815	YGR143W	
r_0070	4-hydroxybenzoate formation	4-hydroxybenzoyl-CoA[m] + H2O[m] => 4-hydroxybenzoate[m] + coenzyme A[m] + H+[m]	0		
r_0094	8-amino-7-oxononanoate synthase	L-alanine[c] + pimeloyl-CoA[c] => 8-amino-7-oxononanoate[c] + carbon dioxide[c] + coenzyme A[c] + 4 H+[c]	0	YAR069W-A or YHR214W-F	
r_0099	acetyl-CoA ACP transacylase	acetyl-CoA[m] + ACP1[m] => acetyl-ACP[m] + coenzyme A[m]	0	YKL192C	sce00190  Oxidative phosphorylation
r_0200	Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	aminoacetone[c] + H2O[c] + oxygen[c] => ammonium[c] + hydrogen peroxide[c] + methylglyoxal[c]	0		
r_0321	D-arabinose 1-dehydrogenase (NADP)	D-arabinose[c] + NADP(+)[c] => D-arabinono-1,4-lactone[c] + H+[c] + NADPH[c]	0	YBR148W	
r_0461	geranylgeranyltranstransferase	geranylgeranyl diphosphate[c] + isopentenyl diphosphate[c] => diphosphate[c] + pentaprenyl diphosphate[c]	0		
r_0465	glucosamine-6-phosphate deaminase	alpha-D-glucosamine 6-phosphate[c] + H2O[c] => ammonium[c] + D-fructose 6-phosphate[c]	0		
r_0484	glutathione peroxidase, mitochondria	2 glutathione[m] + hydrogen peroxide[m] => glutathione disulfide[m] + 2 H2O[m]	0	YPL059W	
r_0500	glycine C-acetyltransferase	coenzyme A[c] + L-2-amino-3-oxobutanoate[c] => acetyl-CoA[c] + L-glycine[c]	0		
r_0526	guanine deaminase	guanine[c] + H+[c] + H2O[c] => 9H-xanthine[c] + ammonium[c]	0	YDL239C	sce00230  Purine metabolism
r_0561	hydroxymethylpyrimidine kinase (ATP)	4-amino-5-hydroxymethyl-2-methylpyrimidine[c] + ATP[c] => 4-amino-2-methyl-5-phosphomethylpyrimidine[c] + ADP[c] + H+[c]	0	YPR121W	sce00730  Thiamine metabolism
r_0903	phosphomethylpyrimidine kinase	4-amino-2-methyl-5-phosphomethylpyrimidine[c] + ATP[c] => 4-amino-2-methyl-5-diphosphomethylpyrimidine[c] + ADP[c]	0	YPR121W	sce00730  Thiamine metabolism
r_0970	ribonucleoside-triphosphate reductase (ATP)	ATP[c] + TRX1[c] => dATP[c] + H2O[c] + TRX1 disulphide[c]	0.000938415114847237	YGR209C	
r_0971	ribonucleoside-triphosphate reductase (CTP)	CTP[c] + TRX1[c] => dCTP[c] + H2O[c] + TRX1 disulphide[c]	0	YGR209C	
r_0972	ribonucleoside-triphosphate reductase (GTP)	GTP[c] + TRX1[c] => dGTP[c] + H2O[c] + TRX1 disulphide[c]	0.000625610076564824	YGR209C	
r_0973	ribonucleoside-triphosphate reductase (UTP)	UTP[c] + TRX1[c] => dUTP[c] + H2O[c] + TRX1 disulphide[c]	0	YGR209C	
r_1008	spontaneous cis-aconitate(3-) to trans-aconitate	cis-aconitate[m] => trans-aconitate[m]	0		
r_1009	spontaneous cis-aconitate(3-) to trans-aconitate	cis-aconitate[c] => trans-aconitate[c]	0		
r_1619	5'-nucleotidase (GMP)	GMP[c] + H2O[c] => guanosine[c] + phosphate[c]	0	PAS_chr2-1_0686	
r_2113	spontaneous kynurenic acid to quinaldic acid	kynurenic acid[c] => quinaldic acid[c]	0		
r_2114	spontaneous 2-amino-3-carboxymuconate-6-semialdehyde to quinolinate	2-amino-3-carboxymuconate-6-semialdehyde[c] => H2O[c] + quinolinate[c]	0		
r_2213	fatty-acid--CoA ligase (behenate), ER membrane	coenzyme A[erm] + ATP[erm] + behenate[erm] => docosanoyl-CoA[erm] + AMP[erm] + diphosphate[erm]	0	YBR041W	
r_2214	fatty-acid--CoA ligase (lignoceric acid), ER membrane	coenzyme A[erm] + ATP[erm] + lignoceric acid[erm] => tetracosanoyl-CoA[erm] + AMP[erm] + diphosphate[erm]	0	YBR041W	
r_2215	fatty-acid--CoA ligase (cerotic acid), ER membrane	coenzyme A[erm] + ATP[erm] + cerotic acid[erm] => hexacosanoyl-CoA[erm] + AMP[erm] + diphosphate[erm]	0	YBR041W	
r_2216	fatty-acid--CoA ligase (behenate), lipid particle	coenzyme A[lp] + ATP[lp] + behenate[lp] => diphosphate[lp] + AMP[lp] + docosanoyl-CoA[lp]	0	YBR041W	
r_2217	fatty-acid--CoA ligase (lignoceric acid), lipid particle	coenzyme A[lp] + ATP[lp] + lignoceric acid[lp] => diphosphate[lp] + AMP[lp] + tetracosanoyl-CoA[lp]	0	YBR041W	
r_2218	fatty-acid--CoA ligase (cerotic acid), lipid particle	coenzyme A[lp] + ATP[lp] + cerotic acid[lp] => diphosphate[lp] + AMP[lp] + hexacosanoyl-CoA[lp]	0	YBR041W	
r_0964	reduced glutathione via ABC system	ATP[c] + glutathione[c] + H2O[c] => ADP[c] + glutathione[v] + H+[c] + phosphate[c]	0	YLL048C	
r_1028	taurcholate via ABC system	ATP[c] + H2O[c] + taurocholic acid[c] => ADP[c] + H+[c] + phosphate[c] + taurocholic acid[v]	0	YLL048C	
r_1096	(R)-mevalonate transport	(R)-mevalonate[e] => (R)-mevalonate[c]	0		
r_1097	(R,R)-butanediol transport	(R,R)-2,3-butanediol[c] => (R,R)-2,3-butanediol[e]	0		
r_1098	2-methylbutyl transport	2-methylbutyl acetate[c] => 2-methylbutyl acetate[e]	0		
r_1099	2-oxoadipate and 2-oxoglutarate transport	2-oxoadipic acid[m] + 2-oxoglutarate[c] => 2-oxoadipic acid[c] + 2-oxoglutarate[m]	0.0856959554255285	YPL134C	
r_1100	3-hexaprenyl-4,5-dihydroxybenzoate transport	3-hexaprenyl-4,5-dihydroxybenzoic acid[c] => 3-hexaprenyl-4,5-dihydroxybenzoic acid[m]	0		
r_1101	4-aminobutyrate transport	gamma-aminobutyrate[e] + H+[e] => gamma-aminobutyrate[c] + H+[c]	0	YOR348C	
r_1103	5-formyltetrahydrofolic acid transport	5-formyltetrahydrofolic acid[e] => 5-formyltetrahydrofolic acid[c]	0		
r_1106	acetate transport	acetate[c] => acetate[e]	0.0151809083673902	YCR010C	
r_1107	acetic ester transport	ethyl acetate[c] => ethyl acetate[e]	0		
r_1108	adenine transport	adenine[e] + H+[e] => adenine[c] + H+[c]	0	YER056C or YGL186C	
r_1110	ADP/ATP transporter	ADP[c] + ATP[m] => ADP[m] + ATP[c]	0.0201964859177013	YBL030C	
r_1111	ADP/ATP transporter	ADP[p] + ATP[c] + H+[p] => ADP[c] + ATP[p] + H+[c]	0	YPR128C	
r_1112	AKG transporter, mitochonrial	2-oxoglutarate[c] + citrate[m] => 2-oxoglutarate[m] + citrate[c]	0	YMR241W	
r_1113	allantoate uniport	allantoate[e] => allantoate[c]	0	YJR152W	
r_1114	allantoin uniport	allantoin[e] => allantoin[c]	0	YBL042C	
r_1115	ammonia transport	ammonium[e] => ammonium[c]	19.9667661116953	YGR121C or YNL142W	
r_1116	AMP/ATP transporter	AMP[p] + ATP[c] + H+[p] => AMP[c] + ATP[p] + H+[c]	0	YPR128C	
r_1118	aspartate-glutamate transporter	L-aspartate[m] + L-glutamate[c] => L-aspartate[c] + L-glutamate[m]	0	YPR021C	
r_1119	biotin uptake	biotin[e] + H+[e] => biotin[c] + H+[c]	0	YGR065C	
r_1120	carnithine-acetylcarnithine carrier	(R)-carnitine[m] + O-acetylcarnitine[c] => (R)-carnitine[c] + O-acetylcarnitine[m]	0	YOR100C	
r_1121	ceramide-2' (sphinganine:n-C24:0OH) transport	ceramide-2' (C24)[er] => ceramide-2' (C24)[g]	0		
r_1122	ceramide-2' (sphinganine:n-C26:0OH) transport	ceramide-2' (C26)[er] => ceramide-2' (C26)[g]	0		
r_1123	ceramide-3 (Phytosphingosine:n-C24:0OH) transport	ceramide-3 (C24)[er] => ceramide-3 (C24)[g]	0		
r_1124	ceramide-3 (Phytosphingosine:n-C26:0OH) transport	ceramide-3 (C26)[er] => ceramide-3 (C26)[g]	0		
r_1125	choline transport	choline[e] + H+[e] => choline[c] + H+[c]	0	YGL077C	
r_1126	citrate transport	(S)-malate[m] + citrate[c] => (S)-malate[c] + citrate[m]	0	YBR291C	
r_1127	citrate transport	citrate[c] + phosphoenolpyruvate[m] => citrate[m] + phosphoenolpyruvate[c]	0	YBR291C	
r_1128	citrate transport	citrate[c] + isocitrate[m] => citrate[m] + isocitrate[c]	0.101592921867336	YBR291C	
r_1129	coenzyme A transport	coenzyme A[c] => coenzyme A[m]	0	YHR002W	
r_1133	cytosine transport	cytosine[e] + H+[e] => cytosine[c] + H+[c]	0	YER056C or YGL186C	
r_1134	D-fructose transport	D-fructose[e] + H+[e] => D-fructose[c] + H+[c]	0	YHR096C	sce04113  Meiosis - yeast
r_1135	D-galactose transport	D-galactose[e] + H+[e] => D-galactose[c] + H+[c]	0	YDR536W or YHR096C	sce04113  Meiosis - yeast
r_1136	D-lactate transport	(R)-lactate[e] + H+[e] => (R)-lactate[c] + H+[c]	0	YKL217W	
r_1137	D-lactate transport	(R)-lactate[c] + H+[c] => (R)-lactate[m] + H+[m]	0		
r_1138	D-lactate/pyruvate antiport	(R)-lactate[c] + pyruvate[m] => (R)-lactate[m] + pyruvate[c]	0		
r_1139	D-mannose transport	D-mannose[e] + H+[e] => D-mannose[c] + H+[c]	0	YHR096C	sce04113  Meiosis - yeast
r_1146	episterol transport	episterol[e] => episterol[c]	0	YOR328W	
r_1147	ergosterol transport	ergosterol[e] => ergosterol[c]	0	YOR328W	
r_1148	ergosterol transport	ergosterol[ce] => ergosterol[c]	0	YOR328W	
r_1149	ethanolamine transport	ethanolamine[e] => ethanolamine[c]	0	YGL077C	
r_1151	fadH2 transport	FADH2[m] => FADH2[c]	0	YIL134W	
r_1161	fecosterol transport	fecosterol[e] => fecosterol[c]	0	YOR328W	
r_1162	fecosterol transport	fecosterol[ce] => fecosterol[c]	0	YOR328W	
r_1164	folic acid transport	folate[e] => folate[c]	0		
r_1165	GDP-mannose antiport	GDP-alpha-D-mannose[c] + GMP[g] => GDP-alpha-D-mannose[g] + GMP[c]	0.000312805038282392	YGL225W	
r_1166	glucose transport	D-glucose[e] => D-glucose[c]	11.5410928154382	YHR096C or YGR289C or YDR536W	sce04113  Meiosis - yeast
r_1167	glutathione transport	glutathione[e] => glutathione[c]	0	YJL212C	
r_1168	glutathione transport	glutathione[c] => glutathione[v]	0	YLL048C	
r_1171	glycerol transport	glycerol[e] + H+[e] => glycerol[c] + H+[c]	0	YDR536W or YPL189W	
r_1172	glycerol transport via channel	glycerol[c] => glycerol[e]	0	YLL043W	
r_1173	glycine transport	H+[e] + L-glycine[e] => H+[c] + L-glycine[c]	0	YDR508C or YOR348C or YPL265W	
r_1174	glycogen vacuolar 'transport' via autophagy	glycogen[c] => glycogen[v]	0		
r_1175	GTP/GDP translocase	GDP[m] + GTP[c] + H+[c] => GDP[c] + GTP[m] + H+[m]	0	YDL198C	
r_1176	guanine transport	guanine[e] + H+[e] => guanine[c] + H+[c]	0	YER056C or YGL186C	
r_1177	inositol transport	H+[e] + myo-inositol[e] => H+[c] + myo-inositol[c]	0	YOL103W	
r_1179	iron (II) transport	iron(2+)[c] => iron(2+)[m]	0	YJL133W	
r_1180	isoamyl acetate transport	isoamyl acetate[c] => isoamyl acetate[e]	0		
r_1181	isobutyl acetate transport	isobutyl acetate[c] => isobutyl acetate[e]	0		
r_1182	isopentenyl diphosphate transport	isopentenyl diphosphate[c] => isopentenyl diphosphate[m]	0		
r_1183	L-alanine transport	H+[e] + L-alanine[e] => H+[c] + L-alanine[c]	0	YDR508C or YOR348C or YPL265W	
r_1184	L-arganine transport	H+[e] + L-arginine[e] => H+[c] + L-arginine[c]	0	YNL268W or YDR508C	
r_1185	L-arganine transport	H+[v] + L-arginine[c] => H+[c] + L-arginine[v]	0	YOL092W or YBR293W	
r_1186	L-asparagine transport	H+[e] + L-asparagine[e] => H+[c] + L-asparagine[c]	0	YDR508C or YPL265W	
r_1188	L-aspartate transport	H+[v] + L-asparagine[v] => H+[c] + L-asparagine[c]	0	YNL101W	sce04138  Autophagy - yeast
r_1189	L-aspartate transport	H+[v] + L-aspartate[v] => H+[c] + L-aspartate[c]	0	YBL089W	
r_1190	L-aspartate transport	H+[e] + L-aspartate[e] => H+[c] + L-aspartate[c]	0	YDR508C or YPL265W	
r_1191	L-carnitine transport	(R)-carnitine[e] => (R)-carnitine[c]	0	YBR132C	
r_1192	L-cystine transport	H+[e] + L-cysteine[e] => H+[c] + L-cysteine[c]	0	YDR508C	
r_1193	L-cystine transport	H+[v] + L-cystine[v] => H+[c] + L-cystine[c]	0	YCR075C	
r_1194	L-glutamate transport	L-glutamate[c] => L-glutamate[m]	0.264213690322965	YPR021C	
r_1195	L-glutamate transport	H+[v] + L-glutamate[v] => H+[c] + L-glutamate[c]	0	YBL089W	
r_1196	L-glutamate transport	H+[e] + L-glutamate[e] => H+[c] + L-glutamate[c]	0	YDR508C or YPL265W	
r_1198	L-glutamine transport	H+[v] + L-glutamine[v] => H+[c] + L-glutamine[c]	0	YNL101W	sce04138  Autophagy - yeast
r_1199	L-glutamine transport	H+[e] + L-glutamine[e] => H+[c] + L-glutamine[c]	0	YDR508C or YPL265W	
r_1200	L-histidine transport, vacuolar	H+[v] + L-histidine[c] => H+[c] + L-histidine[v]	0	YOL092W or YBR293W or YGR224W	
r_1201	L-histidine transport	H+[e] + L-histidine[e] => H+[c] + L-histidine[c]	0	YDR508C	
r_1202	L-isoleucine transport	L-isoleucine[v] => L-isoleucine[c]	0	YCL038C	sce04138  Autophagy - yeast
r_1204	L-isoleucine transport	H+[v] + L-isoleucine[v] => H+[c] + L-isoleucine[c]	0	YNL101W	sce04138  Autophagy - yeast
r_1205	L-isoleucine transport	H+[e] + L-isoleucine[e] => H+[c] + L-isoleucine[c]	0	YDR508C	
r_1206	L-lactate transport	(S)-lactate[c] => (S)-lactate[m]	0	YKL217W	
r_1207	L-lactate transport	(S)-lactate[e] + H+[e] => (S)-lactate[c] + H+[c]	0	YKL217W	
r_1208	L-leucine transport, vacuoluar	L-leucine[v] => L-leucine[c]	0	YCL038C	sce04138  Autophagy - yeast
r_1210	L-leucine transport, vacuoluar	H+[v] + L-leucine[v] => H+[c] + L-leucine[c]	0	YNL101W	sce04138  Autophagy - yeast
r_1211	L-leucine transport	H+[e] + L-leucine[e] => H+[c] + L-leucine[c]	0	YDR508C	
r_1212	L-lysine transport	H+[v] + L-lysine[c] => H+[c] + L-lysine[v]	0	YOL092W or YBR293W or YGR224W	
r_1213	L-lysine transport	H+[e] + L-lysine[e] => H+[c] + L-lysine[c]	0	YDR508C or YNL268W	
r_1214	L-methionine transport	H+[e] + L-methionine[e] => H+[c] + L-methionine[c]	0	YDR508C or YGR055W or YHL036W	
r_1215	L-phenylalanine transport	H+[e] + L-phenylalanine[e] => H+[c] + L-phenylalanine[c]	0	YDR508C	
r_1216	L-proline transport	H+[e] + L-proline[e] => H+[c] + L-proline[c]	0	YDR508C or YOR348C	
r_1217	L-serine transport	H+[e] + L-serine[e] => H+[c] + L-serine[c]	0	YDR508C or YPL265W or YDR105C	
r_1218	L-threonine transport	H+[e] + L-threonine[e] => H+[c] + L-threonine[c]	0	YDR508C	
r_1219	L-tryptophan transport	H+[e] + L-tryptophan[e] => H+[c] + L-tryptophan[c]	0	YDR508C	
r_1220	L-tyrosine transport	L-tyrosine[v] => L-tyrosine[c]	0	YCL038C	sce04138  Autophagy - yeast
r_1221	L-tyrosine transport	H+[v] + L-tyrosine[c] => H+[c] + L-tyrosine[v]	0	YBR293W	
r_1222	L-tyrosine transport	H+[v] + L-tyrosine[v] => H+[c] + L-tyrosine[c]	0	YNL101W	sce04138  Autophagy - yeast
r_1223	L-tyrosine transport	H+[e] + L-tyrosine[e] => H+[c] + L-tyrosine[c]	0	YDR508C	
r_1224	L-valine transport	H+[e] + L-valine[e] => H+[c] + L-valine[c]	0	YDR508C	
r_1225	lanosterol transport	lanosterol[e] => lanosterol[c]	0	YOR328W	
r_1226	malate transport	(S)-malate[c] + phosphate[m] => (S)-malate[m] + phosphate[c]	0	YLR348C	
r_1227	maltose transport	H+[e] + maltose[e] => H+[c] + maltose[c]	0	YGR289C	
r_1229	NAD transport	NAD[c] => NAD[m]	0	YIL006W	
r_1230	NAD transport	dAMP[m] + NAD[c] => dAMP[c] + NAD[m]	0	YIL006W	
r_1231	NAD transport	AMP[m] + NAD[c] => AMP[c] + NAD[m]	0	YIL006W	
r_1232	NAD transport	dGMP[m] + NAD[c] => dGMP[c] + NAD[m]	0	YIL006W	
r_1236	octadecanoate (n-C18:0) transport	stearate[c] => stearate[p]	0	YKL188C and YPL147W	
r_1238	orntithine transport	H+[e] + ornithine[e] => H+[c] + ornithine[c]	0	YNL268W or YDR508C	
r_1239	oxaloacetate transport	H+[c] + oxaloacetate[c] => H+[m] + oxaloacetate[m]	0	YKL120W	
r_1242	pentaprenyl diphosphate transport	pentaprenyl diphosphate[c] => pentaprenyl diphosphate[m]	0		
r_1243	phenethyl acetate transport	phenethyl acetate[c] => phenethyl acetate[e]	0		
r_1244	phosphate transport	H+[e] + phosphate[e] => H+[c] + phosphate[c]	4.10202389072564	YBR296C or YCR037C or YML123C	
r_1245	phosphate transport	H+[c] + phosphate[c] => H+[m] + phosphate[m]	0	YER053C or YJR077C	
r_1249	potassium transport	H+[e] + potassium[e] => H+[c] + potassium[c]	0.000946235240804297	YDR456W or YJL129C	
r_1251	putrescine transport	H+[c] + putrescine[e] => H+[e] + putrescine[c]	0	YLL028W or YOR273C	
r_1252	putrescine transport	H+[v] + putrescine[c] => H+[c] + putrescine[v]	0	YLL028W or YOR273C	
r_1253	pyridoxine symport	H+[e] + pyridoxine[e] => H+[c] + pyridoxine[c]	0	YGL186C	
r_1254	pyruvate transport	H+[e] + pyruvate[e] => H+[c] + pyruvate[c]	0	YKL217W	
r_1255	S-adenosyl-L-methionine transport	H+[e] + S-adenosyl-L-methionine[e] => H+[c] + S-adenosyl-L-methionine[c]	0	YDR508C	
r_1256	S-adenosyl-L-methionine transport	S-adenosyl-L-methionine[c] => S-adenosyl-L-methionine[m]	0	YNL003C	
r_1257	S-methylmethionine permease	H+[e] + S-methyl-L-methionine[e] => H+[c] + S-methyl-L-methionine[c]	0	YDR508C	
r_1258	sodium proton antiporter	H+[e] + sodium[c] => H+[c] + sodium[e]	0	YDR456W or YLR138W	
r_1260	spermidine transport	H+[c] + spermidine[e] => H+[e] + spermidine[c]	0	YBR132C or YHL016C or YDR508C or YLL028W or YOR273C	
r_1261	spermidine transport	H+[v] + spermidine[c] => H+[c] + spermidine[v]	0	YLL028W or YOR273C	
r_1262	spermine transport	H+[c] + spermine[e] => H+[e] + spermine[c]	0	YPR156C or YLL028W or YOR273C	
r_1263	spermine transport	H+[v] + spermine[c] => H+[c] + spermine[v]	0	YPR156C or YLL028W or YOR273C	
r_1264	succinate transport	phosphate[m] + succinate[c] => phosphate[c] + succinate[m]	0	YLR348C	
r_1265	succinate-fumarate transport	fumarate[m] + succinate[c] => fumarate[c] + succinate[m]	0	YJR095W	
r_1266	sulfate uniport	sulphate[e] => sulphate[c]	0.0223705390442823	YLR092W	
r_1268	taurine transport	taurine[c] => taurine[e]	0		
r_1269	thiamine diphosphate transport	TDP[c] => TDP[m]	0	YGR096W	
r_1271	UDPgalactose transport	UDP-D-galactose[c] => UDP-D-galactose[g]	0	YPL244C	
r_1272	uracil transport	H+[e] + uracil[e] => H+[c] + uracil[c]	0	YBL042C	
r_1273	urea transport	2 H+[e] + urea[e] => 2 H+[c] + urea[c]	0	YHL016C	
r_1274	uridine transport	H+[e] + uridine[e] => H+[c] + uridine[c]	0	YBL042C	
r_1277	water diffusion	H2O[e] => H2O[c]	0	YPR192W	
r_1278	zymosterol transport	zymosterol[e] => zymosterol[ce]	0	YOR328W	
r_1657	arginine transport	H+[c] + L-arginine[c] => H+[m] + L-arginine[m]	0	YOL092W	
r_2034	pyruvate transport	H+[c] + pyruvate[c] => H+[m] + pyruvate[m]	0.590526424938484	YGL080W and YGR243W	
r_2079	trehalose transporter	H+[c] + trehalose[c] => H+[e] + trehalose[e]	0	YGR289C	
r_2132	oxoglutarate/malate exchange	(S)-malate[c] + 2-oxoglutarate[m] => (S)-malate[m] + 2-oxoglutarate[c]	0.421577121396569	YPL134C	
r_2219	fatty acyl-CoA transport via ABC system (C12:0)	ATP[c] + H2O[c] + lauroyl-CoA[c] => ADP[c] + H+[c] + lauroyl-CoA[p] + phosphate[c]	0	YKL188C and YPL147W	sce02010  ABC transporters // sce04146  Peroxisome
r_2220	fatty acyl-CoA transport via ABC system (C14:0)	ATP[c] + H2O[c] + myristoyl-CoA[c] => ADP[c] + H+[c] + myristoyl-CoA[p] + phosphate[c]	0	YKL188C and YPL147W	sce02010  ABC transporters // sce04146  Peroxisome
r_2221	fatty acyl-CoA transport via ABC system (C16:0)	ATP[c] + H2O[c] + palmitoyl-CoA[c] => ADP[c] + H+[c] + palmitoyl-CoA[p] + phosphate[c]	0	YKL188C and YPL147W	sce02010  ABC transporters // sce04146  Peroxisome
r_2222	fatty acyl-CoA transport via ABC system (C16:1)	ATP[c] + H2O[c] + palmitoleoyl-CoA(4-)[c] => ADP[c] + H+[c] + phosphate[c] + palmitoleoyl-CoA(4-)[p]	0	YKL188C and YPL147W	sce02010  ABC transporters // sce04146  Peroxisome
r_2223	fatty acyl-CoA transport via ABC system (C18:0)	ATP[c] + H2O[c] + stearoyl-CoA[c] => ADP[c] + H+[c] + phosphate[c] + stearoyl-CoA[p]	0	YKL188C and YPL147W	sce02010  ABC transporters // sce04146  Peroxisome
r_2224	fatty acyl-CoA transport via ABC system (C18:1)	ATP[c] + H2O[c] + oleoyl-CoA[c] => ADP[c] + H+[c] + oleoyl-CoA[p] + phosphate[c]	0	YKL188C and YPL147W	sce02010  ABC transporters // sce04146  Peroxisome
r_2225	fatty acyl-CoA transport via ABC system (C20:0)	ATP[c] + H2O[c] + icosanoyl-CoA[c] => ADP[c] + H+[c] + phosphate[c] + icosanoyl-CoA[p]	0	YKL188C and YPL147W	sce02010  ABC transporters // sce04146  Peroxisome
r_2226	fatty acyl-CoA transport via ABC system (C22:0)	ATP[c] + H2O[c] + docosanoyl-CoA[c] => ADP[c] + H+[c] + phosphate[c] + docosanoyl-CoA[p]	0	YKL188C and YPL147W	sce02010  ABC transporters // sce04146  Peroxisome
r_2227	fatty acyl-CoA transport via ABC system (C24:0)	ATP[c] + H2O[c] + tetracosanoyl-CoA[c] => ADP[c] + H+[c] + phosphate[c] + tetracosanoyl-CoA[p]	0	YKL188C and YPL147W	sce02010  ABC transporters // sce04146  Peroxisome
r_2228	fatty acyl-CoA transport via ABC system (C26:0)	ATP[c] + H2O[c] + hexacosanoyl-CoA[c] => ADP[c] + H+[c] + hexacosanoyl-CoA[p] + phosphate[c]	0	YKL188C and YPL147W	sce02010  ABC transporters // sce04146  Peroxisome
r_1449	inositol-P-ceramide B' (C24) [Golgi] SLIME rxn	inositol-P-ceramide B' (C24)[g] => 0.91026 inositol-P-ceramide backbone[g] + 0.28448 C18:0 chain[c] + 0.36864 C24:0 chain[c]	0		
r_1450	inositol-P-ceramide B' (C26) [Golgi] SLIME rxn	inositol-P-ceramide B' (C26)[g] => 0.93832 inositol-P-ceramide backbone[g] + 0.28448 C18:0 chain[c] + 0.3967 C26:0 chain[c]	0		
r_1451	inositol-P-ceramide C (C24) [Golgi] SLIME rxn	inositol-P-ceramide C (C24)[g] => 0.92626 inositol-P-ceramide backbone[g] + 0.28448 C18:0 chain[c] + 0.36864 C24:0 chain[c]	0		
r_1452	inositol-P-ceramide C (C26) [Golgi] SLIME rxn	inositol-P-ceramide C (C26)[g] => 0.95432 inositol-P-ceramide backbone[g] + 0.28448 C18:0 chain[c] + 0.3967 C26:0 chain[c]	0		
r_1453	inositol-P-ceramide A (C24) [Golgi] SLIME rxn	inositol-P-ceramide A (C24)[g] => 0.89426 inositol-P-ceramide backbone[g] + 0.28448 C18:0 chain[c] + 0.36864 C24:0 chain[c]	0		
r_1454	inositol-P-ceramide A (C26) [Golgi] SLIME rxn	inositol-P-ceramide A (C26)[g] => 0.92232 inositol-P-ceramide backbone[g] + 0.28448 C18:0 chain[c] + 0.3967 C26:0 chain[c]	0		
r_1455	inositol-P-ceramide B (C24) [Golgi] SLIME rxn	inositol-P-ceramide B (C24)[g] => 0.91026 inositol-P-ceramide backbone[g] + 0.28448 C18:0 chain[c] + 0.36864 C24:0 chain[c]	0		
r_1456	inositol-P-ceramide B (C26) [Golgi] SLIME rxn	inositol-P-ceramide B (C26)[g] => 0.93832 inositol-P-ceramide backbone[g] + 0.28448 C18:0 chain[c] + 0.3967 C26:0 chain[c]	0		
