ID	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	LOWER BOUND	UPPER BOUND	OBJECTIVE	COMPARTMENT	MIRIAM	SUBSYSTEM	REPLACEMENT ID	NOTE	REFERENCE	CONFIDENCE SCORE
RXN-1623	lysophosphatidate acyltransferase;acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase;1-acyl-sn-glycerol-3-phosphate acyltransferase gamma;1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon;1-acyl-sn-glycerol-3-phosphate acyl transferase;1-acyl-sn-glycerol-3-phosphate acyltransferase delta;1-acyl-sn-glycerol-3-phosphate acyltransferase beta;1-acyl-sn-glycero-3-phosphate acyltransferase	ACYL-COA[s] + ACYL-SN-GLYCEROL-3P[s] => coenzyme A[s] + L-PHOSPHATIDATE[s]	ec-code/2.3.1.51	Zygosaccharomyces_rouxii@Seq_4198	0	1000			rhea/19710;kegg.reaction/R02241	diacylglycerol and triacylglycerol biosynthesis;CDP-diacylglycerol biosynthesis I				2
LEUKOTRIENE-A4-HYDROLASE-RXN	leukotriene A-4 hydrolase	leukotriene A4[s] + H2O[s] => leukotriene B4[s]	ec-code/3.3.2.6	Zygosaccharomyces_rouxii@Seq_1212	0	1000			rhea/22325;kegg.reaction/R03057	leukotriene biosynthesis				2
LANOSTEROL-SYNTHASE-RXN	2,3-oxidosqualene-lanosterol cyclase;lanosterol synthase	(3S)-2,3-epoxy-2,3-dihydrosqualene[s] => lanosterol[s]	ec-code/5.4.99.7	Zygosaccharomyces_rouxii@Seq_2102	0	1000			rhea/14622;kegg.reaction/R03199	lanosterol biosynthesis				2
LACTALDDEHYDROG-RXN	lactaldehyde dehydrogenase;NAD+ L-lactaldehyde dehydrogenase	(S)-lactaldehyde[s] + NAD+[s] + H2O[s] => (S)-lactate[s] + NADH[s] + 2 H+[s]	ec-code/1.2.1.22	Zygosaccharomyces_rouxii@Seq_3196	0	1000			rhea/14278;kegg.reaction/R01446	L-rhamnose degradation II;methylglyoxal degradation V;lactate biosynthesis (archaea);L-lactaldehyde degradation (aerobic)				2
RXN4FS-2	phosphatidyl-N-dimethylethanolamine N-methyltransferase	CPD-160[s] + S-ADENOSYLMETHIONINE[s] => S-adenosyl-L-homocysteine[s] + PHOSPHATIDYLCHOLINE[s] + H+[s]	ec-code/2.1.1.71	Zygosaccharomyces_rouxii@Seq_1940	0	1000			rhea/32740	phosphatidylcholine biosynthesis V;phosphatidylcholine biosynthesis IV;phosphatidylcholine biosynthesis III				2
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	glutamine:fructose-6-phosphate amidotransferase;D-glucosamine-6-phosphate synthase;glutaminemdashfructose-6-phosphate transaminase;glucosamine:fructose-6-phosphate aminotransferase;L-glutaminemdashD-fructose-6-phosphate aminotransferase;glucosamine-fructose-6-phosphate aminotransferase	beta-D-fructofuranose 6-phosphate[s] + L-glutamine[s] <=> D-GLUCOSAMINE-6-P[s] + L-glutamate[s]	ec-code/2.6.1.16	Zygosaccharomyces_rouxii@Seq_717	-1000	1000			rhea/13237;kegg.reaction/R00768	UDP-N-acetyl-D-galactosamine biosynthesis III;UDP-N-acetyl-D-glucosamine biosynthesis II;UDP-N-acetyl-D-glucosamine biosynthesis I;CMP-legionaminate biosynthesis I				2
RXN3O-9783	alpha-D-mannosyl-[protein] alpha-1,2 mannosyltransferase	GDP-alpha-D-mannose[s] + O-D-MANNOSYL-PROTEIN[s] => GDP[s] + Man-12-Man-Proteins[s] + H+[s]	ec-code/2.4.1	Zygosaccharomyces_rouxii@Seq_32 or Zygosaccharomyces_rouxii@Seq_562 or Zygosaccharomyces_rouxii@Seq_673 or Zygosaccharomyces_rouxii@Seq_1364 or Zygosaccharomyces_rouxii@Seq_1528 or Zygosaccharomyces_rouxii@Seq_2292	0	1000				protein O-mannosylation I (yeast)				2
RXN3O-9782	ergosteryl-beta-D-glucosidase	ergosterol 3-O-beta-D-glucoside[s] + H2O[s] => ergosterol[s] + Glucopyranose[s]	ec-code/3.2.1.104	Zygosaccharomyces_rouxii@Seq_2799	0	1000								2
RXN3O-75	5-demethoxyubiquinol hydroxylase	6-methoxy-3-methyl-2-all-trans-hexaprenyl-1,4-benzoquinol[s] + Donor-H2[s] + oxygen[s] => 3-demethylubiquinol-6[s] + Acceptor[s] + H2O[s]	ec-code/1.14.99.60	Zygosaccharomyces_rouxii@Seq_712	0	1000				ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic);ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast);ubiquinol-6 bypass biosynthesis (eukaryotic)				2
RXN-161	butanol dehydrogenase;butyraldehyde reductase	butan-1-ol[s] + NAD+[s] <=> butan-1-al[s] + NADH[s] + H+[s]	ec-code/1.1.1	Zygosaccharomyces_rouxii@Seq_1056 or Zygosaccharomyces_rouxii@Seq_3842	-1000	1000			rhea/33199;kegg.reaction/R03544	butanol and isobutanol biosynthesis (engineered);pyruvate fermentation to butanol II (engineered);pyruvate fermentation to butanol I				2
RXN3O-680	mannosyl-inositol-phosphoceramide inositolphosphotransferase	L-1-phosphatidyl-inositols[s] + MIPC[s] => DIACYLGLYCEROL[s] + MIP2C[s]	ec-code/2.7.1	Zygosaccharomyces_rouxii@Seq_1183	0	1000				sphingolipid biosynthesis (yeast)				2
RXN3O-663	inositol phosphorylceramide mannosyltransferase	GDP-alpha-D-mannose[s] + IPC[s] => GDP[s] + MIPC[s] + H+[s]	ec-code/2.4.1	Zygosaccharomyces_rouxii@Seq_639 or Zygosaccharomyces_rouxii@Seq_2190	0	1000				sphingolipid biosynthesis (yeast)				2
RXN3O-581	inositol phosphorylceramide synthase	Alpha-hydroxyphytoceramides[s] + L-1-phosphatidyl-inositols[s] => DIACYLGLYCEROL[s] + IPC[s]	ec-code/2.7.1	Zygosaccharomyces_rouxii@Seq_2696	0	1000				sphingolipid biosynthesis (yeast)				2
RXN3O-58	3-hexaprenyl-4-hydroxybenzoate monooxygenase	3-hexaprenyl-4-hydroxybenzoate[s] + oxygen[s] + 2 H+[s] + 2 Reduced-ferredoxins[s] => 3,4-dihydroxy-5-all-trans-hexaprenylbenzoate[s] + 2 Oxidized-ferredoxins[s] + H2O[s]	ec-code/1.14.15.M7	Zygosaccharomyces_rouxii@Seq_727	0	1000				ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic);superpathway of ubiquinol-6 biosynthesis (eukaryotic)				2
