"ID"	"NAME"	"EQUATION"	"EC.NUMBER"	"GENE.ASSOCIATION"	"LOWER.BOUND"	"UPPER.BOUND"	"OBJECTIVE"	"COMPARTMENT"	"MIRIAM"	"SUBSYSTEM"	"REPLACEMENT.ID"	"NOTE"	"REFERENCE"	"CONFIDENCE.SCORE"	"other"
"R00022"	"chitobiose N-acetylglucosaminohydrolase"	"H2O[s] + Chitobiose[s] <=> 2 N-Acetyl-D-glucosamine[s]"	"ec-code/3.2.1.52"	"Metschnikowia_santaceciliae@Seq_532 or Arthrobotrys_oligospora@Seq_5655 or yHMPu5000035244_Candida_incommunis@Seq_591 or Debaryomyces_hansenii@Seq_542 or yHMPu5000034673_Blastobotrys_nivea@Seq_487"	-1000	1000	NA	NA	"kegg.reaction/R00022;kegg.pathway/rn00520;kegg.orthology/K01207;kegg.orthology/K12373;rhea/30674"	"Amino sugar and nucleotide sugar metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00026"	"cellobiose glucohydrolase"	"H2O[s] + Cellobiose[s] <=> 2 beta-D-Glucose[s]"	"ec-code/3.2.1.21"	"yHMPu5000034671_Blastobotrys_peoriensis@Seq_2677 or yHMPu5000034670_Blastobotrys_proliferans@Seq_558 or yHMPu5000034670_Blastobotrys_proliferans@Seq_4000 or yHMPu5000034667_Blastobotrys_serpentis@Seq_284 or Sclerotinia_sclerotiorum@Seq_5697 or Aspergillus_nidulans@Seq_9981 or yHMPu5000034673_Blastobotrys_nivea@Seq_5425 or yHMPu5000034673_Blastobotrys_nivea@Seq_4688 or yHMPu5000034673_Blastobotrys_nivea@Seq_3651 or yHMPu5000034673_Blastobotrys_nivea@Seq_6857 or Metschnikowia_santaceciliae@Seq_5740 or Sclerotinia_sclerotiorum@Seq_8569 or Aspergillus_nidulans@Seq_3040 or Fusarium_graminearum@Seq_4311 or Fusarium_graminearum@Seq_4796 or Stagonospora_nodorum@Seq_11044 or Botrytis_cinerea@Seq_14818 or yHMPu5000034670_Blastobotrys_proliferans@Seq_7210 or Aspergillus_nidulans@Seq_6781 or yHMPu5000035688_Cyberlindnera_xylosilytica@Seq_598 or Arxula_adeninivorans@Seq_4284 or yHMPu5000034671_Blastobotrys_peoriensis@Seq_2058 or yHMPu5000034673_Blastobotrys_nivea@Seq_9625 or yHMPu5000034671_Blastobotrys_peoriensis@Seq_4470 or yHMPu5000034673_Blastobotrys_nivea@Seq_8338 or yHMPu5000034754_Lipomyces_arxii@Seq_2760 or Aspergillus_nidulans@Seq_1082 or yHMPu5000034754_Lipomyces_arxii@Seq_7446 or yHMPu5000034754_Lipomyces_arxii@Seq_4198 or yHMPu5000034673_Blastobotrys_nivea@Seq_5973 or yHMPu5000034648_Candida_restingae@Seq_1137 or yHMPu5000034671_Blastobotrys_peoriensis@Seq_324 or yHMPu5000035688_Cyberlindnera_xylosilytica@Seq_3998 or Metschnikowia_dekortum@Seq_4738 or Yarrowia_deformans@Seq_1172 or Metschnikowia_lockheadii@Seq_4016 or yHMPu5000035045_Barnettozyma_hawaiiensis@Seq_1453 or yHMPu5000034892_Ogataea_pilisensis@Seq_3452 or Stagonospora_nodorum@Seq_7494"	-1000	1000	NA	NA	"kegg.reaction/R00026;kegg.orthology/K01188;kegg.orthology/K05349;kegg.orthology/K05350;rhea/30682"	""	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00078"	"Fe(II):oxygen oxidoreductase;"	"Oxygen[s] + 4 H+[s] + 4 Fe2+[s] => 2 H2O[s] + 4 Fe3+[s]"	"ec-code/1.16.3.1"	"yHMPu5000034670_Blastobotrys_proliferans@Seq_6626"	0	1000	NA	NA	"kegg.reaction/R00078;kegg.pathway/rn00860;kegg.orthology/K13624;kegg.orthology/K14735;rhea/11151"	"Porphyrin and chlorophyll metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00112"	"NADPH:NAD+ oxidoreductase"	"NAD+[s] + NADPH[s] <=> NADH[s] + NADP+[s]"	"ec-code/1.6.1.1;ec-code/1.6.1.2;ec-code/1.6.1.3"	"Stagonospora_nodorum@Seq_6810"	-1000	1000	NA	NA	"kegg.reaction/R00112;kegg.pathway/rn00760;kegg.orthology/K00322;kegg.orthology/K00323;rhea/11695"	"Nicotinate and nicotinamide metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00131"	"Urea amidohydrolase"	"H2O[s] + Urea[s] <=> CO2[s] + 2 Ammonia[s]"	"ec-code/3.5.1.5"	"Fusarium_graminearum@Seq_2318"	-1000	1000	NA	NA	"kegg.reaction/R00131;kegg.pathway/rn00220;kegg.pathway/rn00230;kegg.pathway/rn00791;kegg.orthology/K01427;rhea/20560"	"Arginine biosynthesis;Purine metabolism;Atrazine degradation"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00179"	"S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)"	"S-Adenosyl-L-methionine[s] <=> 5'-Methylthioadenosine[s] + 1-Aminocyclopropane-1-carboxylate[s]"	"ec-code/4.4.1.14"	"Botrytis_cinerea@Seq_15889"	-1000	1000	NA	NA	"kegg.reaction/R00179;kegg.pathway/rn00270;kegg.module/M00368;kegg.orthology/K01762;rhea/21747"	"Cysteine and methionine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00183"	"adenosine 5'-monophosphate phosphohydrolase"	"H2O[s] + AMP[s] <=> Orthophosphate[s] + Adenosine[s]"	"ec-code/3.1.3.5"	"yHMPu5000034904_Ogataea_nonfermentans@Seq_2519 or Fusarium_graminearum@Seq_4952"	-1000	1000	NA	NA	"kegg.reaction/R00183;kegg.pathway/rn00230;kegg.orthology/K03787;kegg.orthology/K19970;rhea/29378"	"Purine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00199"	"ATP:pyruvate,water phosphotransferase"	"H2O[s] + ATP[s] + Pyruvate[s] <=> Orthophosphate[s] + AMP[s] + Phosphoenolpyruvate[s]"	"ec-code/2.7.9.2"	"yHMPu5000034760_Lipomyces_kononenkoae@Seq_3932"	-1000	1000	NA	NA	"kegg.reaction/R00199;kegg.pathway/rn00620;kegg.pathway/rn00680;kegg.pathway/rn00720;kegg.module/M00173;kegg.orthology/K01007;rhea/11367"	"Pyruvate metabolism;Methane metabolism;Carbon fixation pathways in prokaryotes"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00286"	"UDP-glucose:NAD+ 6-oxidoreductase"	"H2O[s] + 2 NAD+[s] + UDP-glucose[s] <=> 2 NADH[s] + 2 H+[s] + UDP-glucuronate[s]"	"ec-code/1.1.1.22"	"yHMPu5000035665_Middelhovenomyces_tepae@Seq_3639"	-1000	1000	NA	NA	"kegg.reaction/R00286;kegg.pathway/rn00040;kegg.pathway/rn00053;kegg.pathway/rn00520;kegg.module/M00014;kegg.orthology/K00012;rhea/23599"	"Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Amino sugar and nucleotide sugar metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00293"	"UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming)"	"UDP-glucose[s] => H2O[s] + UDP-4-dehydro-6-deoxy-D-glucose[s]"	"ec-code/4.2.1.76"	"Metschnikowia_mauinuiana@Seq_2942"	0	1000	NA	NA	"kegg.reaction/R00293;kegg.pathway/rn00520;kegg.orthology/K12450;rhea/21503"	"Amino sugar and nucleotide sugar metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00305"	"D-glucose:quinone 1-oxidoreductase"	"D-Glucose[s] + Quinone[s] <=> D-Glucono-1,5-lactone[s] + Hydroquinone (C15603)[s]"	"ec-code/1.1.5.9"	"Sclerotinia_sclerotiorum@Seq_12391 or Neurospora_crassa@Seq_525 or Botrytis_cinerea@Seq_10826 or Coccidioides_immitis@Seq_8729 or Sclerotinia_sclerotiorum@Seq_10112 or Botrytis_cinerea@Seq_13605 or Fusarium_graminearum@Seq_8982"	-1000	1000	NA	NA	"kegg.reaction/R00305;kegg.pathway/rn00030;kegg.orthology/K00115;rhea/47375"	"Pentose phosphate pathway"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00315"	"ATP:acetate phosphotransferase"	"ATP[s] + Acetate[s] <=> ADP[s] + Acetyl phosphate[s]"	"ec-code/2.7.2.1;ec-code/2.7.2.15"	"Fusarium_graminearum@Seq_733 or Fusarium_graminearum@Seq_801"	-1000	1000	NA	NA	"kegg.reaction/R00315;kegg.pathway/rn00430;kegg.pathway/rn00620;kegg.pathway/rn00680;kegg.pathway/rn00720;kegg.module/M00357;kegg.orthology/K00925;rhea/11355"	"Taurine and hypotaurine metabolism;Pyruvate metabolism;Methane metabolism;Carbon fixation pathways in prokaryotes"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00318"	"Phosphonoacetate phosphonohydrolase"	"H2O[s] + Phosphonoacetate[s] <=> Orthophosphate[s] + Acetate[s]"	"ec-code/3.11.1.2"	"yHMPu5000034605_Spencermartinsiella_europaea@Seq_3923"	-1000	1000	NA	NA	"kegg.reaction/R00318;kegg.pathway/rn00440;kegg.orthology/K19670;rhea/16752"	"Phosphonate and phosphinate metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00319"	"(S)-lactate:oxygen 2-oxidoreductase (decarboxylating)"	"Oxygen[s] + (S)-Lactate[s] => H2O[s] + CO2[s] + Acetate[s]"	"ec-code/1.13.12.4"	"Aspergillus_nidulans@Seq_1060 or Xylona_heveae@Seq_6639"	0	1000	NA	NA	"kegg.reaction/R00319;kegg.pathway/rn00620;kegg.orthology/K00467;rhea/16516"	"Pyruvate metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00352"	"acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]"	"ATP[s] + CoA[s] + Citrate[s] <=> ADP[s] + Orthophosphate[s] + Acetyl-CoA[s] + Oxaloacetate[s]"	"ec-code/2.3.3.8"	"Geotrichum_candidum@Seq_849 or yHMPu5000034655_Botryozyma_nematodophila@Seq_2153"	-1000	1000	NA	NA	"kegg.reaction/R00352;kegg.pathway/rn00020;kegg.pathway/rn00720;kegg.module/M00173;kegg.orthology/K01648;rhea/21163"	"Citrate cycle (TCA cycle);Carbon fixation pathways in prokaryotes"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00357"	"L-Aspartic acid:oxygen oxidoreductase (deaminating)"	"H2O[s] + Oxygen[s] + L-Aspartate[s] <=> Ammonia[s] + Hydrogen peroxide[s] + Oxaloacetate[s]"	"ec-code/1.4.3.2;ec-code/1.4.3.16"	"Neurospora_crassa@Seq_10341"	-1000	1000	NA	NA	"kegg.reaction/R00357;kegg.pathway/rn00250;kegg.orthology/K03334;rhea/19028"	"Alanine, aspartate and glutamate metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R00359"	"D-Aspartate:oxygen oxidoreductase (deaminating)"	"H2O[s] + Oxygen[s] + D-Aspartate[s] => Ammonia[s] + Hydrogen peroxide[s] + Oxaloacetate[s]"	"ec-code/1.4.3.1;ec-code/1.4.3.15"	"Metschnikowia_matae@Seq_2628"	0	1000	NA	NA	"kegg.reaction/R00359;kegg.pathway/rn00250;kegg.orthology/K00272;rhea/12515"	"Alanine, aspartate and glutamate metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
