"EC"	"query"
"1.5.3.1"	"yHMPu5000034952_Citeromyces_siamensis@Seq_11744"
"1.5.3.18"	"yHMPu5000034952_Citeromyces_siamensis@Seq_11744"
"1.5.3.7"	"yHMPu5000034952_Citeromyces_siamensis@Seq_11744"
"2.1.1.37"	"Coccidioides_immitis@Seq_3350"
"1.6.99.1"	"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_5134"
"3.2.1.10"	"yHMPu5000034862_Zygotorulaspora_florentina@Seq_4058"
"3.4.23.24"	"yHMPu5000034654_Aciculoconidium_aculeatum@Seq_2867"
"3.6.3.2"	"yHMPu5000034749_Lipomyces_mesembrius@Seq_2705"
"4.2.1.90"	"yHMPu5000035268_Wickerhamomyces_hampshirensis@Seq_646"
"3.2.1.10"	"yHMPu5000034673_Blastobotrys_nivea@Seq_2167"
"3.4.11.2"	"yHMPu5000041855_Candida_ascalaphidarum@Seq_538"
"1.3.1.33"	"yHMPu5000034932_Kuraishia_ogatae@Seq_654"
"1.7.1.4"	"yHMPu5000034979_Cyberlindnera_misumaiensis@Seq_5584"
"3.4.23.24"	"Saccharomycopsis_malanga@Seq_1477"
"5.2.1.1"	"yHMPu5000034761_Lipomyces_lipofer@Seq_6926"
"1.4.3.21"	"Metschnikowia_dekortum@Seq_4089"
"1.1.3.9"	"Sclerotinia_sclerotiorum@Seq_9136"
"3.6.3.6"	"yHMPu5000035040_Ambrosiozyma_maleeae@Seq_3261"
"3.2.1.8"	"Neurospora_crassa@Seq_6532"
"1.14.13.1"	"Sclerotinia_sclerotiorum@Seq_6876"
"1.14.18.1"	"Arthrobotrys_oligospora@Seq_7636"
"4.2.1.126"	"yHMPu5000034673_Blastobotrys_nivea@Seq_5877"
"3.5.1.26"	"Neurospora_crassa@Seq_10090"
"2.1.1.317"	"Alloascoidea_hylecoeti@Seq_35"
"2.3.3.14"	"Metschnikowia_arizonensis@Seq_4788"
"3.2.1.1"	"Sclerotinia_sclerotiorum@Seq_105"
"1.14.13.195"	"Sclerotinia_sclerotiorum@Seq_11497"
"1.14.13.196"	"Sclerotinia_sclerotiorum@Seq_11497"
"1.14.99.51"	"yHMPu5000026142_Citeromyces_matritensis@Seq_6104"
"2.1.1.44"	"yHMPu5000026142_Citeromyces_matritensis@Seq_6104"
"1.5.3.1"	"yHMPu5000034637_Ogataea_populiabae@Seq_2584"
"1.5.3.7"	"yHMPu5000034637_Ogataea_populiabae@Seq_2584"
"2.10.1.1"	"Neurospora_crassa@Seq_10434"
"1.14.13.195"	"Stagonospora_nodorum@Seq_1584"
"1.14.13.196"	"Stagonospora_nodorum@Seq_1584"
"1.1.99.1"	"yHMPu5000034749_Lipomyces_mesembrius@Seq_547"
"2.4.1.5"	"Candida_versatilis@Seq_2166"
"1.4.1.4"	"Metschnikowia_hawaiiensis@Seq_1056"
"3.6.3.6"	"Metschnikowia_hamakuensis@Seq_5154"
"1.6.99.1"	"yHAB147_Kazachstania_taianensis@Seq_3573"
"1.6.99.1"	"yHMPu5000034604_Sporopachydermia_lactativora@Seq_6016"
"3.2.1.52"	"yHMPu5000034605_Spencermartinsiella_europaea@Seq_3400"
"3.2.1.10"	"yHMPu5000034761_Lipomyces_lipofer@Seq_2576"
"3.2.1.20"	"yHMPu5000034761_Lipomyces_lipofer@Seq_2576"
"3.2.1.93"	"yHMPu5000034761_Lipomyces_lipofer@Seq_2576"
"3.1.4.3"	"yHMPu5000034760_Lipomyces_kononenkoae@Seq_5909"
"3.4.14.9"	"Stagonospora_nodorum@Seq_6271"
"1.14.18.1"	"Arthrobotrys_oligospora@Seq_4268"
"3.2.1.91"	"Arthrobotrys_oligospora@Seq_5766"
"5.5.1.5"	"Neurospora_crassa@Seq_3583"
"2.7.8.7"	"Arthrobotrys_oligospora@Seq_5362"
"3.2.1.55"	"Kuraishia_capsulata@Seq_1940"
"3.2.1.50"	"yHMPu5000034754_Lipomyces_arxii@Seq_3433"
"6.3.4.19"	"Ascoidea_rubescens@Seq_2675"
"3.4.23.24"	"yHMPu5000035677_Kodamaea_ohmeri@Seq_3617"
"1.3.1.33"	"yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_279"
"3.2.1.55"	"Aspergillus_nidulans@Seq_933"
"4.3.3.7"	"Stagonospora_nodorum@Seq_9598"
"3.5.3.11"	"Stagonospora_nodorum@Seq_1493"
"3.2.1.40"	"yHMPu5000034891_Ogataea_pini@Seq_785"
"6.3.5.4"	"Spathaspora_passalidarum@Seq_4148"
"1.2.1.8"	"Botrytis_cinerea@Seq_11849"
"1.3.5.2"	"yHMPu5000035279_Tortispora_starmeri@Seq_4527"
"3.4.14.5"	"Arthrobotrys_oligospora@Seq_7407"
"3.2.1.10"	"yHMPu5000034675_Blastobotrys_mokoenaii@Seq_4360"
"1.14.99.54"	"Arthrobotrys_oligospora@Seq_1193"
"3.5.1.110"	"Candida_versatilis@Seq_1307"
"1.14.13.8"	"Fusarium_graminearum@Seq_11445"
"1.14.19.17"	"yHMPu5000026142_Citeromyces_matritensis@Seq_4442"
"1.11.1.10"	"yHMPu5000035681_Candida_gotoi@Seq_4729"
"3.5.2.6"	"Candida_versatilis@Seq_5390"
"1.1.1.21"	"yHMPu5000034655_Botryozyma_nematodophila@Seq_9815"
"4.6.1.13"	"yHMPu5000034998_Cephaloascus_albidus@Seq_2696"
"3.5.1.124"	"Lachancea_fantastica@Seq_1691"
"5.3.3.5"	"Fusarium_graminearum@Seq_9386"
"3.2.1.65"	"yHMPu5000034761_Lipomyces_lipofer@Seq_377"
"3.6.3.6"	"Nakaseomyces_bracarensis@Seq_2706"
"3.2.1.1"	"Arthrobotrys_oligospora@Seq_1101"
"4.1.3.16"	"Neurospora_crassa@Seq_589"
"1.14.19.18"	"Stagonospora_nodorum@Seq_8354"
"3.2.1.37"	"yHMPu5000034605_Spencermartinsiella_europaea@Seq_3112"
"3.3.2.9"	"Stagonospora_nodorum@Seq_11482"
"1.5.8.3"	"yHMPu5000034760_Lipomyces_kononenkoae@Seq_3036"
"1.14.13.177"	"Aspergillus_nidulans@Seq_5373"
"3.6.3.6"	"Alloascoidea_hylecoeti@Seq_7002"
"3.1.6.1"	"Kluyveromyces_lactis@Seq_2294"
"1.14.13.12"	"Fusarium_graminearum@Seq_10803"
"3.6.3.7"	"Candida_boidinii_JCM9604@Seq_1867"
"2.3.1.128"	"yHMPu5000034643_Candida_schatavii@Seq_4572"
"2.3.1.82"	"yHMPu5000034643_Candida_schatavii@Seq_4572"
"1.14.13.8"	"yHMPu5000034760_Lipomyces_kononenkoae@Seq_3919"
"5.3.2.6"	"yHMPu5000034671_Blastobotrys_peoriensis@Seq_5757"
"1.2.1.26"	"Wickerhamiella_domercqiae@Seq_1833"
"3.6.3.7"	"yHMPu5000034979_Cyberlindnera_misumaiensis@Seq_715"
"1.1.1.31"	"Stagonospora_nodorum@Seq_4247"
"1.1.1.343"	"yHMPu5000034631_Martiniozyma_abiesophila@Seq_8212"
"1.1.1.44"	"yHMPu5000034631_Martiniozyma_abiesophila@Seq_8212"
"1.14.14.54"	"yHMPu5000034901_Ogataea_methylivora@Seq_3165"
"1.1.1.205"	"yHMPu5000034866_Zygosaccharomyces_bisporus@Seq_2883"
"3.2.1.20"	"Kuraishia_capsulata@Seq_12"
"3.5.3.11"	"yHMPu5000034862_Zygotorulaspora_florentina@Seq_3196"
"3.4.23.24"	"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_6344"
"2.3.3.14"	"Fusarium_graminearum@Seq_4961"
"4.2.1.40"	"Aspergillus_nidulans@Seq_6103"
"3.6.3.7"	"yHMPu5000034655_Botryozyma_nematodophila@Seq_10510"
"3.2.1.83"	"yHMPu5000034761_Lipomyces_lipofer@Seq_2158"
"1.14.18.1"	"Sclerotinia_sclerotiorum@Seq_6388"
"2.7.1.107"	"yHMPu5000034661_Dipodascus_albidus@Seq_3454"
"3.6.1.55"	"Arthrobotrys_oligospora@Seq_11260"
"3.6.1.56"	"Arthrobotrys_oligospora@Seq_11260"
"3.4.24.71"	"yHMPu5000034761_Lipomyces_lipofer@Seq_346"
"3.2.1.52"	"yHMPu5000034673_Blastobotrys_nivea@Seq_6694"
"4.2.1.130"	"Metschnikowia_cerradonensis@Seq_6442"
"2.8.3.5"	"yHMPu5000035318_Hyphopichia_heimii@Seq_4588"
"1.1.1.289"	"yHMPu5000034748_Lipomyces_oligophaga@Seq_775"
"1.4.3.21"	"yHMPu5000035011_Candida_pyralidae@Seq_1410"
"4.4.1.22"	"Kuraishia_capsulata@Seq_4498"
"2.7.11.19"	"Metschnikowia_dekortum@Seq_5095"
"3.2.1.59"	"Schizosaccharomyces_pombe@Seq_2293"
"3.4.15.5"	"yHMPu5000035673_Candida_orba@Seq_451"
"1.4.3.1"	"Metschnikowia_matae@Seq_2628"
"1.4.3.3"	"Metschnikowia_matae@Seq_2628"
"4.1.2.53"	"Botrytis_cinerea@Seq_2367"
"2.1.1.317"	"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_2434"
"3.4.23.5"	"Candida_tanzawaensis@Seq_5157"
"1.14.18.1"	"Xylona_heveae@Seq_4731"
"1.1.1.289"	"yHMPu5000034978_Cyberlindnera_mrakii@Seq_5538"
"2.4.1.321"	"Stagonospora_nodorum@Seq_4395"
"4.2.1.6"	"yHMPu5000034660_Diddensiella_caesifluorescens@Seq_105"
"3.2.1.4"	"Candida_albicans@C6_03850C_A"
"1.14.11.17"	"Stagonospora_nodorum@Seq_3573"
"3.2.1.23"	"Candida_versatilis@Seq_2648"
"1.1.1.22"	"Sclerotinia_sclerotiorum@Seq_13427"
"3.2.1.40"	"yHMPu5000035641_Yamadazyma_scolyti@Seq_2314"
"3.2.1.50"	"yHMPu5000034670_Blastobotrys_proliferans@Seq_7127"
"6.3.5.4"	"Metschnikowia_mauinuiana@Seq_4845"
"3.2.1.99"	"Aspergillus_nidulans@Seq_6767"
"1.1.1.399"	"Metschnikowia_hawaiiensis@Seq_593"
"1.1.1.95"	"Metschnikowia_hawaiiensis@Seq_593"
"1.14.19.18"	"yHMPu5000034631_Martiniozyma_abiesophila@Seq_9694"
"3.2.1.172"	"Stagonospora_nodorum@Seq_12138"
"1.14.13.8"	"yHMPu5000034754_Lipomyces_arxii@Seq_5010"
"3.2.1.151"	"Sclerotinia_sclerotiorum@Seq_6464"
"1.4.3.21"	"Metschnikowia_ipomoeae@Seq_2058"
"1.14.14.54"	"Aspergillus_nidulans@Seq_9189"
"1.1.1.289"	"Metschnikowia_santaceciliae@Seq_2763"
"2.1.1.199"	"yHMPu5000035689_Candida_mycetangii@Seq_1727"
"3.4.23.24"	"yHMPu5000034665_Kodamaea_laetipori@Seq_1830"
"4.1.99.22"	"Geotrichum_candidum@Seq_1652"
"4.6.1.17"	"Geotrichum_candidum@Seq_1652"
"1.1.1.358"	"yHMPu5000034631_Martiniozyma_abiesophila@Seq_3276"
"4.2.1.130"	"Metschnikowia_santaceciliae@Seq_3050"
"1.14.11.8"	"Ashbya_aceri@Seq_3604"
"3.1.6.1"	"Ogataea_methanolica@Seq_3149"
"1.21.3.1"	"Aspergillus_nidulans@Seq_4553"
"3.2.1.99"	"Aspergillus_nidulans@Seq_6203"
"3.1.3.5"	"yHMPu5000035688_Cyberlindnera_xylosilytica@Seq_4565"
"1.14.18.1"	"Botrytis_cinerea@Seq_90"
"1.14.18.1"	"Coccidioides_immitis@Seq_4215"
"1.17.1.4"	"yHMPu5000034952_Citeromyces_siamensis@Seq_1584"
"1.17.3.2"	"yHMPu5000034952_Citeromyces_siamensis@Seq_1584"
"3.5.2.17"	"Metschnikowia_similis@Seq_1499"
"1.14.13.1"	"Sclerotinia_sclerotiorum@Seq_1717"
"1.3.1.98"	"Arthrobotrys_oligospora@Seq_3645"
"1.1.1.289"	"yHMPu5000034754_Lipomyces_arxii@Seq_5868"
"1.14.13.1"	"yHMPu5000035296_Priceomyces_carsonii@Seq_4312"
"3.2.1.52"	"Metschnikowia_santaceciliae@Seq_532"
"1.14.14.5"	"Alloascoidea_hylecoeti@Seq_5165"
"1.3.5.2"	"Scheffersomyces_stipitis@Seq_247"
"2.1.1.37"	"Sclerotinia_sclerotiorum@Seq_12398"
"4.2.1.17"	"yHMPu5000034655_Botryozyma_nematodophila@Seq_2449"
"3.2.1.150"	"Aspergillus_nidulans@Seq_93"
"2.5.1.43"	"Stagonospora_nodorum@Seq_2119"
"3.1.6.1"	"yHMPu5000035041_Ambrosiozyma_pseudovanderkliftii@Seq_4312"
"3.2.1.40"	"Kuraishia_capsulata@Seq_1274"
"3.1.1.65"	"yHMPu5000034660_Diddensiella_caesifluorescens@Seq_3003"
"1.14.18.1"	"Neurospora_crassa@Seq_9650"
"1.1.1.24"	"yHMPu5000034998_Cephaloascus_albidus@Seq_111"
"3.2.1.10"	"Metschnikowia_arizonensis@Seq_4652"
"3.2.1.20"	"Metschnikowia_arizonensis@Seq_4652"
"6.4.1.1"	"Metschnikowia_matae@Seq_404"
"2.7.7.52"	"Coccidioides_immitis@Seq_2141"
"3.4.23.24"	"Ambrosiozyma_kashinagacola@Seq_5406"
"3.4.23.24"	"yHMPu5000035011_Candida_pyralidae@Seq_2509"
"2.5.1.91"	"Schizosaccharomyces_pombe@Seq_4165"
"1.14.99.55"	"Botrytis_cinerea@Seq_2056"
"3.4.23.24"	"yHMPu5000034674_Blastobotrys_muscicola@Seq_2076"
"1.1.1.343"	"Metschnikowia_mauinuiana@Seq_1166"
"1.1.1.44"	"Metschnikowia_mauinuiana@Seq_1166"
"3.6.3.6"	"Geotrichum_candidum@Seq_3508"
"2.3.1.176"	"Aspergillus_nidulans@Seq_10611"
"4.1.1.46"	"Sclerotinia_sclerotiorum@Seq_3655"
"1.14.13.96"	"yHMPu5000034749_Lipomyces_mesembrius@Seq_6261"
"1.14.18.8"	"yHMPu5000034749_Lipomyces_mesembrius@Seq_6261"
"3.5.99.7"	"Lachancea_cidri@Seq_4661"
"4.4.1.15"	"Lachancea_cidri@Seq_4661"
"3.4.14.9"	"Aspergillus_nidulans@Seq_6312"
"1.14.11.8"	"yHMPu5000034952_Citeromyces_siamensis@Seq_10051"
"1.14.18.1"	"Stagonospora_nodorum@Seq_4178"
"1.4.1.4"	"Metschnikowia_kamakouana@Seq_584"
"1.7.1.1"	"yHMPu5000034952_Citeromyces_siamensis@Seq_8038"
